episode,return
1,-20.0
2,-20.0
3,-20.0
4,-20.0
5,-20.0
6,-20.0
7,-20.0
8,-20.0
9,-20.0
10,-20.0
11,-15.0
12,-15.0
13,-15.0
14,-15.0
15,-15.0
16,-15.0
17,-15.0
18,-15.0
19,-15.0
20,-15.0
21,-15.0
22,-15.0
23,-15.0
24,-15.0
25,-15.0
26,-14.0
27,-15.0
28,-15.0
29,-15.0
30,-9.0
31,-15.0
32,-15.0
33,-15.0
34,-15.0
35,-15.0
36,-15.0
37,-15.0
38,-15.0
39,-15.0
40,-15.0
41,-15.0
42,-15.0
43,-15.0
44,-15.0
45,-15.0
46,-15.0
47,-15.0
48,-15.0
49,-10.0
50,-15.0
51,-15.0
52,-15.0
53,-15.0
54,-15.0
55,-15.0
56,-15.0
57,-15.0
58,-15.0
59,-15.0
60,-15.0
61,-15.0
62,-10.0
63,1.0
64,-9.0
65,-9.0
66,-10.0
67,-15.0
68,-9.0
69,-10.0
70,-15.0
71,-9.0
72,-15.0
73,-10.0
74,-15.0
75,-15.0
76,-10.0
77,-10.0
78,15.0
79,-15.0
80,-10.0
81,-15.0
82,-15.0
83,-15.0
84,-10.0
85,-15.0
86,5.0
87,-15.0
88,-15.0
89,-10.0
90,-15.0
91,-10.0
92,-15.0
93,-15.0
94,-15.0
95,-9.0
96,-14.0
97,-15.0
98,-15.0
99,-9.0
100,-15.0
101,-15.0
102,-9.0
103,-15.0
104,-15.0
105,-10.0
106,-10.0
107,-15.0
108,-15.0
109,-15.0
110,-9.0
111,-10.0
112,-15.0
113,-15.0
114,-10.0
115,-15.0
116,-4.0
117,-10.0
118,-15.0
119,-5.0
120,-10.0
121,-15.0
122,-10.0
123,-10.0
124,-15.0
125,-10.0
126,-15.0
127,-15.0
128,-15.0
129,-9.0
130,-15.0
131,-15.0
132,11.0
133,-10.0
134,-15.0
135,-5.0
136,-15.0
137,-15.0
138,-15.0
139,-15.0
140,-9.0
141,-10.0
142,-15.0
143,-10.0
144,-15.0
145,-15.0
146,-15.0
147,-15.0
148,-15.0
149,-15.0
150,-15.0
151,-10.0
152,-15.0
153,-15.0
154,-15.0
155,-10.0
156,-15.0
157,-15.0
158,-15.0
159,-15.0
160,-15.0
161,-15.0
162,-15.0
163,-15.0
164,-15.0
165,-15.0
166,-15.0
167,-15.0
168,-15.0
169,-10.0
170,-15.0
171,-15.0
172,-15.0
173,-15.0
174,-15.0
175,-15.0
176,-15.0
177,-15.0
178,-15.0
179,-15.0
180,-15.0
181,-15.0
182,-15.0
183,1.0
184,-15.0
185,-15.0
186,-5.0
187,-15.0
188,-15.0
189,-15.0
190,-4.0
191,-10.0
192,-14.0
193,-15.0
194,-10.0
195,-15.0
196,-15.0
197,-3.0
198,-5.0
199,-15.0
200,-15.0
201,-15.0
202,-15.0
203,-15.0
204,-9.0
205,-15.0
206,-14.0
207,-15.0
208,-15.0
209,-15.0
210,-15.0
211,-9.0
212,-15.0
213,-15.0
214,-4.0
215,-5.0
216,-15.0
217,-15.0
218,-15.0
219,-15.0
220,-10.0
221,-15.0
222,-15.0
223,-15.0
224,-15.0
225,-15.0
226,-15.0
227,-15.0
228,-15.0
229,-15.0
230,-15.0
231,-15.0
232,-14.0
233,-5.0
234,-15.0
235,-15.0
236,-10.0
237,-15.0
238,-15.0
239,-15.0
240,-15.0
241,-15.0
242,-15.0
243,-15.0
244,-5.0
245,-15.0
246,-4.0
247,-15.0
248,0.0
249,-10.0
250,-15.0
251,-15.0
252,-9.0
253,-15.0
254,-5.0
255,-10.0
256,-15.0
257,-15.0
258,-15.0
259,-15.0
260,-15.0
261,-15.0
262,-15.0
263,-15.0
264,-15.0
265,-15.0
266,-15.0
267,-15.0
268,-15.0
269,-14.0
270,-15.0
271,-15.0
272,-15.0
273,-15.0
274,-15.0
275,-14.0
276,-8.0
277,-15.0
278,-15.0
279,-15.0
280,-10.0
281,-15.0
282,-15.0
283,-15.0
284,-15.0
285,-4.0
286,-15.0
287,-10.0
288,-10.0
289,-15.0
290,-15.0
291,-15.0
292,-4.0
293,-3.0
294,-15.0
295,-15.0
296,-9.0
297,-15.0
298,-10.0
299,-15.0
300,-15.0
301,-15.0
302,-10.0
303,-15.0
304,-10.0
305,-15.0
306,-15.0
307,-10.0
308,-15.0
309,5.0
310,-15.0
311,-10.0
312,-15.0
313,-14.0
314,-15.0
315,-15.0
316,-15.0
317,-15.0
318,-15.0
319,-15.0
320,-15.0
321,-10.0
322,-15.0
323,-15.0
324,-15.0
325,-10.0
326,-10.0
327,11.0
328,-15.0
329,-14.0
330,-15.0
331,-15.0
332,-15.0
333,-15.0
334,-15.0
335,-15.0
336,-15.0
337,-15.0
338,-15.0
339,-14.0
340,-15.0
341,1.0
342,-15.0
343,-15.0
344,-10.0
345,-15.0
346,-15.0
347,-15.0
348,-15.0
349,6.0
350,-10.0
351,-15.0
352,-10.0
353,-15.0
354,-15.0
355,-9.0
356,-15.0
357,-15.0
358,-15.0
359,-15.0
360,2.0
