episode,return
1,-15.0
2,-15.0
3,-15.0
4,-15.0
5,-15.0
6,-15.0
7,-15.0
8,-15.0
9,-15.0
10,-15.0
11,-15.0
12,-15.0
13,-15.0
14,-15.0
15,-15.0
16,-15.0
17,-15.0
18,-15.0
19,-15.0
20,-15.0
21,-15.0
22,-15.0
23,-15.0
24,-15.0
25,-15.0
26,-15.0
27,-15.0
28,-15.0
29,-15.0
30,-15.0
31,-15.0
32,-10.0
33,-15.0
34,-15.0
35,-15.0
36,-15.0
37,-15.0
38,-5.0
39,-15.0
40,-15.0
41,-15.0
42,-15.0
43,-15.0
44,-15.0
45,-15.0
46,-15.0
47,-15.0
48,1.0
49,15.0
50,0.0
51,0.0
52,-10.0
53,-15.0
54,-14.0
55,-15.0
56,10.0
57,-10.0
58,-10.0
59,-10.0
60,-10.0
61,-15.0
62,-10.0
63,0.0
64,-15.0
65,-5.0
66,-15.0
67,-14.0
68,-15.0
69,-5.0
70,-10.0
71,-15.0
72,-10.0
73,-9.0
74,-9.0
75,-9.0
76,-10.0
77,-15.0
78,-10.0
79,-15.0
80,0.0
81,-15.0
82,0.0
83,15.0
84,2.0
85,-15.0
86,-15.0
87,-8.0
88,-5.0
89,-15.0
90,-9.0
91,-15.0
92,-4.0
93,-9.0
94,-15.0
95,-10.0
96,-15.0
97,5.0
98,-10.0
99,-9.0
100,-15.0
101,0.0
102,-9.0
103,-15.0
104,-15.0
105,-10.0
106,-15.0
107,-5.0
108,-10.0
109,-15.0
110,-15.0
111,-9.0
112,1.0
113,-10.0
114,-15.0
115,-10.0
116,-5.0
117,-14.0
118,-15.0
119,-14.0
120,-5.0
121,-15.0
122,-10.0
123,32.0
124,-14.0
125,-9.0
126,-10.0
127,-10.0
128,-9.0
129,-15.0
130,-15.0
131,-10.0
132,-15.0
133,0.0
134,-4.0
135,-8.0
136,-9.0
137,-10.0
138,-10.0
139,21.0
140,-10.0
141,-10.0
142,10.0
143,1.0
144,-15.0
145,10.0
146,-10.0
147,-5.0
148,-10.0
149,6.0
150,-14.0
151,21.0
152,-10.0
