episode,return,length
0,-10.0,49
1,-15.0,32
2,-15.0,24
3,-15.0,30
4,-15.0,24
5,-15.0,36
6,-15.0,38
7,-15.0,24
8,-15.0,26
9,-15.0,24
10,-15.0,24
11,-15.0,31
12,-5.0,83
13,-15.0,24
14,-15.0,24
15,-15.0,28
16,-15.0,34
17,-15.0,35
18,-10.0,57
19,-15.0,24
20,-10.0,49
21,-15.0,32
22,-9.0,48
23,-10.0,61
24,-15.0,28
25,-15.0,24
26,-15.0,24
27,-15.0,31
28,-15.0,34
29,-15.0,24
30,-10.0,58
31,-15.0,38
32,-15.0,24
33,-15.0,24
34,-15.0,33
35,-15.0,34
36,-15.0,43
37,-15.0,24
38,-15.0,24
39,-15.0,24
40,-15.0,24
41,-15.0,32
42,-15.0,26
43,-15.0,38
44,-15.0,37
45,-15.0,31
46,-15.0,41
47,-15.0,31
48,-15.0,30
49,-15.0,24
50,-15.0,41
51,-15.0,43
52,-15.0,38
53,-14.0,40
54,-15.0,43
55,-10.0,44
56,-9.0,66
57,-15.0,24
58,-15.0,24
59,-15.0,24
60,-15.0,24
61,-15.0,24
62,-15.0,30
63,-15.0,24
64,-15.0,30
65,-15.0,34
66,-15.0,30
67,-10.0,64
68,-15.0,24
69,-15.0,34
70,-15.0,40
71,-15.0,24
72,-15.0,38
73,-10.0,69
74,-10.0,47
75,-15.0,24
76,-15.0,24
77,-15.0,38
78,-15.0,38
79,-15.0,32
80,-15.0,30
81,-15.0,26
82,-15.0,24
83,-15.0,30
84,-15.0,24
85,-15.0,24
86,-15.0,24
87,-10.0,46
88,-15.0,35
89,-15.0,40
90,-15.0,43
91,-10.0,44
92,-10.0,59
93,-15.0,24
94,-15.0,32
95,-15.0,32
96,-10.0,50
97,-15.0,24
98,-15.0,21
99,-15.0,24
100,-15.0,24
101,-15.0,24
102,-10.0,65
103,-15.0,24
104,-15.0,39
105,-3.0,94
106,-15.0,31
107,-15.0,24
108,-15.0,24
109,-10.0,62
110,-15.0,35
111,-15.0,24
112,-15.0,24
113,-15.0,24
114,-15.0,32
115,-15.0,33
116,-10.0,64
117,-9.0,62
118,-15.0,24
119,-15.0,33
120,-15.0,30
121,-15.0,31
122,-9.0,48
123,-10.0,54
124,-15.0,24
125,-15.0,24
126,-15.0,24
127,-15.0,40
128,-15.0,24
129,-15.0,31
130,-10.0,53
131,-10.0,48
132,-15.0,32
133,-15.0,24
134,-15.0,30
135,-9.0,67
136,-14.0,43
137,-10.0,55
138,-15.0,24
139,-15.0,30
140,-14.0,42
141,-15.0,33
142,-15.0,30
143,-15.0,24
144,-5.0,72
145,-15.0,39
146,-15.0,40
147,-15.0,24
148,-9.0,47
149,-15.0,24
150,-15.0,40
151,-15.0,24
152,-15.0,30
153,-15.0,25
154,-9.0,58
155,-15.0,24
156,-5.0,94
157,-15.0,24
158,-15.0,24
159,-15.0,30
160,-15.0,24
161,-15.0,30
162,-9.0,56
163,-10.0,47
164,-15.0,24
165,-15.0,24
166,-15.0,40
167,-15.0,33
168,-15.0,24
169,-15.0,24
170,-15.0,24
171,-15.0,31
172,-15.0,24
173,-15.0,24
174,-15.0,43
175,-5.0,78
176,-15.0,24
177,-15.0,21
178,-15.0,24
179,-15.0,43
180,-15.0,34
181,-15.0,24
182,-15.0,24
183,-15.0,25
184,-15.0,24
185,-15.0,24
186,-15.0,30
187,-9.0,43
188,-9.0,55
189,-15.0,31
190,-15.0,30
191,-15.0,24
192,-15.0,35
193,-15.0,31
194,-10.0,56
195,-15.0,39
196,-15.0,35
197,-10.0,53
198,-15.0,30
199,-15.0,24
200,-9.0,46
201,-15.0,24
202,-15.0,42
203,-15.0,43
204,-15.0,24
205,-15.0,24
206,-15.0,32
207,-15.0,33
208,-15.0,24
209,-15.0,24
210,-10.0,45
211,-15.0,30
212,-14.0,43
213,-15.0,30
214,-15.0,24
215,-10.0,71
216,-15.0,40
217,-10.0,54
218,-14.0,43
219,-15.0,24
220,-15.0,24
221,-15.0,30
222,-15.0,30
223,-15.0,31
224,-15.0,32
225,-15.0,38
226,-15.0,24
227,-9.0,43
228,-10.0,60
229,-15.0,24
230,-15.0,31
231,-15.0,24
232,-15.0,23
233,-15.0,24
234,-15.0,24
235,-15.0,43
236,-15.0,43
237,-15.0,24
238,-15.0,40
239,-15.0,28
240,-9.0,53
241,-15.0,24
242,-15.0,19
243,-15.0,24
244,-15.0,30
245,-15.0,24
246,-15.0,24
247,-9.0,56
248,-15.0,24
249,-10.0,71
250,-10.0,50
251,-15.0,36
252,-15.0,40
253,-15.0,42
254,-14.0,43
255,-15.0,35
256,-15.0,24
257,-15.0,24
258,-15.0,24
259,-10.0,43
260,-15.0,30
261,-15.0,19
262,-15.0,24
263,-15.0,24
264,-15.0,24
265,-15.0,33
266,-15.0,24
267,-15.0,43
268,-10.0,45
269,-15.0,28
270,-15.0,33
271,-10.0,47
272,-15.0,24
273,-15.0,24
274,-15.0,24
275,-15.0,39
276,-15.0,31
277,-15.0,24
278,-9.0,47
279,-10.0,45
280,-15.0,35
281,-15.0,24
282,-15.0,30
283,-15.0,25
284,-15.0,26
285,-15.0,32
286,-15.0,33
287,-15.0,24
288,-10.0,57
289,-15.0,24
290,-15.0,24
291,-15.0,24
292,-15.0,32
293,-10.0,56
294,-10.0,55
295,-15.0,35
296,-15.0,33
297,-10.0,55
298,-15.0,24
299,-4.0,99
300,-15.0,43
301,-9.0,55
302,-15.0,43
303,-10.0,69
304,-15.0,43
305,-15.0,40
306,-14.0,40
307,-15.0,43
308,-9.0,65
309,-9.0,62
310,-10.0,54
311,-15.0,38
312,-10.0,57
313,-15.0,35
314,-14.0,43
315,-15.0,38
316,-9.0,60
317,-9.0,51
318,-15.0,43
319,-15.0,39
320,-10.0,54
321,-10.0,55
322,-15.0,32
323,-4.0,99
324,-15.0,43
325,-10.0,55
326,-10.0,55
327,-9.0,55
328,-10.0,44
329,-10.0,71
330,-15.0,43
331,-9.0,47
332,-10.0,61
333,-10.0,50
334,-15.0,43
335,-9.0,66
336,-15.0,43
337,-9.0,55
338,-9.0,53
339,-10.0,65
340,-14.0,43
341,-15.0,43
342,-14.0,43
343,-10.0,65
344,-15.0,35
345,-15.0,36
346,0.0,121
347,-15.0,43
348,-10.0,71
349,1.0,116
350,-15.0,43
351,-10.0,71
352,5.0,147
353,-10.0,71
354,15.0,208
355,-5.0,99
356,-14.0,43
357,-9.0,68
358,-15.0,43
359,-10.0,71
360,-5.0,99
361,-15.0,43
362,15.0,208
363,-5.0,99
364,-15.0,32
365,5.0,154
366,2.0,127
367,-15.0,43
368,-14.0,43
369,-9.0,69
370,-5.0,84
371,-9.0,63
372,-9.0,65
373,20.0,235
374,-10.0,71
375,-5.0,99
376,-5.0,74
377,17.0,185
378,5.0,130
379,-15.0,40
380,-9.0,64
381,11.0,174
382,11.0,171
383,0.0,127
384,-10.0,71
385,20.0,223
386,-5.0,99
387,-15.0,43
388,0.0,127
389,0.0,127
390,0.0,127
391,-4.0,99
392,-14.0,43
393,-10.0,57
394,-9.0,71
395,27.0,262
396,0.0,117
397,-15.0,43
398,-9.0,71
399,-5.0,99
400,-10.0,70
401,-9.0,71
402,-15.0,43
403,-5.0,73
404,-4.0,99
405,-8.0,71
406,5.0,132
407,0.0,127
408,-15.0,43
409,-10.0,71
410,1.0,127
411,0.0,127
412,-14.0,43
413,0.0,127
414,-15.0,43
415,-4.0,99
416,-5.0,86
417,7.0,154
418,-15.0,43
419,31.0,288
420,-15.0,43
421,5.0,154
422,5.0,154
423,-15.0,43
424,-15.0,43
425,21.0,235
426,-5.0,99
427,-5.0,99
428,-10.0,71
429,42.0,341
430,0.0,127
431,5.0,133
432,-15.0,43
433,-5.0,99
434,-15.0,43
435,0.0,127
