episode,return
1,51.0
2,184.0
3,92.0
4,114.0
5,173.0
6,76.0
7,149.0
8,-5.0
9,120.0
10,125.0
11,15.0
12,70.0
13,32.0
14,35.0
15,140.0
16,136.0
17,133.0
18,172.0
19,112.0
20,125.0
21,92.0
22,66.0
23,86.0
24,177.0
25,106.0
26,163.0
27,55.0
28,175.0
29,170.0
30,164.0
31,50.0
32,112.0
33,0.0
34,167.0
35,95.0
36,94.0
37,180.0
38,41.0
39,96.0
40,113.0
41,-3.0
42,24.0
43,107.0
44,123.0
45,-5.0
46,143.0
47,82.0
48,85.0
49,130.0
50,71.0
51,159.0
52,171.0
53,35.0
54,-4.0
55,76.0
56,136.0
57,-4.0
58,65.0
59,143.0
60,200.0
61,131.0
62,164.0
63,181.0
64,127.0
65,41.0
66,180.0
67,127.0
68,35.0
69,162.0
70,115.0
71,48.0
72,157.0
73,108.0
74,131.0
75,88.0
76,162.0
77,236.0
78,120.0
79,197.0
80,120.0
81,176.0
82,106.0
83,70.0
84,91.0
85,129.0
86,111.0
87,198.0
88,165.0
89,65.0
90,125.0
91,70.0
92,146.0
93,169.0
94,177.0
95,127.0
96,46.0
97,109.0
98,96.0
99,41.0
100,100.0
101,94.0
102,75.0
103,-10.0
104,246.0
105,65.0
106,144.0
107,30.0
108,110.0
109,134.0
110,135.0
111,140.0
112,175.0
113,132.0
114,53.0
115,120.0
116,98.0
117,60.0
118,195.0
119,46.0
120,94.0
121,130.0
122,196.0
123,117.0
124,72.0
125,56.0
126,157.0
127,40.0
128,196.0
129,175.0
130,158.0
131,146.0
132,118.0
133,55.0
134,125.0
135,82.0
136,162.0
137,201.0
138,145.0
139,61.0
140,0.0
141,117.0
142,59.0
143,190.0
144,60.0
145,138.0
146,112.0
147,208.0
148,85.0
149,152.0
150,165.0
151,157.0
152,76.0
153,23.0
154,160.0
155,127.0
156,11.0
157,0.0
158,126.0
159,77.0
160,98.0
161,192.0
162,100.0
163,30.0
164,26.0
165,101.0
166,160.0
167,60.0
168,62.0
169,131.0
170,231.0
171,179.0
172,202.0
173,23.0
174,154.0
175,113.0
176,117.0
177,83.0
178,110.0
179,195.0
180,-4.0
181,52.0
182,160.0
183,125.0
184,10.0
185,148.0
186,189.0
187,113.0
188,98.0
189,146.0
190,171.0
191,142.0
192,130.0
193,82.0
194,98.0
195,47.0
196,152.0
197,148.0
198,-4.0
199,98.0
200,17.0
201,105.0
202,231.0
203,100.0
204,88.0
205,76.0
206,111.0
207,128.0
208,132.0
209,128.0
210,141.0
211,96.0
212,-9.0
213,127.0
214,86.0
215,98.0
216,162.0
217,55.0
218,137.0
219,40.0
220,70.0
221,113.0
222,149.0
223,157.0
224,91.0
225,90.0
226,97.0
227,99.0
228,137.0
229,96.0
230,101.0
231,170.0
232,180.0
233,-10.0
234,57.0
235,31.0
236,78.0
237,121.0
238,91.0
239,162.0
240,131.0
241,128.0
242,172.0
243,23.0
244,42.0
245,77.0
246,170.0
247,30.0
248,136.0
249,161.0
250,135.0
251,120.0
252,182.0
253,175.0
254,176.0
255,172.0
256,11.0
257,206.0
258,172.0
259,139.0
260,172.0
261,165.0
262,228.0
263,172.0
264,145.0
265,123.0
266,200.0
267,102.0
268,183.0
269,101.0
270,21.0
271,134.0
272,57.0
273,131.0
274,140.0
275,30.0
276,94.0
277,26.0
278,166.0
279,145.0
280,215.0
281,135.0
282,42.0
283,138.0
284,200.0
285,13.0
286,166.0
287,135.0
288,11.0
289,180.0
290,170.0
291,90.0
292,43.0
293,139.0
294,127.0
295,211.0
296,176.0
297,130.0
298,31.0
299,177.0
300,102.0
301,151.0
302,184.0
303,146.0
304,32.0
305,112.0
306,146.0
307,176.0
308,97.0
309,0.0
310,24.0
311,108.0
312,70.0
313,115.0
314,60.0
315,183.0
316,208.0
317,61.0
318,146.0
319,170.0
320,102.0
321,74.0
322,47.0
323,40.0
324,66.0
325,140.0
326,209.0
327,-4.0
328,188.0
329,109.0
330,92.0
331,165.0
332,-15.0
333,184.0
334,151.0
335,103.0
336,162.0
337,25.0
338,135.0
339,86.0
340,177.0
341,139.0
342,166.0
343,84.0
344,152.0
345,76.0
346,86.0
347,215.0
348,62.0
349,66.0
350,149.0
351,1.0
352,50.0
353,26.0
354,75.0
355,82.0
356,126.0
357,20.0
358,106.0
359,181.0
360,115.0
361,63.0
362,139.0
363,111.0
364,61.0
365,165.0
366,133.0
367,123.0
368,185.0
369,193.0
370,57.0
371,137.0
372,25.0
373,148.0
374,138.0
375,181.0
376,177.0
377,71.0
378,57.0
379,57.0
380,125.0
381,96.0
382,128.0
383,103.0
384,98.0
385,139.0
386,139.0
387,137.0
388,92.0
389,85.0
390,49.0
391,70.0
392,-4.0
393,37.0
394,121.0
395,10.0
396,19.0
397,107.0
398,187.0
399,60.0
400,0.0
401,122.0
402,181.0
403,-5.0
404,173.0
405,202.0
406,168.0
407,126.0
408,-9.0
409,172.0
410,77.0
411,93.0
412,176.0
413,166.0
414,197.0
415,90.0
416,182.0
417,0.0
418,109.0
419,157.0
420,130.0
421,191.0
422,111.0
423,156.0
424,127.0
425,108.0
426,143.0
427,68.0
428,130.0
429,92.0
430,124.0
431,122.0
432,136.0
433,150.0
434,120.0
435,153.0
436,121.0
437,226.0
438,67.0
439,76.0
440,122.0
441,132.0
442,20.0
443,-5.0
444,112.0
445,80.0
446,119.0
447,76.0
448,109.0
449,216.0
450,161.0
451,145.0
452,126.0
453,71.0
454,110.0
455,97.0
456,111.0
457,51.0
458,40.0
459,72.0
460,110.0
461,205.0
462,190.0
463,119.0
464,70.0
465,40.0
466,135.0
467,41.0
468,182.0
469,151.0
470,112.0
471,74.0
472,190.0
473,146.0
474,25.0
475,105.0
476,132.0
477,63.0
478,170.0
479,178.0
480,140.0
481,124.0
482,125.0
483,116.0
484,138.0
485,20.0
486,45.0
487,32.0
488,156.0
489,76.0
490,97.0
491,90.0
492,95.0
493,182.0
494,5.0
495,62.0
496,158.0
497,125.0
498,121.0
499,106.0
500,192.0
501,7.0
502,143.0
503,51.0
504,203.0
505,17.0
506,95.0
507,115.0
508,104.0
509,21.0
510,146.0
511,166.0
512,95.0
513,49.0
514,160.0
515,182.0
516,59.0
517,108.0
518,54.0
519,114.0
520,137.0
521,45.0
522,162.0
523,143.0
524,99.0
525,128.0
526,51.0
527,21.0
528,117.0
529,196.0
530,96.0
531,89.0
532,134.0
533,63.0
534,55.0
535,97.0
536,121.0
537,89.0
538,114.0
539,195.0
540,134.0
541,-15.0
542,183.0
543,137.0
544,23.0
545,171.0
546,126.0
547,158.0
548,133.0
549,129.0
550,10.0
551,40.0
552,62.0
553,100.0
554,10.0
555,130.0
556,186.0
557,133.0
558,69.0
559,59.0
560,176.0
561,160.0
562,125.0
563,136.0
564,133.0
565,69.0
566,146.0
567,102.0
568,52.0
569,65.0
570,121.0
571,66.0
572,46.0
573,33.0
574,151.0
575,73.0
576,27.0
577,46.0
578,111.0
579,-15.0
580,138.0
581,59.0
582,106.0
583,131.0
584,145.0
585,63.0
586,101.0
587,51.0
588,173.0
589,190.0
590,116.0
591,89.0
592,56.0
593,163.0
594,138.0
595,31.0
596,126.0
597,40.0
598,144.0
599,61.0
600,100.0
601,112.0
602,0.0
603,105.0
604,135.0
605,0.0
606,-9.0
607,71.0
608,81.0
609,46.0
610,63.0
611,80.0
612,182.0
613,101.0
614,185.0
615,117.0
616,106.0
617,177.0
618,51.0
619,45.0
620,97.0
621,86.0
622,119.0
623,85.0
624,118.0
625,56.0
626,159.0
627,65.0
628,36.0
629,149.0
630,-14.0
631,115.0
632,60.0
633,120.0
634,2.0
635,67.0
636,154.0
637,17.0
638,35.0
639,25.0
640,190.0
641,57.0
642,158.0
643,122.0
644,126.0
645,0.0
646,111.0
647,135.0
648,107.0
649,132.0
650,96.0
651,209.0
652,128.0
653,99.0
654,112.0
655,67.0
656,5.0
657,96.0
658,138.0
659,182.0
660,155.0
661,101.0
662,175.0
663,175.0
664,103.0
665,86.0
666,100.0
667,90.0
668,-10.0
669,110.0
670,182.0
671,200.0
672,177.0
673,93.0
674,67.0
675,90.0
676,-10.0
677,97.0
678,-10.0
679,94.0
680,157.0
681,146.0
682,16.0
683,30.0
684,192.0
685,158.0
686,165.0
687,186.0
688,119.0
689,37.0
690,66.0
691,78.0
692,83.0
693,100.0
694,-3.0
695,68.0
696,110.0
697,131.0
698,31.0
699,1.0
700,131.0
701,163.0
702,35.0
703,117.0
704,162.0
705,157.0
706,223.0
707,148.0
708,146.0
709,0.0
710,100.0
711,22.0
712,197.0
713,141.0
714,203.0
715,120.0
716,112.0
717,100.0
718,58.0
719,15.0
720,175.0
721,41.0
722,46.0
723,125.0
724,98.0
725,95.0
726,10.0
727,35.0
728,-10.0
729,214.0
730,165.0
731,197.0
732,126.0
733,90.0
734,122.0
735,92.0
736,102.0
737,87.0
738,229.0
739,15.0
740,46.0
741,51.0
742,161.0
743,225.0
744,63.0
745,103.0
746,138.0
747,166.0
748,148.0
749,76.0
750,183.0
751,210.0
752,92.0
753,161.0
754,25.0
755,76.0
756,210.0
757,125.0
758,67.0
759,0.0
760,136.0
761,77.0
762,-9.0
763,105.0
764,82.0
765,126.0
766,133.0
767,40.0
768,87.0
769,85.0
770,98.0
771,118.0
772,216.0
773,96.0
774,32.0
775,111.0
776,95.0
777,54.0
778,187.0
779,76.0
780,136.0
781,72.0
782,215.0
783,94.0
784,151.0
785,186.0
786,149.0
787,15.0
788,143.0
789,151.0
790,183.0
791,216.0
792,72.0
793,190.0
794,31.0
795,45.0
796,128.0
797,125.0
798,114.0
799,152.0
800,89.0
801,122.0
802,113.0
803,46.0
804,90.0
805,168.0
806,115.0
807,68.0
808,170.0
809,129.0
810,-10.0
811,142.0
812,156.0
813,171.0
814,182.0
815,143.0
816,93.0
817,0.0
818,87.0
819,128.0
820,173.0
821,172.0
822,32.0
823,191.0
824,50.0
825,11.0
826,97.0
827,61.0
828,129.0
829,34.0
830,17.0
831,200.0
832,121.0
833,101.0
834,161.0
835,151.0
836,116.0
837,142.0
838,55.0
839,205.0
840,144.0
841,150.0
842,173.0
843,57.0
844,53.0
845,150.0
846,25.0
847,139.0
848,76.0
849,17.0
850,97.0
851,151.0
852,5.0
853,96.0
854,96.0
855,168.0
856,-15.0
857,37.0
858,10.0
859,114.0
860,103.0
861,115.0
862,150.0
863,202.0
864,161.0
865,164.0
866,141.0
867,181.0
868,116.0
869,160.0
870,137.0
871,22.0
872,160.0
873,145.0
874,-5.0
875,60.0
876,171.0
877,65.0
878,95.0
879,-14.0
880,184.0
881,26.0
882,92.0
883,133.0
884,95.0
885,57.0
886,2.0
887,198.0
888,127.0
889,76.0
890,191.0
891,149.0
892,142.0
893,210.0
894,125.0
895,5.0
896,169.0
897,107.0
898,154.0
899,190.0
900,153.0
901,155.0
902,120.0
903,92.0
904,148.0
905,240.0
906,15.0
907,76.0
908,64.0
909,50.0
910,137.0
911,168.0
912,32.0
913,189.0
914,110.0
915,172.0
916,67.0
917,182.0
918,61.0
919,142.0
920,135.0
921,135.0
922,168.0
923,68.0
924,175.0
925,162.0
926,106.0
927,95.0
928,28.0
929,115.0
930,102.0
931,180.0
932,17.0
933,96.0
934,140.0
935,26.0
936,106.0
937,184.0
938,168.0
