episode,return
1,168.0
2,181.0
3,174.0
4,119.0
5,199.0
6,18.0
7,66.0
8,178.0
9,100.0
10,122.0
11,-3.0
12,95.0
13,53.0
14,183.0
15,212.0
16,64.0
17,119.0
18,201.0
19,148.0
20,172.0
21,67.0
22,128.0
23,-14.0
24,72.0
25,148.0
26,131.0
27,20.0
28,90.0
29,234.0
30,168.0
31,110.0
32,158.0
33,123.0
34,52.0
35,89.0
36,95.0
37,-15.0
38,76.0
39,208.0
40,155.0
41,137.0
42,17.0
43,91.0
44,138.0
45,131.0
46,208.0
47,144.0
48,80.0
49,132.0
50,177.0
51,90.0
52,200.0
53,1.0
54,31.0
55,56.0
56,155.0
57,23.0
58,91.0
59,155.0
60,174.0
61,71.0
62,149.0
63,-15.0
64,116.0
65,32.0
66,85.0
67,128.0
68,6.0
69,62.0
70,17.0
71,145.0
72,25.0
73,142.0
74,107.0
75,76.0
76,198.0
77,58.0
78,151.0
79,80.0
80,149.0
81,107.0
82,177.0
83,104.0
84,35.0
85,175.0
86,95.0
87,66.0
88,151.0
89,73.0
90,176.0
91,235.0
92,56.0
93,81.0
94,152.0
95,202.0
96,161.0
97,40.0
98,-8.0
99,10.0
100,230.0
101,140.0
102,131.0
103,149.0
104,118.0
105,-5.0
106,158.0
107,168.0
108,132.0
109,176.0
110,135.0
111,177.0
112,0.0
113,96.0
114,126.0
115,89.0
116,133.0
117,65.0
118,154.0
119,98.0
120,207.0
121,180.0
122,161.0
123,142.0
124,136.0
125,143.0
126,26.0
127,181.0
128,169.0
129,10.0
130,91.0
131,157.0
132,40.0
133,210.0
134,22.0
135,167.0
136,97.0
137,110.0
138,73.0
139,43.0
140,155.0
141,216.0
142,-4.0
143,139.0
144,189.0
145,164.0
146,141.0
147,95.0
148,191.0
149,165.0
150,195.0
151,205.0
152,10.0
153,161.0
154,107.0
155,213.0
156,152.0
157,157.0
158,220.0
159,184.0
160,137.0
161,129.0
162,193.0
163,125.0
164,176.0
165,146.0
166,165.0
167,196.0
168,140.0
169,112.0
170,147.0
171,182.0
172,127.0
173,107.0
174,74.0
175,155.0
176,68.0
177,171.0
178,131.0
179,154.0
180,116.0
181,128.0
182,117.0
183,175.0
184,83.0
185,62.0
186,142.0
187,203.0
188,143.0
189,140.0
190,115.0
191,150.0
192,82.0
193,17.0
194,131.0
195,125.0
196,172.0
197,20.0
198,47.0
199,60.0
200,126.0
201,69.0
202,60.0
203,171.0
204,196.0
205,85.0
206,163.0
207,85.0
208,177.0
209,169.0
210,167.0
211,121.0
212,-9.0
213,137.0
214,91.0
215,82.0
216,192.0
217,60.0
218,90.0
219,119.0
220,25.0
221,114.0
222,46.0
223,121.0
224,181.0
225,41.0
226,97.0
227,108.0
228,116.0
229,96.0
230,57.0
231,65.0
232,-5.0
233,97.0
234,201.0
235,99.0
236,81.0
237,71.0
238,126.0
239,-15.0
240,17.0
241,1.0
242,141.0
243,135.0
244,-9.0
245,30.0
246,128.0
247,166.0
248,41.0
249,185.0
250,56.0
251,70.0
252,73.0
253,145.0
254,160.0
255,36.0
256,129.0
257,168.0
258,129.0
259,127.0
260,101.0
261,175.0
262,111.0
263,76.0
264,124.0
265,231.0
266,155.0
267,104.0
268,51.0
269,115.0
270,187.0
271,-15.0
272,120.0
273,89.0
274,136.0
275,20.0
276,146.0
277,28.0
278,102.0
279,65.0
280,94.0
281,135.0
282,127.0
283,69.0
284,15.0
285,99.0
286,141.0
287,124.0
288,141.0
289,168.0
290,89.0
291,149.0
292,58.0
293,173.0
294,217.0
295,147.0
296,194.0
297,15.0
298,175.0
299,61.0
300,145.0
301,204.0
302,132.0
303,-10.0
304,146.0
305,103.0
306,41.0
307,86.0
308,184.0
309,88.0
310,160.0
311,115.0
312,183.0
313,110.0
