episode,return
1,210.0
2,124.0
3,-4.0
4,196.0
5,38.0
6,165.0
7,99.0
8,99.0
9,-4.0
10,97.0
11,96.0
12,127.0
13,183.0
14,23.0
15,54.0
16,156.0
17,11.0
18,131.0
19,192.0
20,107.0
21,143.0
22,161.0
23,153.0
24,170.0
25,198.0
26,156.0
27,50.0
28,140.0
29,221.0
30,127.0
31,121.0
32,10.0
33,26.0
34,36.0
35,27.0
36,135.0
37,165.0
38,146.0
39,71.0
40,142.0
41,93.0
42,15.0
43,233.0
44,207.0
45,204.0
46,198.0
47,151.0
48,57.0
49,138.0
50,91.0
51,80.0
52,163.0
53,140.0
54,207.0
55,30.0
56,61.0
57,102.0
58,35.0
59,5.0
60,15.0
61,56.0
62,-10.0
63,102.0
64,87.0
65,36.0
66,5.0
67,141.0
68,155.0
69,60.0
70,111.0
71,159.0
72,93.0
73,11.0
74,91.0
75,240.0
76,47.0
77,11.0
78,155.0
79,96.0
80,20.0
81,101.0
82,21.0
83,-10.0
84,202.0
85,136.0
86,93.0
87,145.0
88,142.0
89,147.0
90,90.0
91,116.0
92,42.0
93,133.0
94,22.0
95,200.0
96,177.0
97,97.0
98,0.0
99,81.0
100,191.0
101,123.0
102,35.0
103,59.0
104,121.0
105,-9.0
106,110.0
107,140.0
108,97.0
109,-14.0
110,51.0
111,154.0
112,78.0
113,68.0
114,171.0
115,105.0
116,115.0
117,80.0
118,0.0
119,72.0
120,56.0
121,171.0
122,151.0
123,52.0
124,159.0
125,116.0
126,91.0
127,168.0
128,-4.0
129,120.0
130,67.0
131,97.0
132,30.0
133,130.0
134,73.0
135,40.0
136,115.0
137,139.0
138,100.0
139,31.0
140,82.0
141,42.0
142,131.0
143,-8.0
144,119.0
145,200.0
146,122.0
147,141.0
148,131.0
149,203.0
150,86.0
151,31.0
152,108.0
153,80.0
154,22.0
155,75.0
156,129.0
157,16.0
158,132.0
159,67.0
160,145.0
161,20.0
162,-10.0
163,161.0
164,91.0
165,80.0
166,32.0
167,47.0
168,143.0
169,35.0
170,123.0
171,164.0
172,149.0
173,55.0
