episode,return
1,77.0
2,66.0
3,130.0
4,113.0
5,155.0
6,37.0
7,183.0
8,133.0
9,205.0
10,92.0
11,167.0
12,157.0
13,66.0
14,121.0
15,80.0
16,6.0
17,170.0
18,156.0
19,26.0
20,125.0
21,163.0
22,68.0
23,99.0
24,33.0
25,72.0
26,49.0
27,113.0
28,112.0
29,62.0
30,71.0
31,-15.0
32,137.0
33,120.0
34,162.0
35,93.0
36,68.0
37,86.0
38,100.0
39,130.0
40,100.0
41,211.0
42,108.0
43,105.0
44,104.0
45,46.0
46,218.0
47,140.0
48,197.0
49,107.0
50,147.0
51,179.0
52,61.0
53,92.0
54,106.0
55,25.0
56,61.0
57,169.0
58,144.0
59,171.0
60,26.0
61,60.0
62,168.0
63,170.0
64,294.0
65,160.0
66,-10.0
67,30.0
68,80.0
69,95.0
70,50.0
71,85.0
72,15.0
73,166.0
74,180.0
75,132.0
76,71.0
77,196.0
78,-10.0
79,205.0
80,158.0
81,66.0
82,141.0
83,43.0
84,121.0
85,66.0
86,30.0
87,101.0
88,116.0
89,60.0
90,170.0
91,77.0
92,167.0
93,164.0
94,0.0
95,83.0
96,76.0
97,95.0
98,117.0
99,0.0
100,102.0
101,121.0
102,190.0
103,201.0
104,51.0
105,122.0
106,208.0
107,135.0
108,47.0
109,72.0
110,71.0
111,102.0
112,107.0
113,67.0
114,126.0
115,140.0
116,55.0
117,190.0
118,136.0
119,160.0
120,172.0
121,63.0
122,-15.0
123,142.0
124,173.0
125,101.0
126,115.0
127,126.0
128,64.0
129,31.0
130,106.0
131,96.0
132,176.0
133,116.0
134,103.0
135,-15.0
136,92.0
137,103.0
138,156.0
139,96.0
140,96.0
141,45.0
142,113.0
143,63.0
144,101.0
145,1.0
146,90.0
147,181.0
148,155.0
149,72.0
150,80.0
151,25.0
152,28.0
153,185.0
154,142.0
155,11.0
156,149.0
157,111.0
158,110.0
159,20.0
160,147.0
161,96.0
162,140.0
163,159.0
164,-10.0
165,120.0
166,187.0
167,130.0
168,208.0
169,120.0
170,161.0
171,73.0
172,226.0
173,100.0
174,-15.0
175,116.0
176,61.0
177,63.0
178,-15.0
