episode,return
1,-14.0
2,-18.0
3,-20.0
4,-20.0
5,-15.0
6,-19.0
7,-18.0
8,-18.0
9,-20.0
10,-20.0
11,-18.0
12,-20.0
13,-18.0
14,-16.0
15,-17.0
16,-20.0
17,-19.0
18,-16.0
19,-20.0
20,-17.0
21,-18.0
22,-17.0
23,-11.0
24,-11.0
25,-19.0
26,-15.0
27,-17.0
28,-19.0
29,-18.0
30,-15.0
31,-19.0
32,-16.0
33,-18.0
34,-19.0
35,-19.0
36,-20.0
37,-20.0
38,-19.0
39,-20.0
40,-19.0
41,-18.0
42,-19.0
43,-20.0
44,-14.0
45,-19.0
46,-20.0
47,-18.0
48,-20.0
49,-15.0
50,-20.0
51,-18.0
52,-18.0
53,-19.0
54,-18.0
55,-16.0
56,-19.0
57,-20.0
58,-16.0
59,-15.0
60,-18.0
61,-20.0
62,-18.0
63,-15.0
64,-19.0
65,-19.0
66,-16.0
67,-20.0
68,-14.0
69,-15.0
70,-18.0
71,-16.0
72,-19.0
73,-17.0
74,-20.0
75,-15.0
76,-15.0
77,-19.0
78,-19.0
79,-20.0
80,-20.0
81,-18.0
82,-17.0
83,-20.0
84,-20.0
85,-17.0
86,-17.0
87,-18.0
88,-15.0
89,-20.0
90,-20.0
91,-19.0
92,-18.0
93,-16.0
94,-18.0
95,-11.0
96,-20.0
97,-18.0
98,-20.0
99,-20.0
100,-18.0
101,-19.0
102,-19.0
103,-19.0
104,-14.0
105,-20.0
106,-19.0
107,-18.0
108,-20.0
109,-13.0
110,-18.0
111,-15.0
112,-19.0
113,-17.0
114,-19.0
115,-20.0
116,-13.0
117,-16.0
118,-17.0
119,-18.0
120,-17.0
121,-19.0
122,-19.0
123,-17.0
124,-20.0
125,-18.0
126,-20.0
127,-19.0
128,-16.0
129,-17.0
130,-20.0
131,-19.0
132,-20.0
133,-16.0
134,-20.0
135,-18.0
136,-18.0
137,-20.0
138,-15.0
139,-17.0
140,-20.0
141,-20.0
142,-20.0
143,-18.0
144,-20.0
145,-20.0
146,-15.0
147,-19.0
148,-19.0
149,-19.0
150,-15.0
151,-13.0
152,-20.0
153,-19.0
154,-18.0
155,-20.0
156,-15.0
157,-17.0
158,-18.0
159,-16.0
160,-19.0
161,-20.0
162,-20.0
163,-18.0
164,-17.0
165,-18.0
166,-20.0
167,-19.0
168,-17.0
169,-15.0
170,-20.0
171,-14.0
172,-14.0
173,-20.0
174,-18.0
175,-20.0
176,-17.0
177,-20.0
178,-16.0
179,-20.0
180,-20.0
181,-18.0
182,-19.0
183,-17.0
184,-20.0
185,-18.0
186,-17.0
187,-20.0
188,-18.0
189,-16.0
190,-20.0
191,-18.0
192,-19.0
193,-19.0
194,-16.0
195,-11.0
196,-20.0
197,-19.0
198,-20.0
199,-19.0
200,-18.0
201,-16.0
202,-20.0
203,-19.0
204,-16.0
205,-20.0
206,-20.0
207,-13.0
208,-20.0
209,-17.0
210,-17.0
211,-20.0
212,-14.0
213,-20.0
214,-19.0
215,-15.0
216,-17.0
217,-19.0
218,-20.0
219,-19.0
220,-15.0
221,-19.0
222,-20.0
223,-19.0
224,-18.0
225,-20.0
226,-20.0
227,-17.0
228,-18.0
229,-20.0
230,-20.0
231,-19.0
232,-19.0
233,-20.0
234,-11.0
235,-20.0
236,-19.0
237,-19.0
238,-16.0
239,-19.0
240,-20.0
241,-20.0
242,-20.0
243,-18.0
244,-18.0
245,-18.0
246,-17.0
247,-20.0
248,-19.0
249,-14.0
250,-19.0
251,-19.0
252,-19.0
253,-15.0
254,-19.0
255,-16.0
256,-20.0
257,-17.0
258,-16.0
259,-19.0
260,-18.0
261,-19.0
262,-18.0
263,-20.0
264,-14.0
265,-20.0
266,-19.0
267,-20.0
268,-20.0
269,-20.0
270,-16.0
271,-20.0
272,-20.0
273,-20.0
274,-19.0
275,-15.0
276,-15.0
277,-19.0
278,-16.0
279,-18.0
280,-19.0
281,-19.0
282,-19.0
283,-17.0
284,-20.0
285,-18.0
286,-20.0
287,-18.0
288,-18.0
289,-20.0
290,-15.0
291,-19.0
292,-19.0
293,-16.0
294,-20.0
295,-19.0
296,-16.0
297,-20.0
298,-19.0
299,-6.0
300,-19.0
301,-18.0
302,-17.0
303,-18.0
304,-16.0
305,-18.0
306,-18.0
307,-19.0
308,-19.0
309,-20.0
310,-18.0
311,-20.0
312,-19.0
313,-16.0
314,-19.0
315,-16.0
316,-15.0
317,-16.0
318,-19.0
319,-15.0
320,-14.0
321,-19.0
322,-19.0
323,-19.0
324,-18.0
325,-19.0
326,-20.0
327,-18.0
328,-17.0
329,-20.0
330,-20.0
331,-17.0
332,-17.0
333,-20.0
334,-15.0
335,-10.0
336,-19.0
337,-18.0
338,-20.0
339,-18.0
340,-20.0
341,-17.0
342,-12.0
343,-19.0
344,-14.0
345,-20.0
346,-19.0
347,-17.0
348,-16.0
349,-15.0
350,-15.0
351,-19.0
352,-17.0
353,-19.0
354,-10.0
355,-20.0
356,-19.0
357,-19.0
358,-16.0
359,-16.0
360,-20.0
361,-10.0
362,-20.0
363,-18.0
364,-18.0
365,-18.0
366,-12.0
367,-18.0
368,-17.0
369,-20.0
370,-20.0
371,-20.0
372,-20.0
373,-19.0
374,-20.0
375,-19.0
376,-17.0
377,-16.0
378,-20.0
379,-20.0
380,-12.0
381,-19.0
382,-19.0
383,-18.0
384,-16.0
385,-18.0
386,-20.0
387,-19.0
388,-16.0
389,-17.0
390,-18.0
391,-18.0
392,-20.0
393,-19.0
394,-16.0
395,-17.0
396,-16.0
397,-16.0
398,-17.0
399,-20.0
400,-15.0
401,-18.0
402,-18.0
403,-19.0
404,-19.0
405,-19.0
406,-17.0
407,-20.0
408,-20.0
409,-20.0
410,-20.0
411,-19.0
412,-19.0
413,-17.0
414,-20.0
415,-16.0
416,-18.0
417,-17.0
418,-16.0
419,-18.0
420,-17.0
421,-19.0
422,-20.0
423,-18.0
424,-19.0
425,-19.0
426,-20.0
427,-16.0
428,-20.0
429,-18.0
430,-20.0
431,-20.0
432,-11.0
433,-20.0
434,-15.0
435,-15.0
436,-19.0
437,-19.0
438,-19.0
439,-20.0
440,-14.0
441,-17.0
442,-20.0
443,-17.0
444,-18.0
445,-20.0
446,-20.0
447,-20.0
448,-20.0
449,-19.0
450,-18.0
451,-19.0
452,-16.0
453,-19.0
454,-17.0
455,-17.0
456,-20.0
457,-17.0
458,-20.0
459,-18.0
460,-19.0
461,-19.0
462,-18.0
463,-16.0
464,-16.0
465,-17.0
466,-16.0
467,-17.0
468,-20.0
469,-20.0
470,-15.0
471,-10.0
472,-19.0
473,-20.0
474,-20.0
475,-19.0
476,-15.0
477,-20.0
478,-17.0
479,-20.0
480,-18.0
481,-20.0
482,-19.0
483,-20.0
484,-20.0
485,-20.0
486,-17.0
487,-20.0
488,-18.0
489,-12.0
490,-20.0
491,-17.0
492,-18.0
493,-20.0
494,-19.0
495,-20.0
496,-19.0
497,-19.0
498,-15.0
499,-17.0
500,-15.0
501,-20.0
502,-12.0
503,-17.0
504,-20.0
505,-17.0
506,-19.0
507,-20.0
508,-16.0
509,-20.0
510,-20.0
511,-20.0
512,-19.0
513,-20.0
514,-16.0
515,-19.0
516,-19.0
517,-17.0
518,-18.0
519,-20.0
520,-16.0
521,-18.0
522,-17.0
523,-15.0
524,-17.0
525,-20.0
526,-18.0
527,-19.0
528,-19.0
529,-20.0
530,-15.0
531,-14.0
532,-19.0
533,-20.0
534,-18.0
535,-15.0
536,-17.0
537,-17.0
538,-19.0
539,-20.0
540,-20.0
541,-17.0
542,-19.0
543,-19.0
544,-19.0
545,-20.0
546,-16.0
547,-18.0
548,-17.0
549,-16.0
550,-19.0
551,-16.0
552,-20.0
553,-14.0
554,-15.0
555,-19.0
556,-15.0
557,-16.0
558,-19.0
559,-18.0
560,-20.0
561,-19.0
562,-20.0
563,-19.0
564,-19.0
565,-17.0
566,-19.0
567,-18.0
568,-13.0
569,-16.0
570,-16.0
571,-13.0
572,-20.0
573,-19.0
574,-18.0
575,-19.0
576,-19.0
577,-15.0
578,-20.0
579,-19.0
580,-19.0
581,-18.0
582,-20.0
583,-13.0
584,-20.0
585,-20.0
586,-17.0
587,-17.0
588,-20.0
589,-16.0
590,-19.0
591,-20.0
592,-16.0
593,-18.0
594,-13.0
595,-19.0
596,-12.0
597,-20.0
598,-20.0
599,-18.0
600,-20.0
601,-16.0
602,-17.0
603,-15.0
604,-19.0
605,-15.0
606,-20.0
607,-19.0
608,-19.0
609,-18.0
610,-16.0
611,-19.0
612,-19.0
613,-18.0
614,-19.0
615,-16.0
616,-16.0
617,-19.0
618,-18.0
619,-11.0
620,-19.0
621,-20.0
622,-19.0
