episode,return
1,0.0
2,-5.0
3,-15.0
4,-15.0
5,-5.0
6,-10.0
7,-15.0
8,-10.0
9,-15.0
10,-10.0
11,-10.0
12,-5.0
13,0.0
14,-15.0
15,-10.0
16,-15.0
17,-10.0
18,-15.0
19,-10.0
20,2.0
21,-10.0
22,-15.0
23,-9.0
24,-15.0
25,-14.0
26,17.0
27,0.0
28,7.0
29,-15.0
30,11.0
31,6.0
32,-10.0
33,-15.0
34,-5.0
35,-9.0
36,-15.0
37,66.0
38,22.0
39,-15.0
40,-15.0
41,-5.0
42,-15.0
43,-9.0
44,5.0
45,41.0
46,10.0
47,-14.0
48,-9.0
49,-9.0
50,-9.0
51,11.0
52,-15.0
53,-15.0
54,10.0
55,-4.0
56,16.0
57,-15.0
58,-10.0
59,0.0
60,-15.0
61,0.0
62,-15.0
63,-10.0
64,-10.0
65,-5.0
66,-10.0
67,-15.0
68,-4.0
69,0.0
70,10.0
71,-15.0
72,-14.0
73,-9.0
74,-15.0
75,-9.0
76,-15.0
77,-15.0
78,-10.0
79,-10.0
80,-15.0
81,0.0
82,-10.0
83,-15.0
84,30.0
85,-10.0
86,-10.0
87,15.0
88,-5.0
89,-15.0
90,-15.0
91,-4.0
92,-10.0
93,-10.0
94,-10.0
95,10.0
96,-4.0
97,-10.0
98,-3.0
99,-15.0
100,-14.0
101,6.0
102,10.0
103,0.0
104,0.0
105,-10.0
106,-15.0
107,16.0
108,-10.0
109,-15.0
110,-10.0
111,2.0
112,1.0
113,-15.0
114,-4.0
115,-14.0
116,5.0
117,6.0
118,15.0
119,6.0
120,-15.0
121,0.0
122,0.0
123,15.0
124,-5.0
125,-15.0
126,-15.0
127,-10.0
128,-5.0
129,0.0
130,6.0
131,-15.0
132,-5.0
133,-10.0
134,-8.0
135,-15.0
136,-9.0
137,2.0
138,-10.0
139,20.0
140,-10.0
141,-4.0
142,11.0
143,-15.0
144,-5.0
145,16.0
146,0.0
147,-15.0
148,-15.0
149,-5.0
150,11.0
151,-15.0
152,-10.0
153,21.0
154,-15.0
155,-10.0
156,11.0
157,-15.0
158,-8.0
159,12.0
160,-10.0
161,10.0
162,-15.0
163,85.0
164,-15.0
165,-15.0
166,5.0
167,0.0
168,1.0
169,-9.0
170,0.0
171,27.0
172,-15.0
173,26.0
174,-10.0
175,65.0
176,-5.0
177,33.0
178,12.0
179,0.0
180,6.0
181,-9.0
182,-4.0
183,0.0
184,-10.0
185,0.0
186,0.0
187,16.0
188,-15.0
189,-15.0
190,0.0
191,-4.0
192,6.0
193,5.0
194,-14.0
195,-4.0
196,-15.0
197,-15.0
198,-15.0
199,-15.0
200,-10.0
201,5.0
202,-10.0
203,-4.0
204,-15.0
205,-15.0
206,-15.0
207,-15.0
208,1.0
209,-5.0
210,-5.0
211,-5.0
212,-5.0
213,-9.0
214,-4.0
215,31.0
216,-15.0
217,0.0
218,37.0
219,41.0
220,-9.0
221,15.0
222,-10.0
223,-15.0
224,-15.0
225,-10.0
226,36.0
227,6.0
228,-10.0
229,-10.0
230,5.0
231,-10.0
232,2.0
233,-5.0
234,-15.0
235,-5.0
236,-10.0
237,-5.0
238,-15.0
239,-15.0
240,-4.0
241,0.0
242,1.0
243,7.0
244,-4.0
245,0.0
246,-15.0
247,-10.0
248,8.0
249,-9.0
250,-5.0
251,-15.0
252,-10.0
253,-15.0
254,-15.0
255,-10.0
256,-8.0
257,17.0
258,36.0
259,13.0
260,0.0
261,-4.0
262,-4.0
263,-15.0
264,1.0
265,20.0
266,25.0
267,3.0
268,-14.0
269,-5.0
270,10.0
271,-3.0
