episode,return
1,-15.0
2,-15.0
3,-15.0
4,-15.0
5,-20.0
6,-20.0
7,-20.0
8,-20.0
9,-20.0
10,-20.0
11,-20.0
12,-20.0
13,-20.0
14,-20.0
15,-20.0
16,-15.0
17,-15.0
18,-10.0
19,-15.0
20,-15.0
21,-15.0
22,-15.0
23,-15.0
24,-15.0
25,-15.0
26,-15.0
27,-15.0
28,-10.0
29,-15.0
30,-15.0
31,-15.0
32,-15.0
33,-15.0
34,0.0
35,-15.0
36,-15.0
37,-10.0
38,-10.0
39,-10.0
40,-10.0
41,-10.0
42,-15.0
43,-14.0
44,-15.0
45,-15.0
46,-15.0
47,-15.0
48,-5.0
49,-15.0
50,-10.0
51,-9.0
52,-10.0
53,-15.0
54,-15.0
55,-15.0
56,-15.0
57,-9.0
58,-10.0
59,-15.0
60,-10.0
61,-15.0
62,-15.0
63,-15.0
64,-15.0
65,-15.0
66,-15.0
67,-15.0
68,-15.0
69,-10.0
70,-9.0
71,-5.0
72,-15.0
73,-15.0
74,-15.0
75,-15.0
76,-10.0
77,-15.0
78,-10.0
79,-15.0
80,-15.0
81,-10.0
82,-15.0
83,-15.0
84,-15.0
85,5.0
86,-15.0
87,-15.0
88,-15.0
89,-15.0
90,-15.0
91,-15.0
92,-15.0
93,-9.0
94,-15.0
95,-15.0
96,-10.0
97,-15.0
98,-5.0
99,-15.0
100,-10.0
101,-15.0
102,-15.0
103,-9.0
104,-15.0
105,-15.0
106,-15.0
107,-15.0
108,-10.0
109,-15.0
110,-10.0
111,-15.0
112,-9.0
113,-15.0
114,-10.0
115,-15.0
116,-15.0
117,-9.0
118,-10.0
119,-15.0
120,-15.0
121,-10.0
122,-3.0
123,1.0
124,-15.0
125,-5.0
126,-14.0
127,-15.0
128,-15.0
129,-5.0
130,0.0
131,-15.0
132,-15.0
133,-4.0
134,-15.0
135,-9.0
136,-15.0
137,-5.0
138,-15.0
139,1.0
140,-3.0
141,-10.0
142,17.0
143,-5.0
144,-15.0
145,-15.0
146,-10.0
147,-9.0
148,-15.0
149,-15.0
150,-15.0
