episode,return
1,-10.0
2,-15.0
3,-14.0
4,-10.0
5,-10.0
6,-15.0
7,-10.0
8,-9.0
9,-15.0
10,-15.0
11,-15.0
12,-5.0
13,20.0
14,-9.0
15,-14.0
16,0.0
17,0.0
18,5.0
19,-15.0
20,5.0
21,0.0
22,-14.0
23,-5.0
24,-5.0
25,-9.0
26,-10.0
27,-10.0
28,0.0
29,-14.0
30,24.0
31,-5.0
32,-4.0
33,-10.0
34,-10.0
35,-15.0
36,-15.0
37,-10.0
38,-10.0
39,-9.0
40,-15.0
41,-10.0
42,-15.0
43,-15.0
44,-5.0
45,-15.0
46,-10.0
47,-15.0
48,-15.0
49,-5.0
50,-9.0
51,-15.0
52,-15.0
53,-15.0
54,-15.0
55,-15.0
56,-15.0
57,12.0
58,-15.0
59,-15.0
60,-9.0
61,-10.0
62,-15.0
63,-10.0
64,-15.0
65,-15.0
66,0.0
67,-9.0
68,-15.0
69,-15.0
70,-10.0
71,-15.0
72,17.0
73,-10.0
74,-4.0
75,-15.0
76,-15.0
77,1.0
78,-9.0
79,-15.0
80,-15.0
81,-15.0
82,-15.0
83,-9.0
84,-15.0
85,-15.0
86,-15.0
87,-15.0
88,-15.0
89,-4.0
90,-15.0
91,-5.0
92,-15.0
93,-15.0
94,-15.0
95,-15.0
96,-9.0
97,-15.0
98,-15.0
99,-15.0
100,-15.0
101,-15.0
102,-15.0
103,-15.0
104,-5.0
105,-15.0
106,-15.0
107,-10.0
108,-10.0
109,15.0
110,-14.0
111,-15.0
112,-15.0
113,-15.0
114,0.0
115,-15.0
116,-15.0
117,-15.0
118,1.0
119,-15.0
120,-15.0
121,-15.0
122,1.0
123,-10.0
124,-14.0
125,6.0
126,-9.0
127,-15.0
128,-15.0
129,-9.0
130,-10.0
131,-10.0
132,-15.0
133,-10.0
134,-15.0
135,-10.0
136,-15.0
137,-9.0
138,-15.0
139,-15.0
140,-15.0
141,-15.0
142,-15.0
143,-15.0
144,-10.0
145,-5.0
146,-15.0
147,-10.0
148,-15.0
149,-10.0
150,-14.0
151,-10.0
152,-10.0
153,-15.0
154,-15.0
155,-15.0
156,-15.0
157,-15.0
158,-10.0
159,28.0
160,-14.0
161,5.0
162,-10.0
163,-10.0
164,-15.0
165,-15.0
166,-15.0
167,1.0
168,-15.0
169,-15.0
170,-15.0
171,-15.0
172,-15.0
173,-15.0
174,-15.0
175,-15.0
176,-10.0
177,8.0
178,-15.0
179,-15.0
180,-15.0
181,5.0
182,-15.0
183,-15.0
184,-14.0
185,-9.0
186,-4.0
187,-15.0
188,-15.0
189,-10.0
190,-4.0
191,-15.0
192,-15.0
193,-15.0
194,-15.0
195,-10.0
196,-15.0
197,-15.0
198,-14.0
199,-15.0
200,-10.0
201,-15.0
202,-15.0
203,-15.0
204,-10.0
205,-10.0
206,-14.0
207,-10.0
208,-15.0
209,-5.0
210,-15.0
211,-15.0
212,-10.0
213,1.0
214,0.0
215,-10.0
216,-10.0
217,-3.0
218,-15.0
219,-15.0
220,-15.0
221,-10.0
222,-15.0
223,-9.0
224,-15.0
225,-4.0
226,-15.0
227,21.0
228,-15.0
229,-15.0
230,-15.0
231,-15.0
232,-15.0
233,-15.0
234,-15.0
235,-15.0
236,-15.0
237,-10.0
238,-15.0
239,-15.0
240,-15.0
241,-15.0
242,-15.0
243,-5.0
244,-15.0
245,-15.0
246,-15.0
247,-15.0
248,-15.0
249,16.0
250,-14.0
251,-10.0
252,-15.0
253,-15.0
254,-9.0
255,-10.0
256,-15.0
257,-15.0
258,1.0
259,-5.0
260,-10.0
261,-15.0
262,-15.0
263,-5.0
264,-15.0
265,-15.0
266,-14.0
267,-15.0
268,-15.0
269,-9.0
270,-10.0
271,15.0
272,6.0
273,-10.0
274,-10.0
275,-15.0
276,-5.0
277,-15.0
278,-10.0
279,-10.0
280,-15.0
281,-4.0
282,-15.0
283,-10.0
284,-15.0
285,23.0
286,-10.0
287,-15.0
288,-15.0
289,-10.0
290,-15.0
291,-10.0
292,-10.0
293,-10.0
294,0.0
295,0.0
296,-10.0
297,-15.0
298,-10.0
299,-10.0
300,-10.0
301,3.0
302,-15.0
303,-10.0
304,-15.0
305,-5.0
306,-15.0
307,-15.0
308,1.0
309,-10.0
310,-15.0
311,-15.0
312,-10.0
313,-10.0
314,-10.0
315,-15.0
316,-15.0
317,-15.0
318,-5.0
319,-15.0
320,1.0
321,-10.0
322,-10.0
323,-10.0
324,1.0
325,-5.0
326,-15.0
327,-15.0
328,-15.0
329,-15.0
330,-10.0
331,-15.0
332,-15.0
333,6.0
334,-15.0
335,-10.0
336,-10.0
337,-15.0
338,-9.0
339,-15.0
340,20.0
341,-15.0
342,-9.0
343,-15.0
344,11.0
345,-15.0
346,-15.0
347,-15.0
348,-15.0
349,1.0
350,-10.0
351,-15.0
352,-14.0
353,-10.0
354,-14.0
355,-15.0
356,-15.0
357,-15.0
358,-10.0
359,-15.0
360,-10.0
361,-4.0
362,-9.0
363,-15.0
364,5.0
365,-15.0
366,1.0
367,-15.0
368,-10.0
369,-10.0
370,-15.0
371,-4.0
372,-15.0
373,-14.0
374,10.0
375,-10.0
376,11.0
377,-10.0
378,-15.0
379,1.0
380,16.0
381,-15.0
382,-15.0
383,-14.0
384,-14.0
385,-15.0
386,-10.0
387,-15.0
388,-5.0
389,-5.0
390,-5.0
391,-5.0
392,55.0
393,-5.0
394,-15.0
395,-10.0
396,-10.0
397,16.0
398,-10.0
399,30.0
400,30.0
401,10.0
402,6.0
403,-9.0
404,-5.0
405,-9.0
406,-9.0
407,-5.0
408,-15.0
409,-15.0
410,-15.0
411,-15.0
412,-15.0
