episode,return
1,-15.0
2,-9.0
3,-15.0
4,-10.0
5,-5.0
6,-4.0
7,-15.0
8,-15.0
9,-15.0
10,-10.0
11,-15.0
12,-5.0
13,-10.0
14,-15.0
15,11.0
16,-4.0
17,-5.0
18,-15.0
19,-10.0
20,6.0
21,-15.0
22,-10.0
23,-14.0
24,-10.0
25,-15.0
26,-15.0
27,-9.0
28,-15.0
29,0.0
30,-10.0
31,-5.0
32,0.0
33,-15.0
34,-15.0
35,-15.0
36,-15.0
37,-10.0
38,6.0
39,-15.0
40,12.0
41,-15.0
42,11.0
43,-10.0
44,-14.0
45,-4.0
46,11.0
47,-15.0
48,-15.0
49,-15.0
50,-15.0
51,-15.0
52,16.0
53,20.0
54,-10.0
55,46.0
56,-15.0
57,-4.0
58,-10.0
59,-10.0
60,15.0
61,-10.0
62,-15.0
63,-10.0
64,-9.0
65,-10.0
66,-15.0
67,-15.0
68,-15.0
69,-10.0
70,-10.0
71,-10.0
72,-15.0
73,-15.0
74,11.0
75,-15.0
76,-5.0
77,-15.0
78,0.0
79,-10.0
80,-10.0
81,5.0
82,-15.0
83,-4.0
84,0.0
85,-10.0
86,-5.0
87,-15.0
88,-15.0
89,-15.0
90,10.0
91,-9.0
92,-9.0
93,-5.0
94,-4.0
95,1.0
96,-9.0
97,-15.0
98,-10.0
99,-10.0
100,0.0
101,-15.0
102,-15.0
103,-10.0
104,-5.0
105,-15.0
106,-10.0
107,0.0
108,-15.0
109,-10.0
110,-3.0
111,-15.0
112,-14.0
113,7.0
114,0.0
115,16.0
116,-4.0
117,5.0
118,-10.0
119,15.0
120,0.0
121,-5.0
122,-10.0
123,-10.0
124,0.0
125,-15.0
126,11.0
127,-10.0
128,-15.0
129,-5.0
130,-15.0
131,-8.0
132,-9.0
133,-9.0
134,-4.0
135,-10.0
136,10.0
137,-10.0
138,-10.0
139,-4.0
140,-5.0
141,26.0
142,2.0
143,-15.0
144,26.0
145,-15.0
146,5.0
147,1.0
148,-5.0
149,20.0
150,21.0
151,-15.0
152,-10.0
153,-3.0
154,26.0
155,-5.0
156,22.0
157,-4.0
158,0.0
159,-10.0
160,0.0
161,-5.0
162,-4.0
163,35.0
164,20.0
165,-15.0
166,-14.0
167,-5.0
168,-9.0
169,-5.0
170,16.0
171,-15.0
172,-10.0
173,-5.0
174,-10.0
175,-10.0
176,17.0
177,-15.0
178,-10.0
179,-5.0
180,-10.0
181,16.0
182,-4.0
183,-10.0
184,-15.0
185,2.0
186,-15.0
187,-10.0
188,71.0
189,-15.0
190,-14.0
191,6.0
192,-15.0
193,-15.0
194,-15.0
195,-10.0
196,-10.0
197,-15.0
198,-15.0
199,-15.0
200,-5.0
201,-10.0
202,-15.0
203,-15.0
204,0.0
205,-15.0
206,-14.0
207,-15.0
208,-15.0
209,-15.0
210,-15.0
211,-4.0
212,-4.0
213,12.0
214,-15.0
215,-4.0
216,-10.0
217,-15.0
218,-5.0
219,31.0
220,-10.0
221,23.0
222,-14.0
223,-15.0
224,-9.0
225,0.0
226,-15.0
227,-15.0
228,-15.0
229,-15.0
230,5.0
231,-10.0
232,-15.0
233,-5.0
234,6.0
235,35.0
236,-15.0
237,-5.0
238,10.0
239,-10.0
240,0.0
241,-5.0
242,5.0
243,27.0
244,-5.0
245,42.0
246,7.0
247,15.0
248,-10.0
249,35.0
250,12.0
251,-10.0
252,21.0
253,1.0
254,-10.0
255,17.0
256,10.0
257,21.0
258,-10.0
259,-5.0
260,1.0
261,-14.0
262,30.0
263,-10.0
264,20.0
265,-9.0
266,0.0
267,15.0
268,5.0
269,30.0
270,-9.0
271,-5.0
272,58.0
273,47.0
274,-8.0
275,0.0
276,-15.0
277,-15.0
278,22.0
279,2.0
280,-5.0
281,10.0
282,10.0
283,15.0
284,-15.0
285,-9.0
286,-4.0
287,-4.0
288,2.0
289,-15.0
290,-10.0
291,-15.0
292,-10.0
293,13.0
294,42.0
295,27.0
296,25.0
297,-9.0
298,-14.0
299,0.0
300,50.0
301,25.0
302,-15.0
303,-10.0
304,5.0
305,42.0
306,35.0
307,66.0
308,15.0
309,10.0
310,35.0
311,-5.0
312,-4.0
313,15.0
314,5.0
315,30.0
316,0.0
317,26.0
318,-5.0
319,-15.0
320,20.0
321,1.0
322,20.0
323,86.0
324,-15.0
325,31.0
326,5.0
327,5.0
328,2.0
329,-10.0
330,15.0
331,-5.0
332,13.0
333,-8.0
334,25.0
335,85.0
336,-10.0
337,15.0
338,6.0
339,-15.0
340,20.0
341,26.0
342,-9.0
343,-10.0
344,16.0
345,31.0
346,-9.0
347,-15.0
348,21.0
349,20.0
350,-5.0
351,-15.0
352,55.0
353,-9.0
354,-14.0
355,-10.0
356,-15.0
357,17.0
358,0.0
359,0.0
360,-10.0
361,31.0
362,10.0
363,-15.0
364,30.0
365,-10.0
366,-10.0
367,-10.0
368,-5.0
369,0.0
370,-15.0
371,-4.0
372,50.0
373,-15.0
374,-9.0
375,20.0
376,-10.0
377,51.0
378,-15.0
379,-10.0
380,-9.0
381,16.0
382,-15.0
383,-5.0
384,10.0
385,-5.0
386,1.0
387,-5.0
388,45.0
389,-15.0
390,6.0
391,-15.0
392,-9.0
393,-4.0
394,-15.0
395,1.0
396,0.0
397,32.0
398,20.0
399,-10.0
400,-14.0
401,-9.0
402,-4.0
403,21.0
404,5.0
405,11.0
406,7.0
407,5.0
408,-9.0
409,90.0
410,62.0
411,-14.0
412,21.0
413,-14.0
414,-10.0
415,-14.0
416,15.0
417,2.0
418,-5.0
419,31.0
420,47.0
421,-10.0
422,27.0
423,0.0
424,2.0
425,10.0
426,10.0
427,25.0
428,0.0
429,-4.0
430,5.0
431,-5.0
432,28.0
433,0.0
434,27.0
435,17.0
436,-10.0
437,0.0
438,0.0
439,25.0
440,55.0
441,41.0
442,61.0
443,-10.0
444,0.0
445,-15.0
446,-9.0
447,-5.0
448,-10.0
449,-15.0
450,6.0
451,6.0
452,10.0
