episode,return
1,-9.0
2,-10.0
3,-15.0
4,-15.0
5,-15.0
6,-15.0
7,-15.0
8,-9.0
9,-15.0
10,-14.0
11,-15.0
12,-9.0
13,-10.0
14,-5.0
15,-15.0
16,-9.0
17,-14.0
18,-15.0
19,-15.0
20,0.0
21,-15.0
22,-15.0
23,-15.0
24,5.0
25,-15.0
26,-10.0
27,-15.0
28,-15.0
29,-15.0
30,-15.0
31,-15.0
32,-15.0
33,-15.0
34,-10.0
35,-15.0
36,-15.0
37,-15.0
38,-15.0
39,-15.0
40,-10.0
41,-15.0
42,-14.0
43,-10.0
44,-15.0
45,-15.0
46,-15.0
47,-15.0
48,-15.0
49,-15.0
50,-15.0
51,-15.0
52,-15.0
53,-15.0
54,26.0
55,-15.0
56,-15.0
57,-9.0
58,-15.0
59,-10.0
60,43.0
61,-10.0
62,-15.0
63,-10.0
64,-15.0
65,-15.0
66,2.0
67,-10.0
68,-10.0
69,-15.0
70,-15.0
71,-15.0
72,-15.0
73,-15.0
74,-15.0
75,-15.0
76,-15.0
77,-10.0
78,-10.0
79,-15.0
80,-15.0
81,-15.0
82,-15.0
83,6.0
84,-15.0
85,-9.0
86,21.0
87,-15.0
88,31.0
89,6.0
90,-5.0
91,-15.0
92,-10.0
93,6.0
94,-14.0
95,-15.0
96,-15.0
97,15.0
98,-14.0
99,-14.0
100,-15.0
101,-15.0
102,-10.0
103,-15.0
104,0.0
105,-10.0
106,-5.0
107,5.0
108,-15.0
109,-4.0
110,-10.0
111,-10.0
112,-10.0
113,-15.0
114,-15.0
115,-9.0
116,-15.0
117,-15.0
118,-10.0
119,-10.0
120,16.0
121,-15.0
122,-15.0
123,-5.0
124,11.0
125,-15.0
126,-10.0
127,-10.0
128,-5.0
129,21.0
130,-5.0
131,-15.0
132,-15.0
133,-9.0
134,-5.0
135,-10.0
136,-14.0
137,0.0
138,-15.0
139,-10.0
140,-10.0
141,-15.0
142,-15.0
143,-10.0
144,-10.0
145,-5.0
146,-15.0
147,-15.0
148,-10.0
149,-15.0
150,-10.0
151,-5.0
152,32.0
153,-5.0
154,16.0
155,42.0
156,-9.0
157,11.0
158,-10.0
159,-10.0
160,-15.0
161,-15.0
162,5.0
163,-9.0
