episode,return
1,-15.0
2,-9.0
3,-15.0
4,-15.0
5,-15.0
6,-15.0
7,-10.0
8,-15.0
9,-15.0
10,-15.0
11,-15.0
12,-15.0
13,-15.0
14,-15.0
15,-15.0
16,-15.0
17,-15.0
18,-15.0
19,-15.0
20,-4.0
21,-15.0
22,-15.0
23,-15.0
24,-15.0
25,-9.0
26,-15.0
27,-10.0
28,-15.0
29,-15.0
30,-15.0
31,-15.0
32,-15.0
33,-9.0
34,-14.0
35,-10.0
36,-9.0
37,-15.0
38,-15.0
39,-10.0
40,-10.0
41,-10.0
42,-15.0
43,-10.0
44,-9.0
45,-10.0
46,-9.0
47,-14.0
48,-15.0
49,-15.0
50,-5.0
51,-10.0
52,-10.0
53,1.0
54,-15.0
55,-9.0
56,-5.0
57,1.0
58,-9.0
59,-10.0
60,-15.0
61,-15.0
62,-15.0
63,-15.0
64,-15.0
65,11.0
66,11.0
67,-15.0
68,-5.0
69,-14.0
70,-15.0
71,-10.0
72,-15.0
73,-15.0
74,-15.0
75,-15.0
76,-10.0
77,-15.0
78,-15.0
79,-15.0
80,-15.0
81,11.0
82,-10.0
83,-9.0
84,-15.0
85,-15.0
86,-10.0
87,-10.0
88,-14.0
89,-15.0
90,-15.0
91,-15.0
92,-15.0
93,-5.0
94,-10.0
95,3.0
96,-15.0
97,-15.0
98,-15.0
99,5.0
100,-15.0
101,-14.0
102,-15.0
103,-10.0
104,-4.0
105,-15.0
106,-10.0
107,-15.0
108,-15.0
109,0.0
110,-5.0
111,-4.0
112,-15.0
113,-15.0
114,0.0
115,1.0
116,-15.0
117,-15.0
118,-15.0
119,-10.0
120,-15.0
121,-15.0
122,7.0
123,-14.0
124,-15.0
125,-15.0
126,-15.0
127,-15.0
128,-15.0
129,-15.0
130,-15.0
131,-10.0
132,-15.0
133,-15.0
134,-15.0
135,-10.0
136,-15.0
137,-15.0
138,-15.0
139,-15.0
140,-15.0
141,-15.0
142,-15.0
143,-15.0
144,-15.0
145,-15.0
146,-15.0
147,-15.0
148,-10.0
149,-15.0
150,-3.0
151,-15.0
152,-15.0
153,-15.0
154,1.0
155,-15.0
156,-15.0
157,-15.0
158,-15.0
159,-15.0
160,-15.0
161,-15.0
162,-15.0
163,-8.0
164,-15.0
165,-14.0
166,-15.0
167,-15.0
168,-15.0
169,-15.0
170,-10.0
171,-15.0
172,-15.0
173,-15.0
174,-15.0
175,-15.0
176,-15.0
177,-15.0
178,-15.0
179,-15.0
180,11.0
181,-15.0
182,11.0
183,-4.0
184,-15.0
185,-15.0
186,-15.0
187,-15.0
188,-15.0
189,-15.0
190,-15.0
191,-15.0
192,-15.0
193,-15.0
194,-10.0
195,-15.0
196,-4.0
197,-15.0
198,-14.0
199,-4.0
200,-15.0
201,-9.0
202,-15.0
203,-15.0
204,-14.0
205,-15.0
206,-15.0
207,-15.0
208,-15.0
209,-15.0
210,-8.0
211,-9.0
212,-15.0
213,-15.0
214,-15.0
215,-15.0
216,-15.0
217,-15.0
218,-15.0
219,-15.0
220,-15.0
221,-15.0
222,-15.0
223,-15.0
224,-15.0
225,6.0
226,-15.0
227,-15.0
228,-5.0
229,10.0
230,-15.0
231,-15.0
232,-15.0
233,-15.0
234,-15.0
235,-15.0
236,-15.0
237,-15.0
238,-15.0
239,-15.0
240,-15.0
241,-15.0
242,-15.0
243,-15.0
244,-15.0
245,-9.0
246,-15.0
247,-15.0
248,-15.0
249,-15.0
250,-15.0
251,-15.0
252,-15.0
253,-15.0
254,-10.0
255,-15.0
256,-15.0
257,-15.0
258,-9.0
259,-15.0
260,-5.0
261,-15.0
262,-10.0
263,1.0
264,-15.0
265,-15.0
266,-15.0
267,-15.0
268,-15.0
269,-15.0
270,-15.0
271,-10.0
272,-9.0
273,-9.0
274,1.0
275,-15.0
276,-15.0
277,-10.0
278,-10.0
279,-15.0
280,-15.0
281,-15.0
282,-15.0
283,-15.0
284,2.0
285,-15.0
286,-10.0
287,-10.0
288,-10.0
289,-15.0
290,-14.0
291,-10.0
292,-15.0
293,-15.0
294,-10.0
295,-15.0
296,-10.0
297,-15.0
298,-15.0
299,-10.0
300,-15.0
301,-14.0
302,-15.0
303,-3.0
304,-15.0
305,-10.0
306,-15.0
307,-15.0
308,-14.0
309,-15.0
310,-15.0
311,1.0
312,-15.0
313,1.0
314,-15.0
315,-5.0
316,-15.0
317,-15.0
318,16.0
319,-15.0
320,-15.0
321,-5.0
322,-15.0
323,-15.0
324,-15.0
325,-10.0
326,-5.0
327,-15.0
328,-14.0
329,-15.0
330,-15.0
331,-15.0
332,-5.0
333,-15.0
334,-10.0
335,-15.0
336,-10.0
337,-10.0
338,-15.0
339,-15.0
340,-15.0
341,-15.0
342,-10.0
343,-15.0
344,1.0
345,-15.0
346,-15.0
347,-15.0
348,-15.0
349,-15.0
350,-15.0
351,-10.0
352,-10.0
353,-15.0
354,-15.0
355,-15.0
356,-10.0
357,-15.0
358,-5.0
359,-15.0
360,-15.0
361,-15.0
362,6.0
363,-15.0
364,-15.0
365,-15.0
366,-15.0
367,-15.0
368,-15.0
369,0.0
370,-15.0
371,-10.0
372,-15.0
373,-15.0
374,-15.0
375,-15.0
376,-15.0
377,-15.0
378,-10.0
379,-15.0
380,-15.0
381,-15.0
382,-4.0
383,-15.0
384,-10.0
385,-15.0
386,-10.0
387,1.0
388,-15.0
389,-10.0
390,-10.0
391,-15.0
392,-15.0
393,-15.0
394,-4.0
395,-15.0
396,-15.0
397,-15.0
398,-15.0
399,-9.0
400,-15.0
401,-15.0
402,-15.0
403,-5.0
404,-10.0
405,-15.0
406,-15.0
407,-15.0
408,-4.0
409,-15.0
410,-15.0
411,-15.0
412,-15.0
413,-4.0
414,-15.0
415,-15.0
416,-15.0
417,-15.0
418,-15.0
419,-15.0
420,-4.0
421,-15.0
422,-15.0
423,-9.0
424,-15.0
425,-15.0
426,-15.0
427,-15.0
428,-15.0
429,-15.0
430,-15.0
