episode,return
1,-20.0
2,-20.0
3,-20.0
4,-20.0
5,-20.0
6,-15.0
7,-15.0
8,-15.0
9,-15.0
10,-15.0
11,-15.0
12,-9.0
13,-10.0
14,-14.0
15,-15.0
16,-15.0
17,-15.0
18,-15.0
19,-15.0
20,-15.0
21,-15.0
22,-15.0
23,-9.0
24,-9.0
25,-15.0
26,-9.0
27,-15.0
28,-15.0
29,-15.0
30,-15.0
31,-10.0
32,-15.0
33,-10.0
34,-15.0
35,-15.0
36,-15.0
37,-15.0
38,-15.0
39,-10.0
40,-15.0
41,-15.0
42,-15.0
43,-15.0
44,-15.0
45,-15.0
46,-10.0
47,-10.0
48,-15.0
49,-9.0
50,-9.0
51,-10.0
52,-10.0
53,-15.0
54,-15.0
55,-9.0
56,-10.0
57,-15.0
58,-15.0
59,-5.0
60,-10.0
61,-10.0
62,-5.0
63,-15.0
64,-15.0
65,-15.0
66,-15.0
67,-15.0
68,-15.0
69,-15.0
70,-10.0
71,-15.0
72,-15.0
73,-15.0
74,-15.0
75,-15.0
76,-15.0
77,-15.0
78,-15.0
79,-9.0
80,-9.0
81,-15.0
82,-10.0
83,-15.0
84,-9.0
85,5.0
86,-15.0
87,-15.0
88,-15.0
89,-15.0
90,-15.0
91,-15.0
92,-15.0
93,-15.0
94,-9.0
95,-15.0
96,-14.0
97,-15.0
98,-15.0
99,-15.0
100,-15.0
101,-15.0
102,-15.0
103,-15.0
104,-15.0
105,-10.0
106,-9.0
107,-15.0
108,-9.0
109,-15.0
110,-15.0
111,-15.0
112,-15.0
113,-9.0
114,-15.0
115,-15.0
116,-15.0
117,-15.0
118,-15.0
119,-15.0
120,-15.0
121,-15.0
122,-15.0
123,-15.0
124,-15.0
125,-15.0
126,-15.0
127,-15.0
128,-15.0
129,-15.0
130,-15.0
131,-15.0
132,-15.0
133,-15.0
134,-15.0
135,-15.0
136,-15.0
137,-15.0
138,-15.0
139,-15.0
140,-15.0
141,-15.0
142,-15.0
143,-15.0
144,-15.0
145,-15.0
146,-15.0
147,-15.0
148,-15.0
149,-15.0
150,-15.0
151,-15.0
152,-15.0
153,-15.0
154,-15.0
155,-15.0
156,-15.0
157,-15.0
158,-15.0
159,-15.0
160,-15.0
161,-15.0
162,-15.0
163,-15.0
164,-15.0
165,-15.0
166,-15.0
167,-15.0
168,-15.0
169,-15.0
170,-10.0
171,-15.0
172,-15.0
173,-15.0
174,-15.0
175,-15.0
176,-15.0
177,-15.0
178,-9.0
179,-9.0
180,-15.0
181,-15.0
182,-15.0
183,-15.0
184,-15.0
185,-15.0
186,-15.0
187,-15.0
188,-15.0
189,-15.0
190,-15.0
191,-15.0
192,-15.0
193,-15.0
194,-15.0
195,-15.0
196,-14.0
197,-15.0
198,-15.0
199,-15.0
200,-15.0
201,-15.0
202,-15.0
203,-15.0
204,-15.0
205,-15.0
206,-15.0
207,-15.0
208,-15.0
209,-15.0
210,-15.0
211,-15.0
212,-15.0
213,-15.0
214,-15.0
215,-15.0
216,-15.0
217,-15.0
218,-15.0
219,-15.0
220,-15.0
221,-15.0
222,-15.0
223,-15.0
224,-15.0
225,-9.0
226,-15.0
227,-15.0
228,-15.0
229,-9.0
230,-14.0
231,-15.0
232,-10.0
233,-10.0
234,-10.0
235,-15.0
236,-15.0
237,-15.0
238,-10.0
239,-10.0
240,-15.0
241,-15.0
242,-14.0
243,-10.0
244,-10.0
245,-10.0
246,-10.0
247,-15.0
248,-10.0
249,-9.0
250,-9.0
251,-10.0
252,-14.0
253,-9.0
254,-15.0
255,-14.0
256,-14.0
257,-9.0
258,-15.0
259,-15.0
260,-15.0
261,-15.0
262,-15.0
263,-10.0
264,0.0
265,-15.0
266,-10.0
267,-15.0
268,-15.0
269,-15.0
270,-15.0
271,-15.0
272,-14.0
273,2.0
274,-10.0
275,-9.0
276,-15.0
277,-9.0
278,10.0
279,-5.0
280,-15.0
281,-15.0
282,-15.0
283,-9.0
284,-15.0
285,-10.0
286,-10.0
287,-5.0
288,1.0
289,-15.0
290,-15.0
291,-15.0
292,-5.0
293,10.0
294,-5.0
295,-15.0
296,-15.0
297,-15.0
298,-9.0
299,-5.0
300,1.0
301,-15.0
302,-15.0
303,-15.0
304,-15.0
305,-3.0
306,-10.0
307,-15.0
308,-15.0
309,-10.0
310,-15.0
311,-15.0
312,-10.0
313,-15.0
314,-15.0
315,-15.0
316,-15.0
317,-15.0
318,-15.0
319,-15.0
320,-15.0
321,-2.0
322,-15.0
323,-15.0
324,-5.0
325,-15.0
326,-15.0
327,-10.0
328,-15.0
329,-15.0
330,-15.0
331,-15.0
332,-15.0
333,1.0
334,-15.0
335,-15.0
336,-15.0
337,-15.0
338,-15.0
339,-15.0
340,-15.0
341,-15.0
342,-5.0
343,-10.0
344,1.0
345,-15.0
346,-15.0
347,-15.0
348,-10.0
349,-15.0
350,-5.0
351,-15.0
352,-14.0
353,-5.0
354,-15.0
355,-10.0
356,-15.0
357,-10.0
358,26.0
359,-10.0
360,-10.0
