episode,return
1,-15.0
2,-15.0
3,-15.0
4,-10.0
5,-5.0
6,-15.0
7,-14.0
8,15.0
9,-10.0
10,-15.0
11,5.0
12,1.0
13,0.0
14,-15.0
15,-5.0
16,0.0
17,-8.0
18,-15.0
19,0.0
20,-10.0
21,-15.0
22,-15.0
23,-10.0
24,-5.0
25,-14.0
26,-4.0
27,-9.0
28,-15.0
29,-5.0
30,-5.0
31,16.0
32,-14.0
33,-10.0
34,-15.0
35,-10.0
36,-15.0
37,-15.0
38,11.0
39,-15.0
40,-15.0
41,-10.0
42,5.0
43,-10.0
44,-15.0
45,-10.0
46,-15.0
47,-15.0
48,-3.0
49,23.0
50,-5.0
51,-10.0
52,-3.0
53,2.0
54,-15.0
55,-15.0
56,-15.0
57,-15.0
58,-9.0
59,-10.0
60,-15.0
61,-15.0
62,-15.0
63,10.0
64,-15.0
65,-15.0
66,-15.0
67,-15.0
68,-5.0
69,-10.0
70,-15.0
71,-9.0
72,-10.0
73,-15.0
74,-15.0
75,-15.0
76,3.0
77,-9.0
78,-15.0
79,-15.0
80,-10.0
81,-5.0
82,0.0
83,6.0
84,-15.0
85,-10.0
86,-15.0
87,-5.0
88,-5.0
89,-3.0
90,-10.0
91,-15.0
92,-15.0
93,-14.0
94,-4.0
95,-5.0
96,-10.0
97,0.0
98,-10.0
99,-10.0
100,-10.0
101,-10.0
102,-10.0
103,15.0
104,-15.0
105,18.0
106,-15.0
107,-15.0
108,-10.0
109,-15.0
110,-15.0
111,-15.0
112,0.0
113,5.0
114,-9.0
115,-5.0
116,-15.0
117,-10.0
118,-15.0
119,5.0
120,-8.0
121,-15.0
122,-10.0
123,-10.0
124,-5.0
125,-15.0
126,-15.0
127,-15.0
128,-5.0
129,-5.0
130,-15.0
131,0.0
132,-15.0
133,-4.0
134,-15.0
135,0.0
136,-5.0
137,-5.0
138,-14.0
139,7.0
140,-9.0
141,-14.0
142,-10.0
143,-15.0
144,-10.0
145,1.0
146,0.0
147,-5.0
148,-15.0
149,1.0
150,2.0
151,-5.0
152,-15.0
153,-4.0
