episode,return
1,-10.0
2,90.0
3,45.0
4,56.0
5,28.0
6,21.0
7,55.0
8,22.0
9,75.0
10,-8.0
11,119.0
12,92.0
13,23.0
14,102.0
15,40.0
16,119.0
17,26.0
18,-3.0
19,219.0
20,0.0
21,7.0
22,-15.0
23,20.0
24,-9.0
25,86.0
26,73.0
27,106.0
28,30.0
29,6.0
30,98.0
31,45.0
32,47.0
33,122.0
34,45.0
35,2.0
36,70.0
37,2.0
38,26.0
39,36.0
40,15.0
41,24.0
42,67.0
43,122.0
44,92.0
45,115.0
46,58.0
47,119.0
48,0.0
49,37.0
50,75.0
51,120.0
52,98.0
53,56.0
54,105.0
55,57.0
56,101.0
57,76.0
58,37.0
59,85.0
60,27.0
61,32.0
62,93.0
63,53.0
64,101.0
65,36.0
66,65.0
67,1.0
68,20.0
69,165.0
70,51.0
71,56.0
72,117.0
73,31.0
74,70.0
75,182.0
76,66.0
77,108.0
78,125.0
79,136.0
80,155.0
81,60.0
82,58.0
83,34.0
84,45.0
85,20.0
86,106.0
87,47.0
88,20.0
89,78.0
90,56.0
91,11.0
92,86.0
93,115.0
94,62.0
95,-10.0
96,175.0
97,158.0
98,87.0
99,106.0
100,94.0
101,45.0
102,135.0
103,5.0
104,67.0
105,121.0
106,71.0
107,38.0
108,-14.0
109,44.0
110,135.0
111,36.0
112,97.0
113,42.0
114,61.0
115,31.0
116,56.0
117,56.0
118,85.0
119,31.0
120,212.0
121,137.0
122,147.0
123,80.0
124,22.0
125,25.0
126,10.0
127,-15.0
128,98.0
129,42.0
130,100.0
131,101.0
132,5.0
133,76.0
134,-14.0
135,96.0
136,107.0
137,122.0
138,43.0
139,15.0
140,22.0
141,106.0
142,6.0
143,21.0
144,106.0
145,100.0
146,166.0
147,140.0
148,6.0
149,96.0
150,11.0
151,46.0
152,31.0
153,-15.0
154,51.0
155,21.0
156,17.0
157,26.0
158,109.0
159,35.0
160,33.0
161,71.0
162,57.0
163,77.0
164,92.0
165,50.0
166,175.0
167,48.0
168,77.0
169,21.0
170,103.0
171,26.0
172,15.0
173,66.0
174,77.0
175,105.0
176,15.0
177,11.0
178,78.0
179,-10.0
180,110.0
181,130.0
182,71.0
183,72.0
184,6.0
185,1.0
186,95.0
187,-15.0
188,72.0
189,10.0
190,121.0
191,56.0
192,10.0
193,21.0
194,136.0
195,-15.0
196,25.0
197,162.0
198,97.0
199,-15.0
200,20.0
201,17.0
202,127.0
203,2.0
204,156.0
205,36.0
206,12.0
207,30.0
208,140.0
209,43.0
210,96.0
211,2.0
212,114.0
213,65.0
214,-9.0
215,132.0
216,76.0
217,-14.0
218,42.0
219,90.0
220,20.0
221,45.0
222,41.0
223,-10.0
224,105.0
225,7.0
226,2.0
227,-3.0
228,96.0
229,152.0
230,39.0
231,146.0
232,80.0
233,61.0
234,116.0
235,25.0
236,-3.0
237,86.0
238,5.0
239,-14.0
240,106.0
241,144.0
242,111.0
243,42.0
244,80.0
245,27.0
246,36.0
247,-10.0
248,93.0
249,118.0
250,125.0
251,176.0
252,84.0
253,66.0
254,35.0
255,32.0
256,63.0
257,6.0
258,48.0
259,30.0
260,11.0
261,51.0
262,127.0
263,110.0
264,137.0
265,136.0
266,15.0
267,77.0
268,67.0
269,127.0
270,82.0
271,118.0
272,58.0
273,77.0
274,119.0
275,51.0
276,71.0
277,27.0
278,32.0
279,26.0
280,110.0
281,141.0
282,116.0
283,80.0
284,163.0
285,137.0
286,35.0
287,57.0
288,5.0
289,60.0
290,56.0
291,66.0
292,98.0
293,2.0
294,65.0
295,75.0
296,-5.0
297,133.0
298,133.0
299,87.0
300,61.0
301,10.0
302,66.0
303,111.0
304,-10.0
305,104.0
306,63.0
307,98.0
308,97.0
309,106.0
310,90.0
311,123.0
312,87.0
313,151.0
314,-3.0
315,98.0
316,45.0
317,112.0
318,76.0
319,47.0
320,120.0
321,-10.0
322,43.0
323,87.0
324,153.0
325,31.0
326,114.0
327,91.0
328,48.0
329,-10.0
330,146.0
331,65.0
332,142.0
333,145.0
334,177.0
335,6.0
336,80.0
337,90.0
338,16.0
339,144.0
340,35.0
341,79.0
342,-4.0
343,56.0
344,98.0
345,110.0
346,41.0
347,111.0
348,0.0
349,72.0
350,57.0
351,106.0
352,5.0
353,25.0
354,-15.0
355,156.0
356,100.0
357,66.0
358,124.0
359,67.0
360,131.0
361,-15.0
362,65.0
363,77.0
364,39.0
365,123.0
366,102.0
367,125.0
368,51.0
369,21.0
370,23.0
371,-15.0
372,85.0
373,66.0
374,21.0
375,131.0
376,76.0
377,53.0
378,56.0
379,85.0
380,-15.0
381,32.0
382,10.0
383,75.0
384,47.0
385,101.0
386,26.0
387,30.0
388,75.0
389,5.0
390,68.0
391,118.0
392,95.0
393,155.0
394,103.0
395,32.0
396,61.0
397,91.0
398,128.0
399,28.0
400,-15.0
401,153.0
402,91.0
403,10.0
404,28.0
405,72.0
406,135.0
407,99.0
408,26.0
409,65.0
410,96.0
411,25.0
412,-15.0
413,76.0
414,64.0
415,58.0
416,127.0
417,135.0
418,-3.0
419,37.0
420,56.0
421,6.0
422,20.0
423,24.0
424,101.0
425,-2.0
426,52.0
427,15.0
428,73.0
429,-3.0
430,57.0
431,86.0
432,104.0
433,118.0
434,110.0
435,112.0
436,105.0
437,5.0
438,10.0
439,93.0
440,150.0
441,32.0
442,80.0
443,72.0
444,28.0
445,109.0
446,146.0
447,77.0
448,85.0
449,58.0
450,74.0
451,-10.0
452,0.0
453,148.0
454,56.0
455,-10.0
456,120.0
457,28.0
458,55.0
459,77.0
460,106.0
461,115.0
462,0.0
463,71.0
464,31.0
465,-10.0
466,40.0
467,86.0
468,-5.0
469,111.0
470,26.0
471,96.0
472,138.0
473,96.0
474,77.0
475,127.0
476,174.0
477,91.0
478,25.0
479,65.0
480,77.0
481,117.0
482,65.0
483,77.0
484,162.0
485,132.0
486,15.0
487,128.0
488,136.0
489,131.0
490,68.0
491,66.0
492,63.0
493,57.0
494,64.0
495,76.0
496,35.0
497,70.0
498,118.0
499,98.0
500,21.0
501,42.0
502,25.0
503,14.0
504,75.0
505,115.0
506,80.0
507,51.0
508,91.0
509,134.0
510,92.0
511,65.0
512,70.0
513,91.0
514,188.0
515,26.0
516,37.0
517,51.0
518,187.0
519,61.0
520,107.0
521,0.0
522,141.0
523,39.0
524,68.0
525,144.0
526,26.0
527,185.0
528,-9.0
529,89.0
530,95.0
531,56.0
532,195.0
533,73.0
534,36.0
535,102.0
536,11.0
537,81.0
538,95.0
539,107.0
540,-3.0
541,-14.0
542,93.0
543,6.0
544,136.0
545,32.0
546,-10.0
547,16.0
548,136.0
549,69.0
550,16.0
551,31.0
552,26.0
553,134.0
554,-5.0
555,62.0
556,37.0
557,91.0
558,-5.0
559,51.0
560,111.0
561,95.0
562,151.0
563,90.0
564,7.0
565,96.0
566,-10.0
567,124.0
568,134.0
569,46.0
570,40.0
571,83.0
