episode,return
1,98.0
2,41.0
3,-10.0
4,47.0
5,28.0
6,66.0
7,90.0
8,66.0
9,67.0
10,-5.0
11,66.0
12,65.0
13,47.0
14,97.0
15,50.0
16,12.0
17,130.0
18,218.0
19,26.0
20,96.0
21,163.0
22,25.0
23,20.0
24,116.0
25,128.0
26,25.0
27,51.0
28,128.0
29,132.0
30,55.0
31,96.0
32,101.0
33,138.0
34,76.0
35,58.0
36,60.0
37,1.0
38,100.0
39,21.0
40,146.0
41,159.0
42,122.0
43,175.0
44,66.0
45,62.0
46,143.0
47,100.0
48,122.0
49,81.0
50,131.0
51,86.0
52,124.0
53,86.0
54,74.0
55,-10.0
56,37.0
57,161.0
58,95.0
59,-4.0
60,129.0
61,26.0
62,114.0
63,46.0
64,-15.0
65,30.0
66,62.0
67,107.0
68,137.0
69,81.0
70,80.0
71,60.0
72,0.0
73,-9.0
74,70.0
75,62.0
76,70.0
77,70.0
78,144.0
79,15.0
80,61.0
81,78.0
82,58.0
83,72.0
84,138.0
85,150.0
86,186.0
87,76.0
88,80.0
89,73.0
90,60.0
91,11.0
92,105.0
93,156.0
94,77.0
95,36.0
96,59.0
97,156.0
98,82.0
99,38.0
100,10.0
101,80.0
102,124.0
103,107.0
104,48.0
105,103.0
106,42.0
107,91.0
108,62.0
109,48.0
110,65.0
111,55.0
112,132.0
113,133.0
114,21.0
115,103.0
116,132.0
117,71.0
118,80.0
119,131.0
120,65.0
121,61.0
122,90.0
123,27.0
124,160.0
125,92.0
126,119.0
127,56.0
128,86.0
129,40.0
130,92.0
131,2.0
132,-4.0
133,97.0
134,56.0
135,111.0
136,60.0
137,61.0
138,77.0
139,118.0
140,111.0
141,5.0
142,135.0
143,127.0
144,7.0
145,149.0
146,37.0
147,6.0
148,31.0
149,102.0
150,93.0
151,100.0
152,64.0
153,60.0
154,17.0
155,74.0
156,25.0
157,84.0
158,90.0
159,111.0
160,43.0
161,20.0
162,105.0
163,194.0
164,144.0
165,112.0
166,22.0
167,122.0
168,62.0
169,-10.0
170,108.0
171,89.0
172,35.0
173,51.0
174,20.0
175,21.0
176,51.0
177,100.0
178,51.0
179,185.0
180,60.0
181,65.0
182,70.0
183,143.0
184,6.0
185,73.0
186,109.0
187,97.0
188,15.0
189,51.0
190,111.0
191,20.0
192,103.0
193,21.0
194,100.0
195,11.0
196,102.0
197,101.0
198,31.0
199,96.0
200,104.0
201,56.0
202,135.0
203,95.0
204,103.0
205,116.0
206,154.0
207,131.0
208,116.0
209,87.0
210,25.0
211,61.0
212,143.0
213,147.0
214,2.0
215,106.0
216,28.0
217,93.0
218,20.0
219,138.0
220,112.0
221,91.0
222,104.0
223,58.0
224,-14.0
225,16.0
226,116.0
227,91.0
228,162.0
229,104.0
230,155.0
231,86.0
232,78.0
233,73.0
234,150.0
235,158.0
236,119.0
237,169.0
238,103.0
239,90.0
240,147.0
241,46.0
242,147.0
243,65.0
244,126.0
245,107.0
246,60.0
247,129.0
248,67.0
249,93.0
250,138.0
251,177.0
252,76.0
253,107.0
254,73.0
255,153.0
256,32.0
257,60.0
258,148.0
259,25.0
260,135.0
261,56.0
262,100.0
263,65.0
264,64.0
265,100.0
266,113.0
267,95.0
268,44.0
269,201.0
270,55.0
271,86.0
272,105.0
273,209.0
274,60.0
275,65.0
276,91.0
277,171.0
278,72.0
279,31.0
280,106.0
281,112.0
282,61.0
283,138.0
284,5.0
285,97.0
286,95.0
287,79.0
288,20.0
289,98.0
290,135.0
291,74.0
292,103.0
293,160.0
294,105.0
295,57.0
296,67.0
297,55.0
298,15.0
299,185.0
300,151.0
301,132.0
302,67.0
303,165.0
304,97.0
305,150.0
306,105.0
307,150.0
308,82.0
309,135.0
310,106.0
311,98.0
312,150.0
313,0.0
314,86.0
315,108.0
316,144.0
317,102.0
318,172.0
319,62.0
320,88.0
321,30.0
322,163.0
323,68.0
324,62.0
325,26.0
326,80.0
327,92.0
328,136.0
329,-4.0
330,40.0
331,65.0
332,106.0
333,127.0
334,169.0
335,72.0
336,79.0
337,107.0
338,50.0
339,106.0
340,66.0
341,132.0
342,112.0
343,75.0
344,113.0
345,171.0
346,5.0
347,32.0
348,121.0
349,31.0
350,75.0
351,145.0
352,121.0
353,62.0
354,108.0
355,53.0
356,66.0
357,69.0
358,47.0
359,102.0
360,208.0
361,78.0
362,10.0
363,66.0
364,137.0
365,86.0
366,36.0
367,107.0
368,16.0
369,129.0
370,82.0
371,133.0
372,79.0
373,45.0
374,-10.0
375,76.0
376,26.0
377,185.0
378,70.0
379,-8.0
380,5.0
381,103.0
382,158.0
383,106.0
384,158.0
385,60.0
386,101.0
387,137.0
388,147.0
389,180.0
390,85.0
391,51.0
392,63.0
393,137.0
394,77.0
395,56.0
396,82.0
397,10.0
398,122.0
399,45.0
400,32.0
401,45.0
402,68.0
403,115.0
404,129.0
405,172.0
406,145.0
407,158.0
