episode,return
1,90.0
2,12.0
3,-10.0
4,46.0
5,81.0
6,46.0
7,-10.0
8,90.0
9,110.0
10,22.0
11,20.0
12,120.0
13,128.0
14,95.0
15,91.0
16,155.0
17,92.0
18,11.0
19,114.0
20,43.0
21,112.0
22,80.0
23,-5.0
24,95.0
25,99.0
26,120.0
27,61.0
28,162.0
29,65.0
30,70.0
31,145.0
32,196.0
33,66.0
34,65.0
35,30.0
36,120.0
37,18.0
38,90.0
39,130.0
40,31.0
41,10.0
42,20.0
43,91.0
44,90.0
45,90.0
46,65.0
47,70.0
48,-10.0
49,124.0
50,51.0
51,20.0
52,119.0
53,147.0
54,70.0
55,100.0
56,52.0
57,21.0
58,86.0
59,140.0
60,26.0
61,140.0
62,221.0
63,104.0
64,131.0
65,76.0
66,53.0
67,116.0
68,147.0
69,116.0
70,116.0
71,130.0
72,101.0
73,163.0
74,114.0
75,68.0
76,224.0
77,62.0
78,40.0
79,20.0
80,131.0
81,151.0
82,102.0
83,77.0
84,47.0
85,117.0
86,123.0
87,135.0
88,66.0
89,222.0
90,203.0
91,35.0
92,26.0
93,66.0
94,87.0
95,146.0
96,1.0
97,96.0
98,57.0
99,12.0
100,151.0
101,50.0
102,11.0
103,0.0
104,28.0
105,31.0
106,82.0
107,133.0
108,97.0
109,141.0
110,20.0
111,128.0
112,46.0
113,21.0
114,37.0
115,94.0
116,96.0
117,30.0
118,91.0
119,31.0
120,60.0
121,92.0
122,126.0
123,133.0
124,88.0
125,70.0
126,94.0
127,207.0
128,16.0
129,93.0
130,97.0
131,75.0
132,30.0
133,56.0
134,212.0
135,87.0
136,15.0
137,174.0
138,0.0
139,37.0
140,55.0
141,139.0
142,116.0
143,20.0
144,112.0
145,148.0
146,41.0
147,134.0
148,101.0
149,86.0
150,40.0
151,148.0
152,170.0
153,127.0
154,51.0
155,72.0
156,60.0
157,5.0
158,36.0
159,92.0
160,132.0
161,106.0
162,95.0
163,38.0
164,114.0
165,72.0
166,125.0
167,130.0
168,78.0
169,105.0
170,124.0
171,31.0
172,64.0
173,123.0
174,56.0
175,43.0
176,132.0
177,58.0
178,124.0
179,55.0
180,46.0
181,17.0
182,106.0
183,167.0
184,98.0
185,116.0
186,41.0
187,165.0
188,77.0
189,197.0
190,110.0
191,103.0
192,135.0
193,81.0
194,60.0
195,61.0
196,77.0
197,66.0
198,32.0
199,144.0
200,68.0
201,87.0
202,143.0
203,128.0
204,156.0
205,187.0
206,61.0
207,101.0
208,64.0
209,156.0
210,164.0
211,108.0
212,31.0
213,135.0
214,71.0
215,-10.0
216,22.0
217,182.0
218,186.0
219,22.0
