episode,return
1,91.0
2,15.0
3,165.0
4,137.0
5,35.0
6,102.0
7,73.0
8,101.0
9,145.0
10,164.0
11,148.0
12,22.0
13,24.0
14,155.0
15,-4.0
16,-9.0
17,80.0
18,94.0
19,20.0
20,60.0
21,35.0
22,120.0
23,57.0
24,53.0
25,104.0
26,56.0
27,147.0
28,97.0
29,26.0
30,122.0
31,189.0
32,90.0
33,41.0
34,115.0
35,30.0
36,45.0
37,181.0
38,60.0
39,5.0
40,18.0
41,141.0
42,102.0
43,129.0
44,121.0
45,169.0
46,45.0
47,126.0
48,30.0
49,148.0
50,59.0
51,150.0
52,108.0
53,130.0
54,64.0
55,130.0
56,152.0
57,114.0
58,151.0
59,51.0
60,116.0
61,-4.0
62,225.0
63,117.0
64,85.0
65,74.0
66,91.0
67,72.0
68,12.0
69,65.0
70,134.0
71,106.0
72,91.0
73,105.0
74,40.0
75,96.0
76,31.0
77,92.0
78,76.0
79,51.0
80,126.0
81,76.0
82,46.0
83,116.0
84,90.0
85,170.0
86,149.0
87,40.0
88,68.0
89,151.0
90,153.0
91,117.0
92,96.0
93,116.0
94,91.0
95,56.0
96,103.0
97,60.0
98,126.0
99,14.0
100,117.0
101,70.0
102,70.0
103,91.0
104,110.0
105,91.0
106,101.0
107,94.0
108,84.0
109,31.0
110,104.0
111,171.0
112,84.0
113,-10.0
114,109.0
115,82.0
116,45.0
117,75.0
118,31.0
119,102.0
120,135.0
121,37.0
122,52.0
123,6.0
124,41.0
125,71.0
126,156.0
127,74.0
128,125.0
129,37.0
130,83.0
131,63.0
132,90.0
133,115.0
134,26.0
135,25.0
136,71.0
137,40.0
138,21.0
139,114.0
140,91.0
141,226.0
142,129.0
143,67.0
144,37.0
145,91.0
146,12.0
147,61.0
148,113.0
149,30.0
150,55.0
151,96.0
152,107.0
153,123.0
154,166.0
155,53.0
156,121.0
157,135.0
158,42.0
159,133.0
160,92.0
161,80.0
162,63.0
163,83.0
164,72.0
165,86.0
166,68.0
167,97.0
168,97.0
169,78.0
170,91.0
171,20.0
172,193.0
173,93.0
174,93.0
175,132.0
176,75.0
177,121.0
178,28.0
179,112.0
180,143.0
181,96.0
182,128.0
183,138.0
184,42.0
185,37.0
186,58.0
187,127.0
188,103.0
189,1.0
190,122.0
191,20.0
192,106.0
193,85.0
194,128.0
195,92.0
196,114.0
197,0.0
198,15.0
199,127.0
200,46.0
201,128.0
202,97.0
203,38.0
204,163.0
205,28.0
206,159.0
207,65.0
208,48.0
209,115.0
210,81.0
211,74.0
212,157.0
213,186.0
214,138.0
215,153.0
216,36.0
217,26.0
218,172.0
219,0.0
220,22.0
221,31.0
222,199.0
223,51.0
224,31.0
225,192.0
226,-4.0
227,117.0
228,95.0
229,60.0
230,95.0
231,142.0
232,126.0
233,31.0
234,97.0
235,118.0
236,99.0
237,63.0
238,0.0
239,72.0
240,127.0
241,135.0
242,27.0
243,64.0
244,174.0
245,40.0
246,132.0
247,151.0
248,10.0
249,102.0
250,88.0
251,21.0
252,160.0
253,106.0
254,88.0
255,81.0
256,41.0
257,11.0
258,10.0
259,20.0
260,169.0
261,129.0
262,81.0
263,140.0
264,189.0
265,105.0
266,132.0
267,31.0
268,98.0
269,143.0
270,32.0
271,37.0
272,124.0
273,56.0
274,40.0
275,66.0
276,121.0
277,80.0
278,157.0
279,138.0
280,176.0
281,143.0
282,80.0
283,129.0
284,106.0
285,119.0
286,48.0
287,105.0
288,106.0
289,-4.0
290,93.0
291,131.0
292,191.0
293,91.0
294,101.0
295,115.0
296,127.0
297,97.0
298,138.0
299,148.0
300,111.0
301,130.0
302,100.0
303,92.0
304,111.0
305,80.0
306,162.0
307,113.0
308,83.0
309,152.0
310,22.0
311,0.0
312,11.0
313,146.0
314,171.0
315,27.0
316,58.0
317,137.0
318,128.0
319,119.0
320,82.0
321,131.0
322,60.0
323,57.0
324,143.0
325,142.0
326,72.0
327,66.0
328,99.0
329,62.0
330,105.0
331,71.0
332,40.0
333,6.0
334,111.0
335,94.0
336,92.0
337,111.0
338,20.0
339,126.0
340,108.0
341,113.0
342,134.0
343,115.0
344,65.0
345,9.0
346,53.0
347,75.0
348,130.0
349,224.0
350,-9.0
351,65.0
352,144.0
353,167.0
354,12.0
355,112.0
356,71.0
357,62.0
358,179.0
359,157.0
360,21.0
361,96.0
362,113.0
363,2.0
364,46.0
365,96.0
366,140.0
367,170.0
368,134.0
369,184.0
370,128.0
371,88.0
372,40.0
373,67.0
374,148.0
375,118.0
376,61.0
377,71.0
378,130.0
379,90.0
380,73.0
381,22.0
382,149.0
383,160.0
384,135.0
385,111.0
386,165.0
387,16.0
388,75.0
389,46.0
390,127.0
391,161.0
392,97.0
393,29.0
394,198.0
395,171.0
396,20.0
397,135.0
398,121.0
399,17.0
400,129.0
401,105.0
402,83.0
403,105.0
404,120.0
405,42.0
406,101.0
407,135.0
408,33.0
409,112.0
410,5.0
411,132.0
412,134.0
413,36.0
414,28.0
415,126.0
416,78.0
417,123.0
418,61.0
419,57.0
420,74.0
421,20.0
422,31.0
423,30.0
424,155.0
425,175.0
426,-5.0
427,95.0
428,93.0
429,136.0
430,104.0
431,129.0
432,130.0
433,177.0
434,56.0
435,162.0
436,85.0
437,53.0
438,118.0
439,91.0
440,60.0
441,-4.0
442,60.0
443,27.0
444,146.0
445,136.0
446,60.0
447,144.0
448,107.0
449,220.0
450,130.0
451,103.0
452,86.0
453,0.0
454,115.0
455,167.0
456,-15.0
457,62.0
458,57.0
459,163.0
460,26.0
461,155.0
462,12.0
463,126.0
464,36.0
465,105.0
466,31.0
467,75.0
468,142.0
469,5.0
470,83.0
471,0.0
472,81.0
473,79.0
474,91.0
475,47.0
476,-10.0
477,77.0
478,-15.0
479,46.0
