episode,return
1,155.0
2,20.0
3,45.0
4,-10.0
5,36.0
6,135.0
7,110.0
8,10.0
9,116.0
10,81.0
11,38.0
12,34.0
13,60.0
14,27.0
15,43.0
16,50.0
17,100.0
18,70.0
19,51.0
20,71.0
21,16.0
22,143.0
23,31.0
24,50.0
25,160.0
26,74.0
27,40.0
28,74.0
29,110.0
30,61.0
31,162.0
32,26.0
33,-8.0
34,61.0
35,168.0
36,123.0
37,93.0
38,125.0
39,92.0
40,87.0
41,178.0
42,61.0
43,40.0
44,102.0
45,62.0
46,71.0
47,51.0
48,170.0
49,38.0
50,45.0
51,100.0
52,60.0
53,10.0
54,132.0
55,-10.0
56,5.0
57,65.0
58,90.0
59,65.0
60,30.0
61,127.0
62,0.0
63,101.0
64,0.0
65,42.0
66,7.0
67,99.0
68,130.0
69,89.0
70,179.0
71,-15.0
72,129.0
73,21.0
74,37.0
75,145.0
76,73.0
77,10.0
78,129.0
79,98.0
80,40.0
81,144.0
82,20.0
83,41.0
84,15.0
85,27.0
86,5.0
87,97.0
88,118.0
89,101.0
90,123.0
91,-15.0
92,15.0
93,-5.0
94,70.0
95,148.0
96,144.0
97,80.0
98,105.0
99,142.0
100,20.0
101,78.0
102,95.0
103,93.0
104,76.0
105,66.0
106,10.0
107,167.0
108,126.0
109,127.0
110,34.0
111,30.0
112,66.0
113,115.0
114,95.0
115,107.0
116,-9.0
117,122.0
118,93.0
119,100.0
120,113.0
121,95.0
122,40.0
123,56.0
124,110.0
125,65.0
126,113.0
127,170.0
128,93.0
129,41.0
130,40.0
131,80.0
132,97.0
133,-5.0
134,0.0
135,92.0
136,52.0
137,41.0
138,94.0
139,51.0
140,144.0
141,178.0
142,137.0
143,85.0
144,155.0
145,97.0
146,10.0
147,138.0
148,35.0
149,32.0
150,56.0
151,81.0
152,80.0
153,30.0
154,76.0
155,160.0
156,16.0
157,56.0
158,81.0
159,17.0
160,155.0
161,225.0
162,113.0
163,151.0
164,87.0
165,126.0
166,76.0
167,25.0
168,26.0
169,10.0
170,37.0
171,38.0
172,179.0
173,28.0
174,77.0
175,142.0
176,47.0
177,57.0
178,66.0
179,132.0
180,158.0
181,55.0
182,172.0
183,50.0
184,98.0
185,26.0
186,98.0
187,87.0
188,63.0
189,80.0
190,117.0
191,15.0
192,6.0
193,-15.0
194,96.0
195,108.0
196,59.0
197,127.0
198,147.0
199,-4.0
200,174.0
201,86.0
202,78.0
203,97.0
204,87.0
205,111.0
206,101.0
207,70.0
208,50.0
209,137.0
210,180.0
211,16.0
212,6.0
213,104.0
214,50.0
215,80.0
216,56.0
217,128.0
218,71.0
219,129.0
220,58.0
221,103.0
222,2.0
223,103.0
224,49.0
225,130.0
226,191.0
227,186.0
228,131.0
229,107.0
230,76.0
231,80.0
232,46.0
233,78.0
234,132.0
235,67.0
236,131.0
237,84.0
238,71.0
239,35.0
240,56.0
241,134.0
242,81.0
243,47.0
244,45.0
245,100.0
246,55.0
247,153.0
248,106.0
249,63.0
250,91.0
251,63.0
252,68.0
253,133.0
254,84.0
255,125.0
256,70.0
257,127.0
258,30.0
259,110.0
260,72.0
261,107.0
262,73.0
263,0.0
264,130.0
265,33.0
266,196.0
267,110.0
268,38.0
269,127.0
270,61.0
271,121.0
272,105.0
273,21.0
274,128.0
275,105.0
276,96.0
277,58.0
278,105.0
279,96.0
280,102.0
281,58.0
282,122.0
283,144.0
284,63.0
285,81.0
286,171.0
287,130.0
288,98.0
289,40.0
290,108.0
291,88.0
292,20.0
293,81.0
294,136.0
295,30.0
296,36.0
297,127.0
298,73.0
299,0.0
300,75.0
301,55.0
302,7.0
303,25.0
304,56.0
305,95.0
306,11.0
307,153.0
308,151.0
309,63.0
310,150.0
311,53.0
312,132.0
313,171.0
314,200.0
315,100.0
316,105.0
317,90.0
318,129.0
319,109.0
320,128.0
321,131.0
322,137.0
323,113.0
324,-15.0
325,69.0
326,69.0
327,76.0
328,99.0
329,113.0
330,15.0
331,120.0
332,194.0
333,92.0
334,16.0
335,31.0
336,134.0
337,96.0
338,25.0
339,47.0
340,35.0
341,203.0
342,206.0
343,81.0
344,181.0
345,110.0
346,70.0
347,2.0
348,147.0
349,101.0
350,126.0
351,76.0
352,170.0
353,97.0
354,45.0
355,136.0
356,114.0
357,117.0
358,90.0
359,134.0
360,161.0
361,56.0
362,46.0
363,5.0
364,20.0
365,26.0
366,78.0
367,40.0
368,126.0
369,58.0
370,108.0
371,30.0
372,137.0
373,-4.0
374,62.0
375,55.0
376,108.0
377,21.0
378,115.0
379,30.0
380,131.0
381,46.0
382,170.0
383,-10.0
384,74.0
385,72.0
386,41.0
387,138.0
388,37.0
389,164.0
390,43.0
391,41.0
392,161.0
