episode,return
1,172.0
2,5.0
3,10.0
4,41.0
5,25.0
6,132.0
7,11.0
8,46.0
9,10.0
10,92.0
11,108.0
12,1.0
13,10.0
14,20.0
15,114.0
16,50.0
17,146.0
18,20.0
19,72.0
20,55.0
21,90.0
22,140.0
23,82.0
24,134.0
25,29.0
26,31.0
27,45.0
28,91.0
29,65.0
30,105.0
31,76.0
32,30.0
33,95.0
34,56.0
35,58.0
36,36.0
37,30.0
38,130.0
39,62.0
40,156.0
41,41.0
42,53.0
43,114.0
44,22.0
45,128.0
46,60.0
47,-4.0
48,158.0
49,1.0
50,147.0
51,10.0
52,107.0
53,36.0
54,65.0
55,103.0
56,12.0
57,66.0
58,47.0
59,152.0
60,145.0
61,165.0
62,61.0
63,125.0
64,27.0
65,116.0
66,8.0
67,110.0
68,90.0
69,60.0
70,81.0
71,100.0
72,84.0
73,52.0
74,96.0
75,31.0
76,-10.0
77,21.0
78,12.0
79,173.0
80,126.0
81,27.0
82,38.0
83,0.0
84,119.0
85,46.0
86,98.0
87,82.0
88,70.0
89,65.0
90,114.0
91,72.0
92,96.0
93,68.0
94,156.0
95,21.0
96,140.0
97,165.0
98,-3.0
99,61.0
100,97.0
101,159.0
102,111.0
103,110.0
104,35.0
105,109.0
106,120.0
107,143.0
108,72.0
109,61.0
110,153.0
111,137.0
112,31.0
113,-9.0
114,93.0
115,121.0
116,102.0
117,10.0
118,125.0
119,144.0
120,0.0
121,45.0
122,154.0
123,142.0
124,59.0
125,38.0
126,120.0
127,16.0
128,85.0
129,69.0
130,75.0
131,22.0
132,206.0
133,21.0
134,15.0
135,35.0
136,106.0
137,31.0
138,101.0
139,66.0
140,25.0
141,95.0
142,116.0
143,61.0
144,71.0
145,111.0
146,22.0
147,92.0
148,112.0
149,144.0
150,107.0
151,91.0
152,105.0
153,-15.0
154,98.0
155,20.0
156,126.0
157,122.0
158,51.0
159,186.0
160,69.0
161,96.0
162,-5.0
163,46.0
164,7.0
165,127.0
166,179.0
167,148.0
168,-5.0
169,26.0
170,85.0
171,70.0
172,61.0
173,100.0
174,88.0
175,15.0
176,135.0
177,41.0
178,72.0
179,86.0
180,-15.0
181,-5.0
182,35.0
183,58.0
184,90.0
185,117.0
186,21.0
187,157.0
188,72.0
189,131.0
190,110.0
191,95.0
192,85.0
193,113.0
194,65.0
195,135.0
196,133.0
197,178.0
198,170.0
199,175.0
200,15.0
201,26.0
202,65.0
203,147.0
204,141.0
205,112.0
206,119.0
207,62.0
208,0.0
209,98.0
210,81.0
211,164.0
212,85.0
213,136.0
214,38.0
215,20.0
216,82.0
217,144.0
218,26.0
219,69.0
220,130.0
221,173.0
222,140.0
223,91.0
224,73.0
225,140.0
226,120.0
227,145.0
228,51.0
229,138.0
230,10.0
231,60.0
232,126.0
233,56.0
234,162.0
235,130.0
236,47.0
237,104.0
238,118.0
239,167.0
240,158.0
241,150.0
242,123.0
243,-15.0
244,172.0
245,25.0
246,121.0
247,80.0
248,64.0
249,201.0
250,83.0
251,20.0
252,76.0
253,94.0
254,85.0
255,78.0
256,130.0
257,93.0
258,127.0
259,153.0
260,5.0
261,125.0
262,7.0
263,112.0
264,66.0
265,92.0
266,156.0
267,105.0
268,55.0
269,55.0
270,126.0
271,55.0
272,32.0
273,93.0
274,162.0
275,90.0
276,128.0
277,104.0
278,140.0
279,97.0
280,129.0
281,160.0
282,68.0
283,119.0
284,62.0
285,137.0
286,0.0
287,143.0
288,21.0
289,137.0
290,45.0
291,12.0
292,88.0
293,140.0
294,106.0
295,21.0
296,90.0
297,120.0
298,31.0
299,17.0
300,165.0
301,120.0
302,75.0
303,77.0
304,125.0
305,170.0
306,111.0
307,97.0
308,71.0
309,-10.0
310,-10.0
311,62.0
312,19.0
313,46.0
314,109.0
315,104.0
316,46.0
317,62.0
318,61.0
319,55.0
320,112.0
321,111.0
322,94.0
323,107.0
324,141.0
325,138.0
326,169.0
327,76.0
328,60.0
329,135.0
330,79.0
331,72.0
332,105.0
333,-15.0
334,-15.0
335,169.0
336,76.0
337,42.0
338,10.0
339,55.0
340,15.0
341,98.0
342,148.0
343,131.0
344,91.0
345,125.0
346,35.0
347,67.0
348,-15.0
349,85.0
350,150.0
351,123.0
352,40.0
353,65.0
354,-10.0
355,63.0
356,41.0
357,70.0
358,35.0
359,48.0
360,104.0
361,163.0
362,215.0
363,142.0
364,118.0
365,5.0
366,76.0
367,6.0
368,35.0
369,17.0
370,27.0
371,112.0
372,35.0
373,62.0
374,60.0
375,166.0
376,7.0
377,12.0
378,82.0
379,44.0
380,116.0
381,108.0
382,91.0
383,-4.0
384,16.0
385,68.0
386,5.0
387,169.0
388,90.0
389,40.0
390,20.0
391,127.0
392,134.0
393,108.0
394,65.0
395,147.0
396,62.0
397,148.0
398,32.0
399,65.0
400,57.0
401,12.0
402,156.0
403,31.0
404,-15.0
405,32.0
406,66.0
407,28.0
408,46.0
409,1.0
410,0.0
411,85.0
412,86.0
413,70.0
414,103.0
415,50.0
416,99.0
417,40.0
418,40.0
419,-15.0
420,79.0
421,125.0
422,22.0
423,143.0
424,83.0
425,130.0
426,101.0
427,142.0
428,10.0
429,11.0
430,96.0
431,97.0
432,173.0
433,72.0
434,130.0
435,62.0
436,15.0
437,16.0
438,21.0
439,75.0
440,12.0
441,65.0
442,194.0
443,165.0
444,145.0
445,30.0
446,85.0
447,82.0
448,137.0
449,96.0
450,112.0
451,-15.0
452,80.0
453,-5.0
454,81.0
455,124.0
456,56.0
457,131.0
458,58.0
459,-5.0
460,15.0
461,82.0
462,101.0
463,127.0
464,15.0
465,-15.0
466,42.0
467,97.0
468,5.0
469,16.0
470,55.0
471,50.0
472,26.0
473,80.0
474,55.0
475,206.0
476,60.0
477,111.0
478,73.0
479,131.0
480,98.0
481,117.0
482,51.0
483,129.0
484,142.0
485,40.0
486,30.0
487,33.0
488,-14.0
489,111.0
490,0.0
491,80.0
492,162.0
493,110.0
494,88.0
495,130.0
496,56.0
497,52.0
498,111.0
499,65.0
500,99.0
501,56.0
502,109.0
503,2.0
504,90.0
505,120.0
506,97.0
507,106.0
508,58.0
509,-15.0
510,-5.0
511,29.0
512,65.0
513,21.0
514,51.0
515,46.0
516,11.0
517,145.0
518,96.0
519,-10.0
520,25.0
521,22.0
522,90.0
523,-4.0
524,100.0
525,181.0
526,122.0
527,20.0
528,177.0
529,32.0
530,80.0
531,58.0
532,171.0
533,163.0
534,92.0
535,152.0
536,98.0
537,140.0
538,64.0
539,150.0
540,65.0
541,145.0
542,91.0
543,31.0
544,83.0
545,40.0
546,114.0
547,48.0
548,161.0
549,91.0
550,20.0
551,118.0
552,41.0
553,168.0
554,-15.0
555,95.0
556,66.0
557,60.0
558,60.0
559,-15.0
560,148.0
561,101.0
562,126.0
563,120.0
564,103.0
565,45.0
566,206.0
567,-15.0
568,155.0
569,70.0
570,187.0
571,120.0
572,103.0
573,-4.0
574,105.0
575,117.0
576,91.0
577,131.0
578,103.0
579,72.0
580,65.0
581,176.0
582,49.0
583,105.0
584,115.0
585,38.0
586,-5.0
587,106.0
588,160.0
589,5.0
590,92.0
591,152.0
592,56.0
593,125.0
594,58.0
595,75.0
596,160.0
597,75.0
598,126.0
599,90.0
600,68.0
601,79.0
602,45.0
603,116.0
604,36.0
605,122.0
606,22.0
607,58.0
608,134.0
609,76.0
610,82.0
611,103.0
612,10.0
613,98.0
614,22.0
615,57.0
616,120.0
617,115.0
618,-10.0
619,125.0
620,77.0
621,12.0
622,151.0
623,66.0
624,160.0
625,139.0
626,130.0
627,117.0
628,16.0
629,153.0
630,105.0
631,85.0
632,47.0
633,61.0
634,92.0
635,30.0
636,56.0
637,65.0
638,90.0
639,110.0
640,-5.0
641,-15.0
642,140.0
643,75.0
644,139.0
645,36.0
646,158.0
647,154.0
648,45.0
649,117.0
650,149.0
651,-15.0
652,36.0
653,133.0
654,70.0
655,78.0
656,36.0
657,17.0
658,96.0
659,126.0
660,71.0
661,86.0
662,66.0
663,195.0
664,0.0
665,49.0
666,7.0
667,95.0
668,102.0
669,137.0
670,68.0
671,74.0
672,122.0
673,118.0
674,2.0
675,125.0
676,116.0
677,122.0
678,89.0
679,32.0
680,-10.0
681,57.0
682,131.0
683,110.0
684,76.0
685,71.0
686,197.0
687,17.0
688,98.0
689,127.0
690,31.0
691,102.0
692,151.0
693,66.0
694,63.0
695,153.0
696,51.0
697,106.0
698,111.0
699,205.0
700,115.0
701,70.0
702,163.0
703,-15.0
704,-4.0
705,164.0
706,5.0
707,90.0
708,103.0
709,47.0
710,61.0
711,87.0
712,67.0
713,23.0
714,109.0
715,44.0
716,178.0
717,146.0
718,92.0
719,130.0
720,62.0
721,98.0
722,0.0
723,164.0
724,189.0
725,91.0
726,164.0
727,60.0
728,-5.0
729,126.0
730,-15.0
731,86.0
732,90.0
733,130.0
734,118.0
735,186.0
736,115.0
737,60.0
738,-5.0
739,57.0
740,63.0
741,140.0
742,76.0
743,93.0
744,47.0
745,184.0
746,130.0
747,164.0
748,11.0
749,134.0
750,6.0
751,-10.0
752,55.0
753,179.0
754,162.0
755,128.0
756,192.0
757,90.0
