episode,return
1,152.0
2,184.0
3,72.0
4,123.0
5,30.0
6,84.0
7,62.0
8,81.0
9,10.0
10,68.0
11,178.0
12,28.0
13,122.0
14,105.0
15,141.0
16,100.0
17,99.0
18,148.0
19,106.0
20,40.0
21,110.0
22,151.0
23,11.0
24,91.0
25,228.0
26,127.0
27,51.0
28,20.0
29,197.0
30,32.0
31,155.0
32,11.0
33,53.0
34,100.0
35,58.0
36,0.0
37,-5.0
38,143.0
39,72.0
40,121.0
41,142.0
42,93.0
43,162.0
44,116.0
45,100.0
46,99.0
47,93.0
48,122.0
49,176.0
50,171.0
51,70.0
52,181.0
53,103.0
54,-10.0
55,35.0
56,10.0
57,82.0
58,100.0
59,81.0
60,95.0
61,33.0
62,50.0
63,82.0
64,32.0
65,40.0
66,109.0
67,100.0
68,82.0
69,201.0
70,137.0
71,26.0
72,100.0
73,142.0
74,82.0
75,100.0
76,144.0
77,100.0
78,116.0
79,104.0
80,111.0
81,10.0
82,164.0
83,211.0
84,181.0
85,121.0
86,-10.0
87,89.0
88,160.0
89,48.0
90,156.0
91,63.0
92,30.0
93,200.0
94,57.0
95,115.0
96,29.0
97,92.0
98,144.0
99,51.0
100,68.0
101,74.0
102,135.0
103,163.0
104,107.0
105,177.0
106,87.0
107,74.0
108,73.0
109,156.0
110,172.0
111,26.0
112,133.0
113,187.0
114,20.0
115,73.0
116,40.0
117,112.0
118,136.0
119,125.0
120,87.0
121,132.0
122,120.0
123,132.0
124,127.0
125,37.0
126,109.0
127,100.0
128,205.0
129,73.0
130,182.0
131,128.0
132,105.0
133,164.0
134,191.0
135,66.0
136,163.0
137,84.0
138,190.0
139,128.0
140,90.0
141,121.0
142,218.0
143,85.0
144,113.0
145,93.0
146,0.0
147,0.0
148,20.0
149,166.0
150,40.0
151,146.0
152,169.0
153,50.0
154,195.0
155,104.0
156,164.0
157,-5.0
158,75.0
159,42.0
160,107.0
161,83.0
162,214.0
163,206.0
164,160.0
165,124.0
166,110.0
167,110.0
168,10.0
169,76.0
170,70.0
171,182.0
172,161.0
173,125.0
174,166.0
175,66.0
176,163.0
177,136.0
178,198.0
179,87.0
180,92.0
181,105.0
182,18.0
183,61.0
184,110.0
185,101.0
186,120.0
187,155.0
188,83.0
189,117.0
190,103.0
191,51.0
192,161.0
193,21.0
194,114.0
195,96.0
196,166.0
197,205.0
198,83.0
199,1.0
200,15.0
201,126.0
202,41.0
203,77.0
204,135.0
205,50.0
206,58.0
207,165.0
208,51.0
209,1.0
210,134.0
211,95.0
212,154.0
213,92.0
214,42.0
215,22.0
216,118.0
217,-9.0
218,31.0
219,28.0
220,188.0
221,108.0
222,26.0
223,160.0
224,141.0
225,138.0
226,127.0
227,192.0
228,160.0
229,111.0
230,90.0
231,70.0
232,53.0
233,180.0
234,96.0
235,98.0
236,155.0
237,95.0
238,201.0
239,171.0
240,85.0
241,-9.0
242,163.0
243,163.0
244,110.0
245,183.0
246,162.0
247,166.0
248,71.0
249,130.0
250,62.0
251,235.0
252,142.0
253,164.0
254,76.0
255,145.0
256,192.0
257,140.0
258,63.0
259,50.0
260,137.0
261,101.0
262,67.0
263,197.0
264,116.0
265,168.0
266,220.0
267,150.0
268,135.0
269,62.0
270,177.0
271,137.0
272,108.0
273,61.0
274,88.0
275,128.0
276,143.0
277,62.0
278,56.0
279,30.0
280,56.0
281,105.0
282,5.0
283,78.0
284,23.0
285,117.0
286,90.0
287,111.0
288,185.0
289,166.0
290,65.0
291,170.0
292,102.0
293,72.0
294,155.0
295,139.0
296,91.0
297,176.0
298,63.0
299,167.0
300,116.0
301,105.0
302,155.0
303,160.0
304,98.0
305,135.0
306,126.0
307,111.0
308,81.0
309,62.0
310,124.0
311,132.0
312,137.0
313,97.0
314,141.0
315,20.0
316,185.0
317,56.0
318,62.0
319,94.0
320,63.0
321,116.0
322,41.0
323,77.0
324,186.0
325,131.0
326,70.0
327,77.0
328,92.0
329,15.0
330,98.0
331,155.0
332,20.0
333,99.0
334,80.0
335,141.0
336,194.0
337,143.0
338,156.0
339,177.0
340,112.0
341,72.0
342,31.0
343,154.0
344,145.0
345,104.0
346,75.0
347,66.0
348,107.0
349,21.0
350,115.0
351,73.0
352,73.0
353,193.0
354,71.0
355,174.0
356,73.0
357,122.0
358,142.0
359,101.0
360,145.0
361,81.0
362,51.0
363,200.0
364,96.0
365,72.0
366,42.0
367,109.0
368,152.0
369,130.0
370,87.0
371,50.0
372,141.0
373,54.0
374,85.0
375,75.0
376,206.0
377,180.0
378,27.0
379,97.0
380,162.0
381,200.0
382,70.0
383,62.0
384,126.0
385,60.0
386,62.0
387,109.0
388,225.0
389,31.0
390,21.0
391,38.0
392,204.0
393,157.0
394,101.0
395,60.0
396,153.0
397,99.0
398,157.0
399,160.0
400,91.0
401,212.0
402,175.0
403,125.0
404,122.0
405,15.0
406,54.0
407,20.0
408,60.0
409,154.0
410,180.0
411,41.0
412,185.0
413,72.0
414,145.0
415,115.0
416,133.0
417,96.0
418,73.0
419,172.0
420,35.0
421,174.0
422,92.0
423,0.0
424,36.0
425,-10.0
426,95.0
427,143.0
428,72.0
429,232.0
430,132.0
431,36.0
432,135.0
433,50.0
434,127.0
435,86.0
436,135.0
437,90.0
438,11.0
439,112.0
440,202.0
441,111.0
442,153.0
443,177.0
444,180.0
445,77.0
446,94.0
447,118.0
448,95.0
449,30.0
450,157.0
451,78.0
452,45.0
453,140.0
454,124.0
455,131.0
456,127.0
457,140.0
458,99.0
459,35.0
460,42.0
461,113.0
462,158.0
463,11.0
464,177.0
465,67.0
466,15.0
467,20.0
468,160.0
469,48.0
470,40.0
471,42.0
472,22.0
473,57.0
474,30.0
475,61.0
476,152.0
477,101.0
478,94.0
479,76.0
480,148.0
481,136.0
482,199.0
483,164.0
484,86.0
485,37.0
486,190.0
487,105.0
488,60.0
489,23.0
490,-10.0
491,106.0
492,140.0
493,10.0
494,133.0
495,113.0
496,202.0
497,101.0
498,175.0
499,67.0
500,96.0
501,175.0
502,95.0
503,74.0
504,72.0
505,201.0
506,125.0
507,-8.0
508,-10.0
509,157.0
510,10.0
511,66.0
512,62.0
513,86.0
514,73.0
515,43.0
516,144.0
517,149.0
518,110.0
519,182.0
520,163.0
521,-15.0
522,86.0
523,77.0
524,32.0
525,132.0
526,127.0
527,70.0
528,130.0
529,97.0
530,104.0
531,142.0
532,86.0
533,121.0
534,165.0
535,154.0
536,99.0
537,140.0
538,45.0
539,77.0
540,-3.0
541,81.0
542,175.0
543,61.0
544,89.0
545,10.0
546,127.0
547,27.0
548,108.0
549,32.0
550,52.0
551,158.0
552,170.0
553,152.0
554,45.0
555,55.0
556,45.0
557,133.0
558,136.0
559,180.0
560,131.0
561,45.0
562,56.0
563,161.0
564,169.0
565,72.0
566,136.0
567,130.0
568,63.0
569,97.0
570,20.0
571,94.0
572,130.0
573,97.0
574,198.0
575,148.0
576,199.0
577,71.0
578,137.0
579,20.0
580,-10.0
581,66.0
582,100.0
583,54.0
584,91.0
585,212.0
586,21.0
587,215.0
588,81.0
589,134.0
590,20.0
591,109.0
592,105.0
593,144.0
594,184.0
595,82.0
596,85.0
597,152.0
598,95.0
599,106.0
600,33.0
601,35.0
602,28.0
603,37.0
604,160.0
605,100.0
606,107.0
607,-14.0
608,61.0
609,129.0
610,221.0
611,130.0
612,15.0
613,169.0
614,199.0
615,95.0
616,167.0
617,151.0
618,112.0
619,113.0
620,140.0
621,60.0
622,17.0
623,1.0
624,137.0
625,47.0
626,161.0
627,75.0
628,199.0
629,49.0
630,168.0
631,87.0
632,104.0
633,101.0
634,167.0
635,21.0
636,0.0
637,228.0
638,72.0
639,112.0
640,6.0
641,160.0
642,112.0
643,75.0
644,138.0
645,133.0
646,78.0
647,25.0
648,32.0
649,55.0
650,75.0
651,207.0
652,71.0
653,127.0
654,-14.0
655,164.0
656,82.0
657,169.0
658,4.0
659,125.0
660,108.0
661,91.0
662,57.0
663,132.0
664,110.0
665,60.0
666,180.0
667,198.0
668,118.0
669,75.0
670,85.0
671,126.0
672,81.0
673,134.0
674,75.0
675,224.0
676,-10.0
677,108.0
678,116.0
679,100.0
680,120.0
681,110.0
682,126.0
683,142.0
684,51.0
685,70.0
686,135.0
687,102.0
688,104.0
689,116.0
690,-15.0
691,100.0
692,87.0
693,90.0
694,154.0
695,144.0
696,-10.0
697,146.0
698,168.0
699,177.0
700,48.0
701,130.0
702,108.0
703,91.0
704,88.0
705,159.0
706,77.0
707,132.0
708,121.0
709,185.0
710,166.0
711,131.0
712,81.0
713,60.0
714,73.0
715,12.0
716,96.0
717,167.0
718,80.0
719,82.0
720,101.0
721,147.0
722,82.0
723,-4.0
724,169.0
725,50.0
726,155.0
727,-14.0
728,61.0
729,218.0
730,129.0
731,35.0
732,108.0
733,6.0
734,116.0
735,41.0
736,141.0
737,184.0
738,66.0
739,-10.0
740,118.0
741,10.0
742,39.0
743,5.0
744,116.0
745,107.0
746,101.0
747,131.0
748,98.0
749,142.0
750,110.0
751,56.0
752,72.0
753,96.0
754,177.0
755,189.0
756,178.0
757,113.0
758,74.0
759,76.0
760,83.0
761,122.0
762,94.0
763,101.0
764,68.0
765,98.0
766,56.0
767,30.0
768,156.0
769,137.0
770,122.0
771,91.0
772,58.0
773,42.0
774,150.0
775,130.0
776,46.0
777,105.0
778,120.0
779,84.0
780,108.0
781,146.0
782,86.0
783,131.0
784,30.0
785,99.0
786,196.0
787,163.0
788,-5.0
789,133.0
790,0.0
791,70.0
792,150.0
793,72.0
794,142.0
795,60.0
796,81.0
797,122.0
798,125.0
799,181.0
800,86.0
801,147.0
802,192.0
803,109.0
804,33.0
805,165.0
806,93.0
807,106.0
808,103.0
809,150.0
810,111.0
811,131.0
812,136.0
813,55.0
814,111.0
815,126.0
816,84.0
817,40.0
818,122.0
819,98.0
820,132.0
821,65.0
822,75.0
823,164.0
824,-10.0
825,147.0
826,61.0
827,155.0
828,140.0
829,182.0
830,111.0
831,97.0
832,22.0
833,87.0
834,225.0
835,21.0
836,128.0
837,41.0
838,90.0
839,139.0
840,143.0
841,178.0
842,70.0
843,46.0
844,5.0
845,30.0
846,132.0
847,92.0
848,60.0
849,133.0
850,100.0
851,75.0
852,36.0
853,192.0
854,26.0
855,190.0
856,110.0
857,125.0
858,52.0
859,188.0
860,115.0
861,35.0
862,-9.0
863,145.0
864,122.0
865,20.0
866,190.0
867,106.0
868,176.0
869,148.0
870,143.0
871,41.0
872,132.0
873,141.0
874,104.0
875,130.0
876,152.0
877,151.0
878,102.0
879,113.0
880,-10.0
881,96.0
882,114.0
883,44.0
884,130.0
885,46.0
886,25.0
887,95.0
888,104.0
889,67.0
890,112.0
891,74.0
892,169.0
893,96.0
894,91.0
895,167.0
896,131.0
897,151.0
898,125.0
899,35.0
900,86.0
901,109.0
902,95.0
903,128.0
904,70.0
905,121.0
906,86.0
907,42.0
908,67.0
909,186.0
910,71.0
911,141.0
912,-9.0
913,177.0
914,125.0
915,76.0
916,153.0
917,46.0
918,137.0
919,166.0
920,52.0
921,60.0
922,130.0
923,115.0
924,160.0
925,76.0
926,77.0
927,21.0
928,115.0
929,122.0
930,131.0
931,62.0
932,130.0
933,181.0
934,75.0
935,100.0
936,173.0
937,60.0
938,147.0
939,102.0
940,94.0
941,195.0
942,178.0
943,112.0
944,78.0
945,204.0
946,50.0
947,175.0
948,162.0
949,80.0
950,150.0
951,90.0
952,113.0
953,20.0
954,129.0
955,151.0
956,149.0
957,-10.0
958,145.0
959,110.0
960,105.0
961,106.0
962,26.0
963,203.0
964,140.0
965,105.0
966,53.0
967,67.0
968,167.0
969,61.0
970,39.0
971,49.0
972,106.0
973,137.0
974,100.0
975,140.0
976,110.0
977,166.0
978,100.0
979,136.0
980,53.0
981,118.0
982,60.0
983,-14.0
984,72.0
985,96.0
986,91.0
987,20.0
988,-10.0
989,92.0
990,95.0
991,152.0
992,100.0
993,151.0
994,220.0
995,140.0
996,166.0
997,20.0
998,110.0
999,123.0
1000,0.0
1001,115.0
1002,61.0
1003,140.0
1004,75.0
1005,11.0
1006,59.0
1007,110.0
1008,191.0
1009,142.0
1010,-15.0
1011,62.0
1012,95.0
1013,86.0
1014,60.0
1015,46.0
1016,36.0
1017,89.0
1018,184.0
1019,65.0
1020,73.0
1021,30.0
1022,114.0
1023,90.0
1024,125.0
1025,41.0
1026,183.0
1027,223.0
1028,162.0
1029,112.0
1030,135.0
1031,0.0
1032,185.0
1033,112.0
1034,95.0
1035,122.0
1036,99.0
1037,109.0
1038,193.0
1039,200.0
1040,22.0
1041,143.0
1042,195.0
1043,88.0
1044,167.0
1045,37.0
1046,141.0
1047,71.0
1048,165.0
1049,96.0
1050,182.0
1051,1.0
1052,123.0
1053,116.0
1054,152.0
1055,66.0
1056,117.0
1057,117.0
1058,172.0
1059,55.0
1060,158.0
1061,172.0
1062,95.0
1063,180.0
1064,164.0
1065,110.0
1066,102.0
1067,87.0
1068,148.0
1069,58.0
1070,63.0
1071,35.0
1072,130.0
1073,62.0
1074,103.0
1075,21.0
1076,91.0
1077,12.0
1078,63.0
1079,91.0
1080,171.0
1081,78.0
1082,118.0
1083,32.0
1084,104.0
1085,156.0
1086,144.0
1087,61.0
1088,73.0
1089,211.0
1090,170.0
1091,25.0
1092,131.0
1093,208.0
1094,127.0
1095,120.0
1096,138.0
1097,158.0
1098,108.0
1099,179.0
1100,81.0
1101,15.0
1102,173.0
1103,50.0
1104,60.0
1105,143.0
1106,83.0
1107,130.0
1108,162.0
1109,11.0
1110,142.0
1111,78.0
1112,166.0
1113,23.0
1114,82.0
1115,30.0
1116,147.0
1117,192.0
1118,139.0
1119,107.0
1120,17.0
1121,87.0
1122,45.0
1123,108.0
1124,21.0
1125,72.0
1126,129.0
1127,142.0
1128,162.0
1129,32.0
1130,60.0
1131,80.0
1132,151.0
1133,150.0
1134,41.0
1135,133.0
1136,87.0
1137,-9.0
1138,28.0
1139,71.0
1140,121.0
1141,169.0
1142,66.0
1143,130.0
1144,149.0
1145,95.0
1146,125.0
1147,62.0
1148,161.0
1149,106.0
1150,136.0
1151,142.0
1152,-10.0
1153,141.0
1154,6.0
1155,60.0
1156,140.0
1157,76.0
1158,70.0
1159,87.0
1160,90.0
1161,155.0
1162,142.0
1163,210.0
1164,165.0
1165,30.0
1166,11.0
1167,161.0
1168,151.0
1169,171.0
1170,117.0
1171,11.0
1172,120.0
1173,115.0
1174,130.0
1175,15.0
