episode,return
1,65.0
2,32.0
3,140.0
4,165.0
5,134.0
6,133.0
7,125.0
8,120.0
9,81.0
10,65.0
11,186.0
12,84.0
13,16.0
14,92.0
15,174.0
16,201.0
17,90.0
18,105.0
19,40.0
20,92.0
21,61.0
22,124.0
23,134.0
24,15.0
25,139.0
26,25.0
27,147.0
28,68.0
29,135.0
30,110.0
31,24.0
32,65.0
33,105.0
34,97.0
35,70.0
36,183.0
37,161.0
38,81.0
39,179.0
40,145.0
41,208.0
42,150.0
43,31.0
44,165.0
45,205.0
46,206.0
47,148.0
48,127.0
49,149.0
50,86.0
51,101.0
52,74.0
53,136.0
54,69.0
55,175.0
56,70.0
57,102.0
58,132.0
59,31.0
60,101.0
61,85.0
62,109.0
63,62.0
64,181.0
65,157.0
66,23.0
67,85.0
68,116.0
69,166.0
70,126.0
71,2.0
72,129.0
73,172.0
74,96.0
75,21.0
76,134.0
77,175.0
78,194.0
79,30.0
80,31.0
81,150.0
82,75.0
83,93.0
84,133.0
85,152.0
86,85.0
87,120.0
88,11.0
89,108.0
90,74.0
91,164.0
92,182.0
93,102.0
94,136.0
95,63.0
96,100.0
97,60.0
98,71.0
99,147.0
100,81.0
101,192.0
102,178.0
103,30.0
104,116.0
105,42.0
106,42.0
107,112.0
108,117.0
109,182.0
110,171.0
111,102.0
112,125.0
113,208.0
114,101.0
115,87.0
116,30.0
117,140.0
118,154.0
119,26.0
120,46.0
121,141.0
122,117.0
123,97.0
124,70.0
125,96.0
126,203.0
127,140.0
128,74.0
129,158.0
130,40.0
131,51.0
132,149.0
133,136.0
134,90.0
135,160.0
136,43.0
137,37.0
138,5.0
139,147.0
140,127.0
141,130.0
142,77.0
143,107.0
144,22.0
145,132.0
146,217.0
147,-9.0
148,166.0
149,128.0
150,52.0
151,61.0
152,57.0
153,80.0
154,142.0
155,-8.0
156,-5.0
157,153.0
158,200.0
159,141.0
160,107.0
161,71.0
162,160.0
163,10.0
164,100.0
165,62.0
166,156.0
167,105.0
168,138.0
169,30.0
170,170.0
171,-5.0
172,-15.0
173,143.0
174,85.0
175,127.0
176,135.0
177,96.0
178,131.0
179,146.0
180,64.0
181,166.0
182,124.0
183,136.0
184,75.0
185,96.0
186,91.0
187,30.0
188,182.0
189,142.0
190,124.0
191,7.0
192,75.0
193,106.0
194,162.0
195,110.0
196,32.0
197,168.0
198,0.0
199,190.0
200,10.0
201,72.0
202,57.0
203,67.0
204,217.0
205,164.0
206,103.0
207,96.0
208,109.0
209,10.0
210,71.0
211,113.0
212,128.0
213,187.0
214,153.0
215,136.0
216,69.0
217,91.0
218,157.0
219,-8.0
220,94.0
221,92.0
222,60.0
223,90.0
224,105.0
225,172.0
226,141.0
227,121.0
228,61.0
229,61.0
230,131.0
231,127.0
232,128.0
233,137.0
234,147.0
235,146.0
236,30.0
237,96.0
238,156.0
239,106.0
240,90.0
241,143.0
242,42.0
243,42.0
244,78.0
245,75.0
246,99.0
247,86.0
248,118.0
249,133.0
250,93.0
251,35.0
252,141.0
253,51.0
254,20.0
255,146.0
256,134.0
257,111.0
258,-4.0
259,115.0
260,131.0
261,140.0
262,125.0
263,130.0
264,70.0
265,161.0
266,30.0
267,189.0
268,101.0
269,136.0
270,100.0
271,221.0
272,118.0
273,148.0
274,108.0
275,47.0
276,107.0
277,40.0
278,10.0
279,114.0
280,36.0
281,136.0
282,53.0
283,203.0
284,110.0
285,12.0
286,102.0
287,-4.0
288,101.0
289,205.0
290,127.0
291,32.0
292,84.0
293,31.0
294,10.0
295,184.0
296,205.0
297,94.0
298,131.0
299,104.0
300,142.0
301,50.0
302,146.0
303,45.0
304,137.0
305,53.0
306,60.0
307,153.0
308,50.0
309,132.0
310,162.0
311,120.0
312,0.0
313,198.0
314,31.0
315,165.0
316,41.0
317,100.0
318,115.0
319,172.0
320,95.0
321,167.0
322,72.0
323,20.0
324,131.0
325,124.0
326,75.0
327,78.0
328,81.0
329,-10.0
330,59.0
331,101.0
332,127.0
333,138.0
334,53.0
335,106.0
336,132.0
337,80.0
338,32.0
339,146.0
340,73.0
341,134.0
342,-10.0
343,168.0
344,199.0
345,21.0
346,73.0
347,42.0
348,176.0
349,142.0
350,130.0
351,167.0
352,20.0
353,68.0
354,70.0
355,-9.0
356,166.0
357,65.0
358,53.0
359,75.0
360,134.0
361,-4.0
362,110.0
363,93.0
364,106.0
365,132.0
366,20.0
367,98.0
368,63.0
369,95.0
370,82.0
371,142.0
372,100.0
373,173.0
374,70.0
