episode,return
1,110.0
2,142.0
3,112.0
4,-5.0
5,100.0
6,160.0
7,21.0
8,107.0
9,171.0
10,162.0
11,147.0
12,192.0
13,115.0
14,31.0
15,37.0
16,119.0
17,128.0
18,135.0
19,63.0
20,150.0
21,23.0
22,139.0
23,0.0
24,114.0
25,176.0
26,166.0
27,83.0
28,126.0
29,142.0
30,57.0
31,82.0
32,36.0
33,41.0
34,80.0
35,112.0
36,103.0
37,107.0
38,78.0
39,76.0
40,83.0
41,52.0
42,187.0
43,-5.0
44,10.0
45,111.0
46,138.0
47,126.0
48,31.0
49,15.0
50,42.0
51,94.0
52,107.0
53,-4.0
54,140.0
55,121.0
56,124.0
57,63.0
58,135.0
59,185.0
60,1.0
61,81.0
62,83.0
63,133.0
64,137.0
65,87.0
66,-10.0
67,71.0
68,187.0
69,140.0
70,162.0
71,97.0
72,92.0
73,50.0
74,68.0
75,146.0
76,130.0
77,204.0
78,131.0
79,123.0
80,100.0
81,121.0
82,171.0
83,60.0
84,132.0
85,76.0
86,204.0
87,111.0
88,139.0
89,35.0
90,113.0
91,100.0
92,125.0
93,177.0
94,126.0
95,163.0
96,26.0
97,72.0
98,105.0
99,98.0
100,94.0
101,-9.0
102,75.0
103,161.0
104,62.0
105,30.0
106,92.0
107,116.0
108,95.0
109,148.0
110,137.0
111,90.0
112,111.0
113,151.0
114,115.0
115,75.0
116,150.0
117,116.0
118,72.0
119,31.0
120,145.0
121,135.0
122,90.0
123,75.0
124,156.0
125,94.0
126,176.0
127,43.0
128,197.0
129,100.0
130,94.0
131,111.0
132,133.0
133,84.0
134,101.0
135,6.0
136,-15.0
137,67.0
138,185.0
139,-15.0
140,35.0
141,117.0
142,0.0
143,76.0
144,160.0
145,183.0
146,117.0
147,74.0
148,85.0
149,112.0
150,81.0
151,100.0
152,212.0
153,136.0
154,166.0
155,111.0
156,106.0
157,32.0
158,95.0
159,1.0
160,125.0
161,60.0
162,145.0
163,150.0
164,80.0
165,166.0
166,31.0
167,75.0
168,26.0
169,162.0
170,68.0
171,181.0
172,125.0
173,104.0
174,80.0
175,162.0
176,150.0
177,65.0
178,112.0
179,75.0
180,156.0
181,70.0
182,96.0
183,156.0
184,165.0
185,61.0
186,150.0
187,116.0
188,180.0
189,65.0
190,126.0
191,80.0
192,-5.0
193,21.0
194,177.0
195,110.0
196,67.0
197,140.0
198,2.0
199,98.0
200,60.0
201,126.0
202,136.0
203,61.0
204,132.0
205,171.0
206,152.0
207,93.0
208,25.0
209,5.0
210,240.0
211,66.0
212,66.0
213,171.0
214,110.0
215,31.0
216,120.0
217,93.0
218,22.0
219,-15.0
220,159.0
221,113.0
222,117.0
223,168.0
224,181.0
225,-15.0
226,66.0
227,144.0
228,166.0
229,139.0
230,-15.0
231,205.0
232,159.0
233,140.0
234,88.0
235,63.0
236,36.0
237,31.0
238,140.0
239,57.0
240,-15.0
241,53.0
242,135.0
243,160.0
244,108.0
245,132.0
246,72.0
247,30.0
248,51.0
249,176.0
250,10.0
251,71.0
252,100.0
253,5.0
254,-15.0
255,133.0
256,161.0
257,122.0
258,43.0
259,41.0
260,126.0
261,52.0
262,154.0
263,132.0
264,105.0
265,81.0
266,156.0
267,85.0
268,131.0
269,105.0
270,135.0
271,65.0
272,191.0
273,113.0
274,40.0
275,-10.0
276,173.0
277,152.0
278,158.0
279,164.0
280,53.0
281,55.0
282,55.0
283,51.0
284,61.0
285,142.0
286,88.0
287,164.0
288,119.0
289,33.0
290,74.0
291,106.0
292,129.0
293,105.0
294,6.0
295,36.0
296,56.0
297,126.0
298,40.0
299,153.0
300,70.0
301,196.0
302,163.0
303,0.0
304,36.0
305,30.0
306,134.0
307,32.0
308,32.0
309,164.0
310,38.0
311,91.0
312,42.0
313,147.0
314,58.0
315,137.0
316,32.0
317,-8.0
318,-10.0
319,38.0
320,98.0
321,160.0
322,64.0
323,63.0
324,25.0
325,74.0
326,73.0
327,103.0
328,209.0
329,115.0
330,79.0
331,71.0
332,117.0
333,198.0
334,117.0
335,158.0
336,152.0
337,56.0
338,136.0
339,88.0
340,157.0
341,52.0
342,102.0
343,42.0
344,122.0
345,167.0
346,216.0
347,94.0
348,106.0
349,168.0
350,170.0
351,50.0
352,21.0
353,103.0
354,50.0
355,165.0
356,125.0
357,154.0
358,16.0
359,159.0
360,115.0
361,177.0
362,84.0
363,-15.0
364,184.0
365,86.0
366,60.0
367,87.0
368,123.0
369,55.0
370,95.0
371,121.0
372,165.0
373,60.0
374,63.0
375,15.0
376,140.0
377,52.0
378,-10.0
379,169.0
380,180.0
381,103.0
382,40.0
383,11.0
384,35.0
385,103.0
386,143.0
387,100.0
388,86.0
389,90.0
390,70.0
391,2.0
392,173.0
393,31.0
394,46.0
395,36.0
396,30.0
397,214.0
398,144.0
399,92.0
400,98.0
401,91.0
402,100.0
403,169.0
404,95.0
405,163.0
406,157.0
407,71.0
408,160.0
409,135.0
410,22.0
411,90.0
412,50.0
413,115.0
414,157.0
415,127.0
416,44.0
417,61.0
418,137.0
419,161.0
420,154.0
421,20.0
422,66.0
423,56.0
424,90.0
425,103.0
426,110.0
427,45.0
428,172.0
429,118.0
430,20.0
431,79.0
432,96.0
433,56.0
434,75.0
435,97.0
436,103.0
437,160.0
438,72.0
439,110.0
440,121.0
441,163.0
