episode,return
1,131.0
2,183.0
3,83.0
4,60.0
5,167.0
6,118.0
7,42.0
8,125.0
9,35.0
10,130.0
11,206.0
12,142.0
13,68.0
14,90.0
15,91.0
16,120.0
17,167.0
18,112.0
19,66.0
20,103.0
21,61.0
22,102.0
23,133.0
24,102.0
25,116.0
26,150.0
27,109.0
28,128.0
29,167.0
30,205.0
31,143.0
32,141.0
33,-10.0
34,102.0
35,102.0
36,139.0
37,192.0
38,177.0
39,99.0
40,115.0
41,41.0
42,127.0
43,211.0
44,174.0
45,21.0
46,46.0
47,108.0
48,-10.0
49,86.0
50,70.0
51,147.0
52,161.0
53,106.0
54,22.0
55,137.0
56,133.0
57,180.0
58,138.0
59,40.0
60,187.0
61,-5.0
62,32.0
63,67.0
64,-4.0
65,82.0
66,73.0
67,122.0
68,61.0
69,0.0
70,27.0
71,113.0
72,146.0
73,71.0
74,115.0
75,87.0
76,61.0
77,90.0
78,140.0
79,71.0
80,141.0
81,13.0
82,40.0
83,93.0
84,104.0
85,68.0
86,171.0
87,35.0
88,132.0
89,174.0
90,106.0
91,165.0
92,41.0
93,0.0
94,84.0
95,142.0
96,97.0
97,70.0
98,40.0
99,157.0
100,40.0
101,112.0
102,-15.0
103,174.0
104,40.0
105,138.0
106,125.0
107,41.0
108,130.0
109,66.0
110,140.0
111,91.0
112,-15.0
113,6.0
114,129.0
115,162.0
116,111.0
117,-5.0
118,145.0
119,45.0
120,79.0
121,160.0
122,101.0
123,192.0
124,130.0
125,82.0
126,45.0
127,138.0
128,68.0
129,-15.0
130,60.0
131,174.0
132,173.0
133,33.0
134,134.0
135,143.0
136,12.0
137,84.0
138,172.0
139,110.0
140,22.0
141,131.0
142,84.0
143,37.0
144,57.0
145,15.0
146,51.0
147,102.0
148,108.0
149,27.0
150,82.0
151,161.0
152,133.0
153,56.0
154,223.0
155,42.0
156,10.0
157,50.0
158,107.0
159,20.0
160,165.0
161,138.0
162,115.0
163,22.0
164,-15.0
165,126.0
166,42.0
167,92.0
168,-10.0
169,71.0
170,133.0
171,10.0
172,35.0
173,101.0
174,55.0
175,66.0
176,71.0
177,147.0
178,134.0
179,42.0
180,113.0
181,77.0
182,63.0
183,82.0
184,60.0
185,11.0
186,61.0
187,60.0
188,40.0
189,37.0
190,160.0
191,74.0
192,84.0
193,129.0
194,57.0
195,126.0
196,141.0
197,127.0
198,108.0
199,140.0
200,138.0
201,101.0
202,-10.0
203,176.0
204,1.0
205,32.0
206,-15.0
207,128.0
208,58.0
209,110.0
210,155.0
211,-10.0
212,10.0
213,161.0
214,107.0
215,132.0
216,54.0
217,129.0
218,78.0
219,81.0
220,160.0
221,220.0
222,73.0
223,164.0
224,120.0
225,25.0
226,175.0
227,116.0
228,132.0
229,92.0
230,178.0
231,20.0
232,170.0
233,-4.0
234,187.0
235,60.0
236,114.0
237,21.0
238,161.0
239,125.0
240,113.0
241,129.0
242,75.0
243,74.0
244,-15.0
245,157.0
246,85.0
247,176.0
248,111.0
249,21.0
250,173.0
251,111.0
252,25.0
253,96.0
254,130.0
255,83.0
256,174.0
257,135.0
258,148.0
259,74.0
260,84.0
261,34.0
262,44.0
263,102.0
264,-9.0
265,88.0
266,151.0
267,111.0
268,165.0
269,95.0
270,131.0
271,66.0
272,217.0
273,131.0
274,171.0
275,90.0
276,113.0
277,91.0
278,85.0
279,125.0
280,110.0
281,114.0
282,83.0
283,169.0
284,112.0
285,141.0
286,98.0
287,180.0
288,-15.0
289,120.0
290,60.0
291,65.0
292,133.0
293,62.0
294,141.0
295,25.0
296,167.0
297,46.0
298,127.0
299,146.0
300,146.0
301,61.0
302,136.0
303,98.0
304,82.0
305,81.0
306,30.0
307,187.0
308,125.0
309,87.0
310,-15.0
311,82.0
312,120.0
313,128.0
314,91.0
315,161.0
316,22.0
317,55.0
318,90.0
319,26.0
320,210.0
321,131.0
322,57.0
323,51.0
324,98.0
325,127.0
326,78.0
327,137.0
328,130.0
329,102.0
330,127.0
331,122.0
332,10.0
333,64.0
334,91.0
335,186.0
336,98.0
337,137.0
338,166.0
339,158.0
340,31.0
341,20.0
342,96.0
343,116.0
344,91.0
345,0.0
346,-10.0
347,40.0
348,190.0
349,148.0
350,169.0
351,102.0
352,128.0
353,115.0
354,150.0
355,117.0
356,53.0
357,20.0
358,122.0
359,144.0
360,69.0
361,165.0
362,162.0
363,41.0
364,105.0
365,5.0
366,127.0
367,169.0
368,-9.0
369,190.0
370,96.0
371,171.0
372,178.0
373,202.0
374,70.0
375,61.0
376,60.0
377,-15.0
378,104.0
379,113.0
380,162.0
381,97.0
382,131.0
383,138.0
384,40.0
385,17.0
386,25.0
387,0.0
388,6.0
389,151.0
390,94.0
391,31.0
392,127.0
393,142.0
394,177.0
395,154.0
396,136.0
397,172.0
398,76.0
399,102.0
400,-10.0
401,61.0
402,115.0
403,-14.0
404,130.0
405,-15.0
406,106.0
407,0.0
408,136.0
409,155.0
410,130.0
411,103.0
412,87.0
413,75.0
414,164.0
415,117.0
416,50.0
417,5.0
418,116.0
419,131.0
420,147.0
421,92.0
422,135.0
423,142.0
424,167.0
425,135.0
426,156.0
427,132.0
428,155.0
429,55.0
430,55.0
431,134.0
432,91.0
433,22.0
434,-14.0
435,71.0
436,21.0
437,113.0
438,39.0
439,126.0
440,156.0
441,131.0
442,112.0
443,98.0
444,213.0
445,134.0
446,84.0
447,130.0
448,91.0
449,110.0
450,121.0
451,90.0
452,91.0
453,204.0
454,124.0
455,21.0
456,161.0
457,160.0
458,25.0
459,160.0
460,70.0
461,213.0
462,30.0
463,208.0
464,54.0
465,126.0
466,180.0
467,188.0
468,124.0
469,107.0
470,130.0
471,212.0
472,100.0
473,73.0
474,61.0
475,-5.0
476,90.0
477,191.0
478,188.0
479,152.0
480,30.0
481,5.0
482,96.0
483,153.0
484,67.0
485,137.0
486,138.0
487,101.0
488,177.0
489,173.0
490,67.0
491,103.0
492,96.0
493,105.0
494,40.0
495,90.0
496,62.0
497,182.0
498,176.0
499,139.0
500,164.0
501,72.0
502,116.0
503,196.0
504,96.0
505,149.0
506,106.0
507,191.0
508,155.0
509,77.0
510,92.0
511,-10.0
512,20.0
513,128.0
514,76.0
515,1.0
516,109.0
517,106.0
518,133.0
519,95.0
520,-10.0
521,120.0
522,142.0
523,150.0
524,59.0
525,70.0
526,189.0
527,102.0
528,100.0
529,44.0
530,63.0
531,74.0
532,141.0
533,55.0
534,111.0
535,40.0
536,75.0
537,92.0
538,212.0
539,85.0
540,123.0
541,-15.0
542,71.0
543,51.0
544,96.0
545,150.0
546,99.0
547,183.0
548,151.0
549,12.0
550,156.0
551,30.0
552,232.0
553,-10.0
554,132.0
555,212.0
556,65.0
557,129.0
558,119.0
559,161.0
560,127.0
561,184.0
562,112.0
563,61.0
564,22.0
565,6.0
566,100.0
567,109.0
568,110.0
569,128.0
570,95.0
571,61.0
572,57.0
573,108.0
574,155.0
575,126.0
576,126.0
577,131.0
578,122.0
579,51.0
580,71.0
581,26.0
582,122.0
583,236.0
584,71.0
585,58.0
586,82.0
587,104.0
588,120.0
589,121.0
590,153.0
591,80.0
592,50.0
593,195.0
594,72.0
595,176.0
596,-15.0
597,116.0
598,189.0
599,91.0
600,127.0
601,11.0
602,161.0
603,55.0
604,6.0
605,16.0
606,145.0
607,186.0
608,65.0
609,124.0
610,180.0
611,151.0
612,43.0
613,128.0
614,101.0
615,135.0
616,125.0
617,97.0
618,120.0
619,187.0
620,80.0
621,128.0
622,61.0
623,173.0
624,87.0
625,32.0
626,101.0
627,151.0
628,53.0
629,202.0
630,156.0
631,212.0
632,106.0
633,-15.0
634,124.0
635,57.0
636,0.0
637,-15.0
638,101.0
639,61.0
640,172.0
641,187.0
642,121.0
643,186.0
644,120.0
645,104.0
646,232.0
647,153.0
648,103.0
649,133.0
650,129.0
651,110.0
652,95.0
653,69.0
654,141.0
655,115.0
656,61.0
657,60.0
658,187.0
659,175.0
660,63.0
661,137.0
662,184.0
663,90.0
664,176.0
665,111.0
666,155.0
667,112.0
668,141.0
669,110.0
670,-9.0
671,52.0
672,-10.0
673,151.0
674,176.0
675,82.0
676,63.0
677,236.0
678,95.0
679,146.0
680,151.0
681,141.0
682,40.0
683,103.0
684,102.0
685,205.0
686,115.0
687,136.0
688,140.0
689,180.0
690,94.0
691,164.0
692,198.0
693,147.0
694,130.0
695,156.0
696,81.0
697,21.0
698,123.0
699,160.0
700,25.0
701,103.0
702,55.0
703,92.0
704,211.0
705,71.0
706,237.0
707,140.0
708,-15.0
709,63.0
710,165.0
711,127.0
712,12.0
713,150.0
714,238.0
715,157.0
716,105.0
717,143.0
718,137.0
719,132.0
720,-15.0
721,164.0
722,178.0
723,176.0
724,99.0
725,92.0
726,120.0
727,11.0
728,71.0
729,139.0
730,70.0
731,46.0
732,125.0
733,112.0
734,94.0
735,200.0
736,63.0
737,196.0
738,155.0
739,-4.0
740,37.0
741,73.0
742,97.0
743,140.0
744,135.0
745,77.0
746,191.0
747,91.0
748,79.0
749,71.0
750,-3.0
751,145.0
752,124.0
753,113.0
754,142.0
755,137.0
756,99.0
757,125.0
758,83.0
759,10.0
760,90.0
761,191.0
762,61.0
763,1.0
764,58.0
765,12.0
766,65.0
767,83.0
768,92.0
769,86.0
770,62.0
771,46.0
772,51.0
773,29.0
774,100.0
775,120.0
776,107.0
777,10.0
778,46.0
779,115.0
780,55.0
781,111.0
782,55.0
783,70.0
784,102.0
785,-15.0
786,147.0
787,41.0
788,160.0
789,145.0
790,41.0
791,112.0
792,136.0
793,5.0
794,228.0
795,41.0
796,137.0
797,78.0
798,198.0
799,144.0
800,58.0
801,137.0
802,76.0
803,126.0
804,170.0
805,111.0
806,131.0
807,122.0
808,147.0
809,-15.0
810,137.0
811,62.0
812,207.0
813,164.0
814,126.0
815,43.0
816,144.0
817,-15.0
818,59.0
819,133.0
820,148.0
821,1.0
822,83.0
823,118.0
824,-15.0
825,122.0
826,130.0
827,106.0
828,173.0
829,55.0
830,119.0
831,117.0
832,41.0
833,82.0
834,6.0
835,133.0
836,102.0
837,128.0
838,52.0
839,131.0
840,26.0
841,93.0
842,140.0
843,69.0
844,21.0
845,70.0
846,66.0
847,134.0
848,133.0
849,36.0
850,0.0
851,97.0
852,80.0
853,177.0
854,169.0
855,28.0
856,68.0
857,70.0
858,86.0
859,115.0
860,56.0
861,131.0
862,103.0
863,169.0
864,75.0
865,112.0
866,128.0
867,-10.0
868,39.0
869,92.0
870,180.0
871,193.0
872,55.0
873,130.0
874,155.0
875,-5.0
876,35.0
877,198.0
878,90.0
879,165.0
880,101.0
881,31.0
882,179.0
883,93.0
884,42.0
885,60.0
886,135.0
887,134.0
888,75.0
889,165.0
890,81.0
891,142.0
892,166.0
893,62.0
894,192.0
895,0.0
896,160.0
897,-10.0
898,126.0
899,96.0
900,71.0
901,145.0
902,133.0
903,174.0
904,112.0
905,152.0
906,26.0
907,132.0
908,123.0
909,125.0
910,195.0
911,128.0
912,60.0
913,147.0
914,130.0
915,150.0
916,68.0
917,166.0
918,67.0
919,36.0
920,97.0
921,104.0
922,37.0
923,169.0
924,142.0
925,151.0
926,145.0
927,132.0
928,142.0
929,36.0
930,183.0
931,45.0
932,32.0
933,176.0
934,142.0
935,87.0
936,159.0
937,146.0
938,131.0
939,55.0
940,85.0
941,5.0
942,158.0
943,31.0
944,169.0
945,123.0
946,131.0
947,203.0
948,65.0
949,57.0
950,132.0
951,150.0
952,96.0
953,31.0
954,142.0
955,146.0
956,168.0
957,85.0
958,122.0
959,26.0
960,118.0
961,87.0
962,169.0
963,131.0
964,111.0
965,70.0
966,116.0
967,92.0
968,65.0
969,113.0
970,144.0
971,146.0
972,36.0
973,100.0
974,145.0
975,148.0
976,174.0
977,194.0
978,41.0
979,26.0
980,200.0
981,64.0
982,65.0
983,1.0
984,125.0
985,129.0
986,82.0
987,125.0
988,152.0
989,67.0
990,105.0
991,26.0
992,116.0
993,57.0
994,111.0
995,125.0
996,154.0
997,174.0
998,-14.0
999,66.0
1000,80.0
1001,25.0
1002,43.0
1003,127.0
1004,114.0
1005,182.0
1006,139.0
1007,106.0
1008,125.0
1009,96.0
1010,35.0
1011,148.0
1012,170.0
1013,5.0
1014,91.0
1015,-15.0
1016,141.0
1017,96.0
1018,151.0
1019,-5.0
1020,160.0
1021,95.0
1022,97.0
1023,126.0
1024,172.0
1025,77.0
1026,110.0
1027,91.0
1028,155.0
1029,26.0
1030,135.0
1031,32.0
1032,168.0
1033,136.0
1034,55.0
1035,57.0
1036,20.0
1037,-10.0
1038,5.0
1039,138.0
1040,51.0
1041,214.0
1042,-15.0
1043,85.0
1044,-10.0
1045,161.0
1046,26.0
1047,20.0
1048,6.0
1049,106.0
1050,-15.0
1051,175.0
1052,45.0
1053,197.0
1054,-15.0
1055,141.0
1056,58.0
1057,114.0
1058,62.0
1059,20.0
1060,140.0
1061,182.0
1062,58.0
1063,-10.0
1064,145.0
1065,150.0
1066,155.0
1067,91.0
1068,182.0
1069,66.0
1070,80.0
1071,179.0
1072,117.0
1073,135.0
1074,143.0
1075,116.0
1076,119.0
1077,114.0
1078,112.0
1079,58.0
1080,67.0
1081,41.0
1082,165.0
1083,38.0
1084,62.0
1085,21.0
1086,-10.0
1087,20.0
1088,133.0
1089,125.0
1090,76.0
1091,160.0
1092,-14.0
1093,95.0
1094,165.0
1095,163.0
1096,56.0
1097,163.0
1098,25.0
1099,130.0
1100,115.0
1101,78.0
1102,100.0
1103,114.0
1104,121.0
1105,125.0
1106,95.0
1107,95.0
1108,97.0
1109,42.0
1110,34.0
1111,157.0
1112,146.0
1113,90.0
1114,25.0
1115,180.0
1116,86.0
1117,122.0
1118,129.0
1119,122.0
1120,121.0
1121,184.0
1122,153.0
1123,36.0
1124,95.0
1125,3.0
1126,10.0
1127,118.0
1128,152.0
1129,136.0
1130,151.0
1131,128.0
1132,131.0
1133,66.0
1134,147.0
1135,139.0
1136,40.0
1137,132.0
1138,132.0
1139,98.0
1140,174.0
1141,16.0
1142,131.0
1143,111.0
1144,95.0
1145,149.0
1146,76.0
1147,40.0
1148,92.0
1149,142.0
1150,146.0
1151,127.0
