episode,return
1,-15.0
2,-14.0
3,-9.0
4,-15.0
5,-15.0
6,-15.0
7,-15.0
8,-15.0
9,-15.0
10,-15.0
11,-15.0
12,-15.0
13,-15.0
14,-10.0
15,-10.0
16,-10.0
17,-10.0
18,-10.0
19,-15.0
20,-10.0
21,-14.0
22,-15.0
23,-10.0
24,-9.0
25,-10.0
26,-10.0
27,-10.0
28,-9.0
29,-10.0
30,-9.0
31,-15.0
32,-9.0
33,-10.0
34,-10.0
35,-15.0
36,-15.0
37,-15.0
38,-10.0
39,-10.0
40,-15.0
41,-9.0
42,-10.0
43,-9.0
44,-10.0
45,-5.0
46,-10.0
47,-15.0
48,-15.0
49,-10.0
50,-5.0
51,-5.0
52,-15.0
53,-10.0
54,-15.0
55,0.0
56,-10.0
57,22.0
58,-15.0
59,-15.0
60,-9.0
61,-10.0
62,-9.0
63,-5.0
64,-4.0
65,-15.0
66,-5.0
67,-15.0
68,-15.0
69,7.0
70,-5.0
71,15.0
72,-9.0
73,-9.0
74,-15.0
75,5.0
76,15.0
77,0.0
78,-5.0
79,-5.0
80,-5.0
81,-14.0
82,20.0
83,11.0
84,-10.0
85,-15.0
86,-5.0
87,-15.0
88,-10.0
89,-15.0
90,-10.0
91,0.0
92,-5.0
93,-3.0
94,-15.0
95,-5.0
96,-10.0
97,-4.0
98,-15.0
99,-10.0
100,-10.0
101,-4.0
102,-14.0
103,-14.0
104,-10.0
105,-15.0
106,-14.0
107,0.0
108,-10.0
109,-5.0
110,-10.0
111,-5.0
112,5.0
113,0.0
114,-10.0
115,-4.0
116,-10.0
117,-10.0
118,-5.0
119,-10.0
120,-4.0
121,-10.0
122,20.0
123,-9.0
124,-4.0
125,-15.0
126,-10.0
127,-5.0
128,-9.0
129,-15.0
130,-15.0
131,-5.0
132,-10.0
133,-15.0
134,10.0
135,-5.0
136,20.0
137,-15.0
138,-14.0
139,5.0
140,-10.0
141,56.0
142,-10.0
143,-14.0
144,3.0
145,-14.0
146,-15.0
147,1.0
148,-10.0
149,-15.0
150,10.0
151,-15.0
152,-5.0
153,0.0
154,-15.0
155,1.0
156,-15.0
157,-5.0
158,-9.0
159,-5.0
160,-15.0
161,-9.0
162,-10.0
163,-10.0
164,0.0
165,-10.0
166,6.0
167,15.0
168,-15.0
169,12.0
170,-10.0
171,-14.0
172,5.0
173,-15.0
174,-14.0
175,-15.0
176,-10.0
177,5.0
178,-5.0
179,-9.0
180,16.0
181,-8.0
182,5.0
183,-15.0
184,5.0
185,-15.0
186,-10.0
187,-10.0
188,-9.0
189,-4.0
190,-14.0
191,0.0
192,13.0
193,-4.0
194,-14.0
195,-10.0
196,-10.0
197,-5.0
198,36.0
199,-10.0
200,-8.0
201,-9.0
202,-15.0
203,-5.0
204,-15.0
205,20.0
206,0.0
207,-5.0
208,-5.0
209,-10.0
