episode,return
1,-15.0
2,-15.0
3,-15.0
4,-10.0
5,-15.0
6,-10.0
7,-10.0
8,-10.0
9,-9.0
10,10.0
11,-10.0
12,-5.0
13,-5.0
14,-9.0
15,-15.0
16,5.0
17,-15.0
18,-10.0
19,-14.0
20,-15.0
21,-10.0
22,-10.0
23,-15.0
24,-4.0
25,-10.0
26,-9.0
27,-5.0
28,6.0
29,-15.0
30,-8.0
31,-8.0
32,-15.0
33,-15.0
34,0.0
35,-15.0
36,-10.0
37,-10.0
38,-8.0
39,-10.0
40,1.0
41,11.0
42,-10.0
43,-9.0
44,-15.0
45,0.0
46,-10.0
47,-4.0
48,-15.0
49,-9.0
50,-15.0
51,-10.0
52,-15.0
53,-3.0
54,-10.0
55,-3.0
56,-10.0
57,-15.0
58,-4.0
59,-15.0
60,-10.0
61,-10.0
62,-10.0
63,-10.0
64,-15.0
65,-9.0
66,-10.0
67,1.0
68,-10.0
69,-10.0
70,-10.0
71,-5.0
72,-5.0
73,0.0
74,10.0
75,0.0
76,-10.0
77,-10.0
78,-5.0
79,-4.0
80,-10.0
81,0.0
82,-10.0
83,-9.0
84,-9.0
85,-10.0
86,-10.0
87,-5.0
88,-10.0
89,0.0
90,1.0
91,-4.0
92,-15.0
93,-15.0
94,-10.0
95,-9.0
96,-14.0
97,-10.0
98,-10.0
99,-15.0
100,-10.0
101,-9.0
102,-9.0
103,-9.0
104,-15.0
105,-4.0
106,-15.0
107,-9.0
108,-5.0
109,-5.0
110,-15.0
111,-10.0
112,-9.0
113,0.0
114,-9.0
115,15.0
116,-8.0
117,-10.0
118,-9.0
119,-10.0
120,-15.0
121,-10.0
122,-15.0
123,-10.0
124,-14.0
125,-8.0
126,-15.0
127,-15.0
128,-10.0
129,-10.0
130,-15.0
131,-15.0
132,-9.0
133,-9.0
134,12.0
135,-15.0
136,20.0
137,-5.0
138,22.0
139,-10.0
140,-15.0
141,-9.0
142,1.0
143,5.0
144,-8.0
145,-4.0
146,-10.0
147,-9.0
148,41.0
149,7.0
150,-15.0
151,-15.0
152,-10.0
