episode,return
1,-15.0
2,-15.0
3,-15.0
4,-10.0
5,-10.0
6,6.0
7,0.0
8,-10.0
9,-5.0
10,-10.0
11,-5.0
12,-4.0
13,-10.0
14,1.0
15,-10.0
16,-15.0
17,21.0
18,-5.0
19,-5.0
20,-5.0
21,-15.0
22,-5.0
23,-4.0
24,-15.0
25,-10.0
26,-15.0
27,-10.0
28,-9.0
29,-5.0
30,-10.0
31,-10.0
32,-9.0
33,-5.0
34,-10.0
35,-14.0
36,-10.0
37,-10.0
38,-10.0
39,-14.0
40,-10.0
41,-9.0
42,-10.0
43,-15.0
44,-10.0
45,-15.0
46,-9.0
47,-4.0
48,-10.0
49,-8.0
50,-10.0
51,0.0
52,-10.0
53,-10.0
54,-15.0
55,-10.0
56,-15.0
57,-10.0
58,7.0
59,0.0
60,-15.0
61,0.0
62,0.0
63,0.0
64,-14.0
65,-9.0
66,-15.0
67,-5.0
68,-5.0
69,-15.0
70,0.0
71,-10.0
72,-14.0
73,-8.0
74,1.0
75,-15.0
76,-5.0
77,-10.0
78,-3.0
79,-15.0
80,-5.0
81,-15.0
82,10.0
83,-15.0
84,-10.0
85,-10.0
86,-9.0
87,-10.0
88,-10.0
89,-3.0
90,-9.0
91,-9.0
92,-5.0
93,11.0
94,-15.0
95,-15.0
96,-10.0
97,-15.0
98,-14.0
99,10.0
100,-4.0
101,-15.0
102,-5.0
103,-10.0
104,-15.0
105,-9.0
106,-14.0
107,-10.0
108,-9.0
109,31.0
110,16.0
111,-10.0
112,-15.0
113,-10.0
114,-9.0
115,-15.0
116,-9.0
117,-10.0
118,-9.0
119,-10.0
120,-15.0
121,-14.0
122,-15.0
123,-10.0
124,-10.0
125,-10.0
126,6.0
127,-10.0
128,-15.0
129,-9.0
130,-15.0
131,11.0
132,-10.0
133,-10.0
134,22.0
135,-10.0
136,-15.0
137,-9.0
138,-15.0
139,-5.0
140,-15.0
141,-5.0
142,-10.0
143,-14.0
144,7.0
145,-10.0
146,-5.0
147,6.0
148,-3.0
149,-5.0
150,-9.0
151,-10.0
152,-10.0
