episode,return
1,-14.0
2,-10.0
3,-10.0
4,-9.0
5,-10.0
6,-15.0
7,-15.0
8,-15.0
9,-15.0
10,-15.0
11,-15.0
12,-15.0
13,-15.0
14,-15.0
15,-10.0
16,-15.0
17,-10.0
18,-3.0
19,-14.0
20,-15.0
21,-10.0
22,0.0
23,-10.0
24,-15.0
25,-15.0
26,-10.0
27,-10.0
28,-10.0
29,0.0
30,-5.0
31,-10.0
32,-5.0
33,-9.0
34,1.0
35,-15.0
36,-15.0
37,-9.0
38,-10.0
39,-10.0
40,-10.0
41,-15.0
42,-9.0
43,-9.0
44,-5.0
45,-3.0
46,-10.0
47,-10.0
48,-14.0
49,-3.0
50,-5.0
51,-10.0
52,-15.0
53,-15.0
54,-10.0
55,-10.0
56,0.0
57,-5.0
58,-10.0
59,-15.0
60,-9.0
61,-10.0
62,-10.0
63,-5.0
64,-15.0
65,-10.0
66,-10.0
67,-5.0
68,-9.0
69,-4.0
70,-9.0
71,-10.0
72,-14.0
73,-10.0
74,-9.0
75,-9.0
76,-10.0
77,-14.0
78,-10.0
79,-10.0
80,-9.0
81,-10.0
82,-10.0
83,-15.0
84,-9.0
85,-15.0
86,-9.0
87,-15.0
88,-10.0
89,-9.0
90,-15.0
91,-15.0
92,-10.0
93,-10.0
94,-9.0
95,-9.0
96,-10.0
97,-14.0
98,-15.0
99,-5.0
100,-14.0
101,-15.0
102,-10.0
103,-10.0
104,11.0
105,1.0
106,-10.0
107,-10.0
108,10.0
109,-10.0
110,-15.0
111,1.0
112,-9.0
113,-4.0
114,-15.0
115,-15.0
116,-10.0
117,-5.0
118,1.0
119,-9.0
120,-15.0
121,-15.0
122,-10.0
123,-4.0
124,-10.0
125,-14.0
126,-5.0
127,-14.0
128,0.0
129,-5.0
130,2.0
131,-4.0
132,11.0
133,15.0
134,-15.0
135,-4.0
136,0.0
137,-15.0
138,-9.0
139,-10.0
140,-15.0
141,20.0
142,-9.0
143,-15.0
144,-3.0
145,-5.0
146,-5.0
147,-10.0
148,-5.0
149,-4.0
150,-15.0
151,26.0
152,25.0
153,-10.0
154,11.0
155,-15.0
156,-5.0
157,10.0
158,-10.0
159,7.0
160,1.0
161,-4.0
162,-15.0
163,10.0
164,-10.0
165,-5.0
166,36.0
167,25.0
168,-15.0
169,0.0
170,0.0
171,0.0
172,-15.0
173,-10.0
174,5.0
175,-9.0
176,0.0
177,-5.0
178,-15.0
179,-10.0
180,-10.0
181,-9.0
182,-14.0
183,-14.0
184,-4.0
185,-9.0
186,0.0
187,-15.0
188,-15.0
189,2.0
190,-9.0
191,0.0
192,-10.0
193,-10.0
194,-9.0
195,55.0
196,-9.0
197,-4.0
198,-10.0
199,10.0
200,-14.0
201,5.0
202,-9.0
203,-5.0
204,11.0
205,-10.0
206,-15.0
207,-9.0
208,-10.0
209,0.0
210,0.0
211,-4.0
212,-4.0
213,55.0
214,-10.0
215,10.0
216,-10.0
217,-9.0
218,-9.0
219,-14.0
220,-15.0
221,25.0
222,-15.0
223,-5.0
224,-10.0
225,-15.0
226,-10.0
227,10.0
228,-10.0
229,-10.0
230,-10.0
231,15.0
232,-5.0
233,-9.0
234,-14.0
235,-15.0
236,-5.0
237,-15.0
238,-15.0
239,6.0
240,-10.0
241,0.0
242,-5.0
243,-4.0
244,-5.0
245,-5.0
246,0.0
247,-10.0
248,-10.0
249,-10.0
250,-15.0
251,-5.0
252,-15.0
253,-10.0
254,-5.0
255,5.0
256,-10.0
257,-10.0
258,6.0
259,-10.0
260,-10.0
261,-9.0
262,-14.0
263,-15.0
264,-10.0
265,-4.0
266,-9.0
267,-9.0
268,61.0
269,-15.0
270,-5.0
271,10.0
272,20.0
273,20.0
274,0.0
275,-14.0
276,20.0
277,-4.0
278,1.0
279,15.0
280,-15.0
281,-5.0
282,-9.0
283,-14.0
284,-15.0
285,-10.0
286,-10.0
287,-5.0
288,56.0
289,-5.0
290,15.0
291,-5.0
292,10.0
293,-15.0
294,-10.0
295,-9.0
296,-15.0
297,-10.0
298,-15.0
299,-15.0
300,-15.0
301,-15.0
302,-9.0
303,-10.0
304,-10.0
305,-10.0
306,-14.0
307,-10.0
308,-10.0
309,0.0
310,-15.0
311,-14.0
312,-5.0
313,1.0
314,-10.0
315,-9.0
316,-14.0
317,-4.0
318,-10.0
319,-9.0
320,-9.0
321,-4.0
322,-15.0
323,-15.0
324,-10.0
325,-10.0
326,-9.0
327,-10.0
328,-8.0
329,1.0
330,-10.0
331,-5.0
332,5.0
333,16.0
334,0.0
335,-10.0
336,-10.0
337,-10.0
338,-10.0
339,-15.0
340,0.0
341,-9.0
342,-10.0
343,-10.0
344,0.0
345,-15.0
346,-15.0
347,-10.0
348,-10.0
349,0.0
350,-9.0
351,-15.0
352,-15.0
353,5.0
354,-10.0
355,10.0
356,-10.0
