episode,return
1,-15.0
2,-9.0
3,-9.0
4,-10.0
5,-15.0
6,-15.0
7,-15.0
8,-15.0
9,-15.0
10,-15.0
11,-15.0
12,-15.0
13,-15.0
14,-15.0
15,-15.0
16,-15.0
17,-15.0
18,-15.0
19,-10.0
20,-10.0
21,-10.0
22,-15.0
23,-10.0
24,-10.0
25,-10.0
26,-10.0
27,-10.0
28,-15.0
29,5.0
30,0.0
31,-15.0
32,1.0
33,-5.0
34,-15.0
35,11.0
36,-10.0
37,1.0
38,0.0
39,25.0
40,0.0
41,1.0
42,-10.0
43,-9.0
44,-14.0
45,-10.0
46,16.0
47,-10.0
48,6.0
49,-5.0
50,15.0
51,-10.0
52,-5.0
53,-10.0
54,-14.0
55,-9.0
56,7.0
57,-4.0
58,-3.0
59,-15.0
60,-4.0
61,10.0
62,6.0
63,1.0
64,-8.0
65,58.0
66,18.0
67,15.0
68,-15.0
69,8.0
70,-5.0
71,-9.0
72,-10.0
73,-15.0
74,-10.0
75,-10.0
76,-15.0
77,-9.0
78,28.0
79,-10.0
80,-9.0
81,22.0
82,26.0
83,-14.0
84,-5.0
85,18.0
86,0.0
87,21.0
88,-15.0
89,-10.0
90,-15.0
91,25.0
92,-4.0
93,0.0
94,-10.0
95,57.0
96,10.0
97,0.0
98,20.0
99,-15.0
100,-10.0
101,-4.0
102,39.0
103,13.0
104,5.0
105,26.0
106,-5.0
107,6.0
108,12.0
109,-9.0
110,-9.0
111,0.0
112,-5.0
113,-3.0
114,1.0
115,3.0
116,16.0
117,5.0
118,-10.0
119,57.0
120,1.0
121,20.0
122,-4.0
123,6.0
124,25.0
125,-15.0
126,15.0
127,3.0
128,-15.0
129,0.0
130,20.0
131,10.0
132,-3.0
133,-15.0
134,1.0
135,-15.0
136,-15.0
137,-10.0
138,-5.0
139,18.0
140,-5.0
141,21.0
142,-10.0
143,0.0
144,66.0
145,-10.0
146,18.0
147,-3.0
148,16.0
149,6.0
150,5.0
151,-14.0
152,-9.0
153,-15.0
154,5.0
155,-5.0
156,-14.0
157,-15.0
158,55.0
159,-10.0
160,38.0
161,12.0
162,-5.0
163,-15.0
164,39.0
165,23.0
166,-10.0
167,1.0
168,-5.0
169,5.0
170,1.0
171,-5.0
172,-8.0
173,25.0
174,53.0
175,-4.0
176,32.0
177,-15.0
178,8.0
179,0.0
180,0.0
181,-9.0
182,25.0
183,36.0
184,0.0
185,20.0
186,7.0
187,27.0
188,-14.0
189,54.0
190,30.0
191,-10.0
192,-15.0
193,-5.0
194,-15.0
195,-5.0
196,30.0
197,11.0
198,42.0
199,10.0
200,-9.0
201,-5.0
202,5.0
203,21.0
204,-10.0
205,-5.0
206,1.0
207,31.0
208,-15.0
209,1.0
210,15.0
211,0.0
212,-10.0
213,10.0
214,41.0
215,-9.0
216,-5.0
217,0.0
218,12.0
219,1.0
220,-15.0
221,-9.0
222,34.0
223,-15.0
224,-10.0
225,0.0
226,-5.0
227,2.0
228,1.0
229,41.0
230,27.0
231,6.0
232,20.0
233,45.0
234,10.0
235,70.0
236,-10.0
237,-4.0
238,25.0
239,-15.0
240,-15.0
241,0.0
242,-15.0
243,-15.0
244,-4.0
245,5.0
246,-10.0
247,2.0
248,21.0
249,-10.0
250,0.0
251,15.0
252,0.0
253,7.0
254,5.0
255,11.0
256,68.0
257,-5.0
258,36.0
259,53.0
260,5.0
261,21.0
262,11.0
263,10.0
264,-15.0
265,5.0
266,11.0
267,20.0
268,40.0
269,-15.0
270,53.0
271,-5.0
272,20.0
273,22.0
274,22.0
275,5.0
276,-9.0
277,23.0
278,-15.0
279,-14.0
280,22.0
281,0.0
282,-5.0
283,-10.0
284,-14.0
285,-14.0
286,10.0
287,21.0
288,-9.0
289,5.0
290,-10.0
291,35.0
292,-5.0
293,6.0
294,-15.0
295,35.0
296,10.0
297,22.0
298,62.0
299,1.0
300,32.0
301,-3.0
302,15.0
303,20.0
304,-15.0
305,-5.0
306,0.0
307,-10.0
308,-5.0
309,-5.0
310,54.0
311,-9.0
312,-9.0
313,-4.0
314,67.0
315,-15.0
316,25.0
317,5.0
318,-3.0
319,10.0
320,-10.0
321,-10.0
322,23.0
323,-15.0
324,6.0
325,-5.0
326,17.0
327,7.0
328,-15.0
329,-15.0
330,0.0
331,1.0
332,11.0
333,-10.0
334,18.0
335,-10.0
336,-9.0
337,30.0
338,-15.0
339,-4.0
340,-4.0
341,0.0
342,16.0
343,6.0
344,-15.0
345,-9.0
346,-10.0
347,0.0
348,36.0
349,11.0
350,10.0
351,11.0
352,6.0
353,-3.0
354,14.0
355,-10.0
356,30.0
357,-10.0
358,6.0
359,-5.0
360,-9.0
361,-10.0
362,5.0
363,32.0
364,0.0
365,-10.0
366,1.0
367,-10.0
368,-5.0
369,10.0
370,20.0
371,10.0
372,11.0
373,45.0
374,32.0
375,-9.0
376,0.0
377,25.0
378,41.0
379,23.0
380,-15.0
381,0.0
382,-9.0
383,-15.0
384,5.0
385,5.0
386,12.0
387,-10.0
388,0.0
389,0.0
390,50.0
391,1.0
392,-5.0
393,-15.0
394,-10.0
395,6.0
396,21.0
397,38.0
398,1.0
399,26.0
400,0.0
401,10.0
402,23.0
403,-10.0
404,2.0
405,20.0
406,1.0
407,0.0
408,-10.0
409,-10.0
410,-9.0
411,-15.0
412,20.0
413,26.0
414,29.0
415,-4.0
416,-4.0
417,-10.0
418,15.0
419,11.0
420,-9.0
421,-8.0
422,-9.0
423,15.0
424,-15.0
425,-14.0
426,-10.0
427,-10.0
428,-3.0
429,-10.0
430,1.0
431,31.0
432,23.0
433,27.0
434,6.0
435,-4.0
436,-15.0
437,42.0
438,-15.0
439,23.0
440,16.0
441,-5.0
442,23.0
443,-5.0
444,101.0
445,35.0
446,25.0
447,-14.0
448,5.0
449,25.0
450,5.0
451,1.0
452,10.0
453,27.0
454,57.0
455,-10.0
456,0.0
457,30.0
458,51.0
459,0.0
460,30.0
461,-5.0
462,5.0
