episode,return
1,-15.0
2,-10.0
3,-15.0
4,-9.0
5,-14.0
6,-15.0
7,-15.0
8,-9.0
9,-9.0
10,-10.0
11,-15.0
12,-15.0
13,-10.0
14,-10.0
15,-4.0
16,-5.0
17,-8.0
18,-10.0
19,-10.0
20,-9.0
21,-10.0
22,-15.0
23,-5.0
24,-15.0
25,-15.0
26,-3.0
27,-3.0
28,-15.0
29,-15.0
30,-9.0
31,-10.0
32,-14.0
33,-10.0
34,-9.0
35,-15.0
36,-10.0
37,-10.0
38,-14.0
39,-15.0
40,-15.0
41,-15.0
42,-15.0
43,-15.0
44,-10.0
45,-15.0
46,-10.0
47,-10.0
48,-10.0
49,-10.0
50,-15.0
51,-15.0
52,-15.0
53,-15.0
54,-15.0
55,-15.0
56,-10.0
57,-15.0
58,-15.0
59,-15.0
60,-15.0
61,-15.0
62,-15.0
63,-15.0
64,-15.0
65,-15.0
66,-15.0
67,-15.0
68,-15.0
69,-15.0
70,-15.0
71,-15.0
72,-15.0
73,-15.0
74,-15.0
75,-15.0
76,-15.0
77,-15.0
78,-15.0
79,-15.0
80,-15.0
81,-15.0
82,-15.0
83,-15.0
84,-15.0
85,-15.0
86,-15.0
87,-15.0
88,-15.0
89,-15.0
90,-15.0
91,-15.0
92,-15.0
93,-15.0
94,-15.0
95,-15.0
96,-15.0
97,-15.0
98,-15.0
99,-15.0
100,-15.0
101,-15.0
102,-15.0
103,-15.0
104,-15.0
105,-15.0
106,-15.0
107,-15.0
108,-15.0
109,-15.0
110,-15.0
111,-15.0
112,-15.0
113,-15.0
114,-15.0
115,-15.0
116,-15.0
117,-15.0
118,-15.0
119,-15.0
120,-15.0
121,-15.0
122,-15.0
123,-15.0
124,-15.0
125,-15.0
126,-15.0
127,-15.0
128,-15.0
129,-15.0
130,-15.0
131,-15.0
132,-15.0
133,-15.0
134,-15.0
135,-15.0
136,-15.0
137,-15.0
138,-15.0
139,-15.0
140,-15.0
141,-15.0
142,-15.0
143,-15.0
144,-15.0
145,-15.0
146,-15.0
147,-15.0
148,-15.0
149,-15.0
150,-15.0
151,-15.0
152,-15.0
153,-15.0
154,-15.0
155,-15.0
156,-15.0
157,-15.0
158,-15.0
159,-15.0
160,-15.0
161,-15.0
162,-15.0
163,-15.0
164,-15.0
165,-15.0
166,-15.0
167,-15.0
168,-15.0
169,-15.0
170,-15.0
171,-15.0
172,-15.0
173,-14.0
174,-15.0
175,-15.0
176,-14.0
177,-15.0
178,-15.0
179,-15.0
180,-15.0
181,-15.0
182,-15.0
183,-15.0
184,-15.0
185,-15.0
186,-15.0
187,-15.0
188,-15.0
189,-14.0
190,-15.0
191,-15.0
192,-15.0
193,-15.0
194,-15.0
195,-15.0
196,-15.0
197,-15.0
198,-15.0
199,-15.0
200,-15.0
201,-15.0
202,-15.0
203,-15.0
204,-15.0
205,-15.0
206,-14.0
207,-14.0
208,-15.0
209,-15.0
210,-15.0
211,-15.0
212,-15.0
213,-15.0
214,-10.0
215,-15.0
216,-15.0
217,-15.0
218,-15.0
219,-10.0
220,-15.0
221,-10.0
222,-10.0
223,-15.0
224,-10.0
225,-15.0
226,-9.0
227,-15.0
228,-10.0
229,-15.0
230,-10.0
231,-15.0
232,-9.0
233,-15.0
234,-14.0
235,-10.0
236,-15.0
237,-10.0
238,-9.0
239,-10.0
240,-10.0
241,-10.0
242,-15.0
243,-15.0
244,-9.0
245,-10.0
246,-15.0
247,-10.0
248,-9.0
249,-10.0
250,-14.0
251,-15.0
252,-10.0
253,-15.0
254,-14.0
255,-15.0
256,-15.0
257,-9.0
258,-10.0
259,-15.0
260,-10.0
261,-10.0
262,-14.0
263,-15.0
264,-10.0
265,-9.0
266,-10.0
267,-10.0
268,-10.0
269,-10.0
270,-10.0
271,-15.0
272,-15.0
273,-10.0
274,-15.0
275,-15.0
276,-10.0
277,-10.0
278,-10.0
279,-10.0
280,-10.0
281,-10.0
282,-10.0
283,-15.0
284,-15.0
285,-10.0
286,-10.0
287,-10.0
288,-9.0
289,-9.0
290,-9.0
291,-15.0
292,-10.0
293,-15.0
294,-15.0
295,-15.0
296,-15.0
297,-9.0
298,-15.0
299,-10.0
300,-15.0
301,-10.0
302,-9.0
303,-9.0
304,-9.0
305,-10.0
306,-15.0
307,-9.0
308,-9.0
309,-10.0
310,-10.0
311,-10.0
312,-15.0
313,-10.0
314,-15.0
315,-9.0
316,-10.0
317,-10.0
318,-15.0
319,-15.0
320,-10.0
321,-14.0
322,-14.0
323,-10.0
324,-10.0
325,-9.0
326,-14.0
327,-14.0
328,-9.0
329,-10.0
330,-10.0
331,-14.0
332,-10.0
333,-10.0
334,-10.0
335,-10.0
336,-9.0
337,-10.0
338,-10.0
339,-10.0
340,-10.0
341,-10.0
342,-9.0
343,-10.0
344,-14.0
345,-10.0
346,-10.0
347,-10.0
