episode,return
1,-15.0
2,-15.0
3,-10.0
4,-15.0
5,-15.0
6,-15.0
7,-15.0
8,-15.0
9,-15.0
10,5.0
11,-15.0
12,-15.0
13,-4.0
14,11.0
15,-4.0
16,-10.0
17,-10.0
18,-9.0
19,-10.0
20,-9.0
21,-10.0
22,-10.0
23,-10.0
24,0.0
25,5.0
26,-8.0
27,0.0
28,-5.0
29,0.0
30,-9.0
31,-4.0
32,-14.0
33,-5.0
34,-14.0
35,-10.0
36,15.0
37,-15.0
38,7.0
39,-15.0
40,-15.0
41,-5.0
42,10.0
43,-10.0
44,-15.0
45,-14.0
46,-5.0
47,-5.0
48,-15.0
49,-10.0
50,-9.0
51,20.0
52,11.0
53,16.0
54,-10.0
55,-8.0
56,30.0
57,-15.0
58,-14.0
59,15.0
60,17.0
61,36.0
62,-15.0
63,5.0
64,-5.0
65,-15.0
66,21.0
67,-9.0
68,25.0
69,-5.0
70,45.0
71,0.0
72,-4.0
73,-10.0
74,6.0
75,-15.0
76,11.0
77,-10.0
78,-10.0
79,-15.0
80,-15.0
81,-14.0
82,-9.0
83,-15.0
84,6.0
85,0.0
86,-15.0
87,-5.0
88,-5.0
89,-4.0
90,12.0
91,-5.0
92,16.0
93,-15.0
94,-15.0
95,-10.0
96,-15.0
97,31.0
98,-9.0
99,-15.0
100,-15.0
101,-15.0
102,1.0
103,0.0
104,-4.0
105,1.0
106,0.0
107,10.0
108,-10.0
109,-5.0
110,-5.0
111,-14.0
112,-15.0
113,-9.0
114,-14.0
115,13.0
116,6.0
117,-4.0
118,-15.0
119,-9.0
120,0.0
121,5.0
122,-4.0
123,16.0
124,-5.0
125,-5.0
126,-15.0
127,-5.0
128,-10.0
129,10.0
130,0.0
131,-15.0
132,-15.0
133,3.0
134,0.0
135,-10.0
136,-15.0
137,5.0
138,-5.0
139,-15.0
140,-15.0
141,51.0
142,-15.0
143,10.0
144,7.0
145,30.0
146,20.0
147,52.0
148,11.0
149,-5.0
150,-10.0
151,-9.0
152,-10.0
153,1.0
154,5.0
155,5.0
156,50.0
157,10.0
