episode,return
1,-14.0
2,-15.0
3,-15.0
4,-15.0
5,-15.0
6,-15.0
7,-9.0
8,-10.0
9,-10.0
10,-9.0
11,-10.0
12,-15.0
13,-14.0
14,-15.0
15,-15.0
16,-15.0
17,-15.0
18,-15.0
19,-15.0
20,-15.0
21,-15.0
22,-15.0
23,-15.0
24,-15.0
25,-15.0
26,-15.0
27,-15.0
28,-15.0
29,-15.0
30,-15.0
31,-15.0
32,-15.0
33,-15.0
34,-15.0
35,-15.0
36,-15.0
37,-10.0
38,-10.0
39,-10.0
40,-10.0
41,-10.0
42,-10.0
43,-10.0
44,-10.0
45,-10.0
46,-10.0
47,-10.0
48,-9.0
49,-10.0
50,-9.0
51,-10.0
52,-10.0
53,-4.0
54,-15.0
55,-5.0
56,-10.0
57,-3.0
58,-5.0
59,-14.0
60,-15.0
61,-4.0
62,-10.0
63,-15.0
64,-5.0
65,-10.0
66,-10.0
67,-5.0
68,-5.0
69,-10.0
70,-14.0
71,-5.0
72,0.0
73,-4.0
74,1.0
75,-10.0
76,-5.0
77,6.0
78,-15.0
79,-10.0
80,-10.0
81,-14.0
82,-15.0
83,-10.0
84,-10.0
85,1.0
86,-5.0
87,-15.0
88,-5.0
89,-14.0
90,-15.0
91,6.0
92,-15.0
93,11.0
94,-15.0
95,-5.0
96,-8.0
97,-5.0
98,0.0
99,0.0
100,-10.0
101,-10.0
102,-5.0
103,-10.0
104,1.0
105,0.0
106,-5.0
107,-15.0
108,-10.0
109,11.0
110,-15.0
111,0.0
112,-10.0
113,-10.0
114,-15.0
115,-4.0
116,-15.0
117,11.0
118,-4.0
119,-14.0
120,-4.0
121,2.0
122,-15.0
123,20.0
124,-9.0
125,-9.0
126,1.0
127,-14.0
128,-10.0
129,35.0
130,-15.0
131,-15.0
132,-15.0
133,11.0
134,-10.0
135,-15.0
136,-15.0
137,-15.0
138,-10.0
139,-15.0
140,-15.0
141,26.0
142,-10.0
143,-10.0
144,-15.0
145,0.0
146,-3.0
147,36.0
148,39.0
149,-5.0
150,-15.0
151,-15.0
152,0.0
153,-10.0
154,-15.0
155,-5.0
156,20.0
157,-10.0
158,-15.0
159,-15.0
160,5.0
161,-15.0
162,-15.0
163,-5.0
164,-10.0
165,-4.0
166,22.0
167,2.0
168,6.0
169,-10.0
170,-10.0
171,-10.0
172,-10.0
173,-10.0
174,-9.0
175,-10.0
176,-5.0
177,-15.0
178,0.0
179,-15.0
180,-15.0
181,-5.0
182,0.0
183,-9.0
184,2.0
185,40.0
186,2.0
187,0.0
188,20.0
189,-8.0
190,7.0
191,59.0
192,-10.0
193,-5.0
194,20.0
195,-9.0
196,-10.0
197,-5.0
198,-10.0
199,1.0
200,35.0
201,-14.0
202,-15.0
203,6.0
204,1.0
205,1.0
206,-14.0
207,-10.0
208,21.0
209,-10.0
210,-10.0
211,-15.0
212,13.0
213,0.0
214,-10.0
215,11.0
216,-3.0
217,-9.0
218,5.0
219,1.0
220,62.0
221,-5.0
222,40.0
223,-5.0
224,22.0
225,-15.0
226,-15.0
227,-5.0
228,32.0
229,-4.0
230,-8.0
231,-15.0
232,-5.0
233,-15.0
234,-5.0
235,-15.0
236,3.0
237,-10.0
238,-10.0
239,21.0
240,-15.0
241,64.0
242,5.0
243,-15.0
244,56.0
245,12.0
246,15.0
247,26.0
248,0.0
249,24.0
250,15.0
251,-10.0
252,-10.0
253,-10.0
254,1.0
255,0.0
256,-15.0
257,1.0
258,-5.0
259,-15.0
260,1.0
261,37.0
262,23.0
263,31.0
264,-15.0
265,15.0
266,-15.0
267,1.0
268,20.0
269,0.0
270,1.0
271,-15.0
272,20.0
273,-4.0
274,35.0
275,-14.0
276,11.0
277,-5.0
278,37.0
279,20.0
280,5.0
281,-8.0
282,-14.0
283,13.0
284,-4.0
285,20.0
286,-4.0
287,-9.0
288,-10.0
289,-10.0
290,0.0
291,-10.0
292,-5.0
293,21.0
294,-5.0
295,-15.0
296,27.0
297,-4.0
298,29.0
299,-10.0
300,-9.0
301,-10.0
302,-9.0
303,-10.0
304,-5.0
305,10.0
306,-10.0
307,-10.0
308,-15.0
309,40.0
310,-15.0
311,-5.0
312,-15.0
313,6.0
314,-5.0
315,10.0
316,25.0
317,5.0
318,-14.0
319,11.0
320,-3.0
321,10.0
322,0.0
323,10.0
324,-15.0
325,21.0
326,-10.0
327,0.0
328,-4.0
329,-5.0
330,-4.0
331,-14.0
332,10.0
333,-10.0
334,48.0
335,25.0
336,-2.0
337,16.0
338,26.0
339,21.0
340,57.0
341,-10.0
342,16.0
343,-5.0
344,12.0
345,20.0
346,-9.0
347,-9.0
348,21.0
349,-15.0
350,0.0
351,-15.0
352,35.0
353,-8.0
354,-5.0
355,-5.0
356,-5.0
357,20.0
358,5.0
359,32.0
360,-5.0
361,-5.0
362,-9.0
363,-4.0
364,1.0
365,-5.0
366,20.0
367,18.0
368,-3.0
369,-15.0
370,-15.0
371,23.0
372,-15.0
373,-15.0
374,-10.0
375,23.0
376,1.0
377,50.0
378,0.0
379,0.0
380,-2.0
381,0.0
382,-5.0
383,-10.0
384,-10.0
385,-2.0
386,-3.0
387,0.0
388,15.0
389,-10.0
390,10.0
391,15.0
392,11.0
393,22.0
394,-14.0
395,15.0
396,-10.0
397,-15.0
398,-10.0
399,0.0
400,2.0
401,-15.0
402,1.0
403,0.0
404,-15.0
405,-5.0
406,-15.0
407,-10.0
408,-10.0
409,-15.0
410,-9.0
411,6.0
412,23.0
413,20.0
414,6.0
415,-5.0
416,0.0
417,-10.0
418,-15.0
419,-9.0
420,-10.0
421,6.0
422,11.0
423,-10.0
424,-5.0
425,-10.0
426,-10.0
427,-4.0
428,-3.0
429,-10.0
430,-4.0
431,7.0
432,-14.0
433,-5.0
434,0.0
435,-9.0
436,33.0
437,1.0
438,20.0
439,-15.0
440,23.0
441,18.0
442,30.0
443,-5.0
444,37.0
445,-9.0
446,15.0
447,-4.0
448,-15.0
449,12.0
450,30.0
451,1.0
452,30.0
453,28.0
454,1.0
455,43.0
456,-15.0
457,-5.0
458,5.0
459,30.0
460,-15.0
461,11.0
462,-3.0
463,-15.0
464,0.0
465,1.0
466,-15.0
467,-5.0
468,-9.0
469,-15.0
470,16.0
471,-15.0
472,-10.0
473,-9.0
474,-14.0
475,-10.0
476,-10.0
