episode,return
1,-15.0
2,-15.0
3,-15.0
4,-15.0
5,-15.0
6,-15.0
7,-15.0
8,-15.0
9,-15.0
10,-15.0
11,-15.0
12,-15.0
13,-15.0
14,-15.0
15,-15.0
16,-14.0
17,-5.0
18,-10.0
19,-9.0
20,-9.0
21,-10.0
22,-9.0
23,-10.0
24,-10.0
25,-10.0
26,-10.0
27,-10.0
28,-10.0
29,-10.0
30,-15.0
31,-15.0
32,-15.0
33,-15.0
34,-15.0
35,-15.0
36,-14.0
37,-15.0
38,-15.0
39,-15.0
40,-15.0
41,-14.0
42,-15.0
43,-15.0
44,-15.0
45,-15.0
46,-15.0
47,-15.0
48,-15.0
49,-15.0
50,-15.0
51,-15.0
52,-15.0
53,-15.0
54,-15.0
55,-15.0
56,-15.0
57,-15.0
58,-15.0
59,-15.0
60,-15.0
61,-15.0
62,-15.0
63,-15.0
64,-15.0
65,-15.0
66,-15.0
67,-15.0
68,-14.0
69,-9.0
70,-15.0
71,-9.0
72,-10.0
73,-10.0
74,-10.0
75,-9.0
76,-10.0
77,-15.0
78,-15.0
79,-10.0
80,-10.0
81,-10.0
82,-10.0
83,-15.0
84,-9.0
85,-14.0
86,-9.0
87,-10.0
88,-15.0
89,-15.0
90,-15.0
91,-10.0
92,-15.0
93,-10.0
94,-10.0
95,-15.0
96,-14.0
97,-9.0
98,-15.0
99,-9.0
100,-9.0
101,-10.0
102,-10.0
103,-10.0
104,-9.0
105,-9.0
106,-9.0
107,-10.0
108,-10.0
109,-5.0
110,-15.0
111,-9.0
112,-5.0
113,-9.0
114,-9.0
115,-15.0
116,-10.0
117,-9.0
118,-9.0
119,-9.0
120,-9.0
121,-10.0
122,-14.0
123,-9.0
124,-15.0
125,-9.0
126,-14.0
127,-9.0
128,-5.0
129,-9.0
130,-9.0
131,-10.0
132,-9.0
133,-10.0
134,-5.0
135,-10.0
136,-5.0
137,-10.0
138,-9.0
139,-15.0
140,-10.0
141,-15.0
142,-9.0
143,-5.0
144,-9.0
145,-15.0
146,-10.0
147,-5.0
148,-10.0
149,-5.0
