episode,return
1,-15.0
2,-15.0
3,-15.0
4,-15.0
5,-15.0
6,-10.0
7,-10.0
8,-5.0
9,-10.0
10,-9.0
11,-9.0
12,-10.0
13,-10.0
14,-9.0
15,-10.0
16,-10.0
17,-10.0
18,-10.0
19,-10.0
20,-14.0
21,-15.0
22,-9.0
23,-15.0
24,-15.0
25,-15.0
26,-15.0
27,-15.0
28,-15.0
29,-15.0
30,-15.0
31,-15.0
32,-15.0
33,-15.0
34,-15.0
35,-15.0
36,-15.0
37,-15.0
38,-15.0
39,-15.0
40,-15.0
41,-15.0
42,-10.0
43,-10.0
44,-14.0
45,-15.0
46,-10.0
47,-10.0
48,-9.0
49,-10.0
50,-15.0
51,-10.0
52,-15.0
53,-10.0
54,-10.0
55,-5.0
56,-14.0
57,6.0
58,-15.0
59,1.0
60,-15.0
61,-3.0
62,-10.0
63,-5.0
64,-5.0
65,-10.0
66,-10.0
67,-15.0
68,22.0
69,-14.0
70,-8.0
71,-14.0
72,1.0
73,1.0
74,9.0
75,-15.0
76,-5.0
77,-9.0
78,-5.0
79,1.0
80,5.0
81,-5.0
82,-14.0
83,-14.0
84,-5.0
85,0.0
86,-10.0
87,25.0
88,-14.0
89,-10.0
90,10.0
91,-15.0
92,-14.0
93,-4.0
94,-9.0
95,-10.0
96,-15.0
97,-5.0
98,-10.0
99,-14.0
100,-10.0
101,-5.0
102,1.0
103,-14.0
104,15.0
105,0.0
106,-9.0
107,-5.0
108,0.0
109,50.0
110,-15.0
111,55.0
112,-5.0
113,20.0
114,26.0
115,-5.0
116,-15.0
117,27.0
118,-15.0
119,2.0
120,-15.0
121,7.0
122,-10.0
123,-5.0
124,20.0
125,0.0
126,-15.0
127,-15.0
128,-10.0
129,-4.0
130,-15.0
131,-14.0
132,-4.0
133,-15.0
134,0.0
135,0.0
136,-15.0
137,-15.0
138,-8.0
139,-15.0
140,-5.0
141,-9.0
142,-8.0
143,-14.0
144,1.0
145,0.0
146,1.0
147,7.0
148,-4.0
149,5.0
150,-15.0
151,-3.0
152,-15.0
153,33.0
154,-4.0
