episode,return
1,-15.0
2,-10.0
3,-15.0
4,-5.0
5,-10.0
6,-10.0
7,-15.0
8,-15.0
9,-15.0
10,-15.0
11,-15.0
12,-15.0
13,-15.0
14,-15.0
15,-15.0
16,-15.0
17,-15.0
18,-15.0
19,-15.0
20,-10.0
21,-10.0
22,-15.0
23,-15.0
24,-10.0
25,-9.0
26,-15.0
27,-10.0
28,-14.0
29,-10.0
30,-10.0
31,-9.0
32,-10.0
33,-9.0
34,-15.0
35,-10.0
36,-9.0
37,-9.0
38,-10.0
39,-10.0
40,-10.0
41,-5.0
42,-5.0
43,-14.0
44,-5.0
45,-9.0
46,0.0
47,0.0
48,-15.0
49,-10.0
50,0.0
51,-15.0
52,-9.0
53,10.0
54,22.0
55,5.0
56,0.0
57,11.0
58,-10.0
59,-5.0
60,-5.0
61,-4.0
62,-5.0
63,-5.0
64,-15.0
65,-15.0
66,-5.0
67,-15.0
68,-9.0
69,-4.0
70,-15.0
71,1.0
72,1.0
73,11.0
74,-15.0
75,-5.0
76,-5.0
77,42.0
78,-10.0
79,0.0
80,0.0
81,5.0
82,26.0
83,-5.0
84,7.0
85,1.0
86,-14.0
87,-4.0
88,-14.0
89,0.0
90,-14.0
91,-15.0
92,-10.0
93,1.0
94,-10.0
95,0.0
96,21.0
97,25.0
98,20.0
99,36.0
100,20.0
101,-4.0
102,-10.0
103,12.0
104,-10.0
105,0.0
106,-15.0
107,1.0
108,-4.0
109,-10.0
110,-14.0
111,-9.0
112,20.0
113,1.0
114,-15.0
115,25.0
116,1.0
117,-5.0
118,2.0
119,-10.0
120,-15.0
121,1.0
122,-10.0
123,-5.0
124,0.0
125,-10.0
126,-15.0
127,0.0
128,30.0
129,-15.0
130,25.0
131,22.0
132,10.0
133,-10.0
134,-8.0
135,5.0
136,11.0
137,-5.0
138,5.0
139,-10.0
140,1.0
141,-9.0
142,1.0
143,-15.0
144,-10.0
145,-15.0
146,-10.0
147,-10.0
148,0.0
149,18.0
150,-15.0
151,18.0
152,-10.0
153,5.0
154,0.0
155,-9.0
156,-14.0
157,-15.0
158,-15.0
159,-15.0
160,-10.0
161,5.0
162,5.0
163,-4.0
164,30.0
165,-10.0
166,5.0
167,6.0
168,45.0
169,-5.0
170,36.0
171,10.0
172,5.0
173,-10.0
174,-15.0
175,20.0
176,6.0
177,-10.0
178,-15.0
179,7.0
180,11.0
181,-10.0
182,-10.0
183,7.0
184,-15.0
185,-15.0
186,-15.0
187,-10.0
188,21.0
189,0.0
190,10.0
191,-15.0
192,20.0
193,20.0
194,10.0
195,-9.0
196,0.0
197,-10.0
198,-5.0
199,-15.0
200,-2.0
201,-10.0
202,30.0
203,40.0
204,25.0
205,15.0
206,-10.0
207,-4.0
208,5.0
209,10.0
210,-15.0
211,3.0
212,-9.0
213,7.0
214,29.0
215,-5.0
216,-15.0
217,-5.0
218,-15.0
219,21.0
220,35.0
221,-5.0
222,20.0
223,-9.0
224,-14.0
225,-10.0
226,-15.0
227,-15.0
228,-14.0
229,2.0
230,-5.0
231,0.0
232,-10.0
233,1.0
234,50.0
235,-2.0
236,21.0
237,-15.0
238,7.0
239,-15.0
240,10.0
241,-5.0
242,25.0
243,-2.0
244,5.0
245,7.0
246,5.0
247,1.0
248,40.0
249,-14.0
250,-15.0
251,-15.0
252,-10.0
253,-5.0
254,-10.0
255,-10.0
256,-15.0
257,37.0
258,-10.0
259,10.0
260,8.0
261,10.0
262,0.0
263,-5.0
264,-10.0
265,-15.0
266,16.0
267,-15.0
268,-15.0
269,-10.0
270,-10.0
271,-15.0
272,-15.0
273,-14.0
274,-10.0
275,21.0
276,-15.0
277,5.0
278,2.0
279,1.0
280,38.0
281,-4.0
282,-15.0
283,17.0
284,-9.0
285,-15.0
286,0.0
287,0.0
288,-10.0
289,-15.0
290,-15.0
291,2.0
292,-15.0
293,10.0
294,0.0
295,30.0
296,21.0
297,-9.0
298,10.0
299,1.0
300,-5.0
301,5.0
302,10.0
303,20.0
304,6.0
305,7.0
306,-14.0
307,20.0
308,-9.0
309,19.0
310,22.0
311,0.0
312,-15.0
313,10.0
314,10.0
315,0.0
316,-5.0
317,20.0
318,-4.0
319,-15.0
320,21.0
321,25.0
322,-10.0
323,-4.0
324,12.0
325,-15.0
326,-10.0
327,-10.0
328,5.0
329,-10.0
330,2.0
331,-10.0
332,-5.0
333,-15.0
334,38.0
335,30.0
336,0.0
337,-5.0
338,12.0
339,5.0
340,12.0
341,-5.0
342,61.0
343,10.0
344,-10.0
345,8.0
346,-9.0
347,0.0
348,36.0
349,0.0
350,-15.0
351,5.0
352,36.0
353,20.0
354,-5.0
355,1.0
356,-10.0
357,55.0
358,55.0
359,3.0
360,-10.0
361,-5.0
362,10.0
363,-10.0
364,30.0
365,35.0
366,-9.0
367,56.0
368,1.0
369,86.0
370,-9.0
