episode,return
1,-15.0
2,-15.0
3,-15.0
4,-15.0
5,-15.0
6,-15.0
7,-15.0
8,-15.0
9,-15.0
10,-15.0
11,-15.0
12,-15.0
13,-15.0
14,-15.0
15,-15.0
16,-15.0
17,-15.0
18,-15.0
19,-15.0
20,-15.0
21,-10.0
22,-10.0
23,-15.0
24,-10.0
25,-10.0
26,-10.0
27,-10.0
28,-10.0
29,-9.0
30,-10.0
31,-10.0
32,-15.0
33,-10.0
34,-14.0
35,-15.0
36,-15.0
37,-15.0
38,-10.0
39,-15.0
40,-15.0
41,-15.0
42,-14.0
43,-15.0
44,-15.0
45,-15.0
46,-15.0
47,-15.0
48,-15.0
49,-15.0
50,-15.0
51,-15.0
52,-15.0
53,-15.0
54,-15.0
55,-15.0
56,-15.0
57,-10.0
58,-9.0
59,-10.0
60,-15.0
61,-14.0
62,-10.0
63,-15.0
64,-10.0
65,-10.0
66,-9.0
67,-10.0
68,-15.0
69,-14.0
70,-15.0
71,-15.0
72,-10.0
73,-9.0
74,-10.0
75,-10.0
76,-5.0
77,-15.0
78,-10.0
79,-9.0
80,-9.0
81,-9.0
82,-9.0
83,-10.0
84,-10.0
85,-9.0
86,-5.0
87,-5.0
88,-5.0
89,-15.0
90,-15.0
91,-10.0
92,-5.0
93,-4.0
94,-5.0
95,-14.0
96,-15.0
97,-5.0
98,-15.0
99,-10.0
100,-15.0
101,-10.0
102,-9.0
103,-5.0
104,-14.0
105,-10.0
106,-15.0
107,-15.0
108,-5.0
109,-5.0
110,-4.0
111,-5.0
112,11.0
113,-9.0
114,-15.0
115,-15.0
116,-15.0
117,-5.0
118,6.0
119,-15.0
120,-14.0
121,0.0
122,-15.0
123,-10.0
124,-15.0
125,-10.0
126,0.0
127,-15.0
128,-4.0
129,0.0
130,-15.0
131,1.0
132,1.0
133,-10.0
134,-15.0
135,-10.0
136,1.0
137,-10.0
138,-14.0
139,-3.0
140,-10.0
141,-9.0
142,1.0
143,-10.0
144,1.0
145,40.0
146,15.0
147,25.0
148,-15.0
149,21.0
150,-15.0
151,-10.0
