episode,return
1,-15.0
2,-15.0
3,-15.0
4,-15.0
5,-15.0
6,-5.0
7,-10.0
8,-4.0
9,5.0
10,-5.0
11,-5.0
12,-3.0
13,-10.0
14,-15.0
15,-14.0
16,-4.0
17,-10.0
18,-9.0
19,-15.0
20,-5.0
21,-15.0
22,-3.0
23,0.0
24,35.0
25,25.0
26,25.0
27,-5.0
28,10.0
29,-5.0
30,-15.0
31,-5.0
32,-4.0
33,20.0
34,-5.0
35,6.0
36,5.0
37,-15.0
38,-15.0
39,-15.0
40,11.0
41,-10.0
42,-10.0
43,0.0
44,-15.0
45,32.0
46,1.0
47,-14.0
48,5.0
49,-5.0
50,-10.0
51,-15.0
52,-4.0
53,-5.0
54,60.0
55,-15.0
56,-14.0
57,-5.0
58,-15.0
59,1.0
60,-15.0
61,20.0
62,-10.0
63,-15.0
64,5.0
65,-15.0
66,0.0
67,-10.0
68,-15.0
69,-14.0
70,11.0
71,30.0
72,-15.0
73,6.0
74,-15.0
75,-8.0
76,15.0
77,-3.0
78,30.0
79,2.0
80,-14.0
81,0.0
82,-14.0
83,0.0
84,-14.0
85,15.0
86,-15.0
87,-3.0
88,-15.0
89,1.0
90,-8.0
91,0.0
92,-15.0
93,-15.0
94,-15.0
95,0.0
96,-10.0
97,-15.0
98,-4.0
99,25.0
100,-5.0
101,-13.0
102,0.0
103,10.0
104,-10.0
105,17.0
106,5.0
107,47.0
108,0.0
109,-15.0
110,5.0
111,12.0
112,20.0
113,10.0
114,-4.0
115,2.0
116,21.0
117,-9.0
118,-14.0
119,-15.0
120,-4.0
121,-5.0
122,0.0
123,-8.0
124,-10.0
125,-15.0
126,-15.0
127,2.0
128,23.0
129,1.0
130,1.0
131,-9.0
132,11.0
133,-5.0
134,-10.0
135,10.0
136,25.0
137,0.0
138,15.0
139,4.0
140,-10.0
141,-9.0
142,10.0
143,-9.0
144,-10.0
145,0.0
146,-10.0
147,-9.0
148,-10.0
149,0.0
150,-15.0
151,1.0
152,15.0
153,5.0
154,0.0
155,14.0
156,-10.0
157,0.0
158,-9.0
