episode,return
1,-15.0
2,-15.0
3,-15.0
4,-15.0
5,-15.0
6,-15.0
7,-10.0
8,1.0
9,-10.0
10,-15.0
11,-10.0
12,-10.0
13,-9.0
14,-5.0
15,-5.0
16,0.0
17,0.0
18,0.0
19,-5.0
20,-15.0
21,0.0
22,-5.0
23,-5.0
24,-10.0
25,-15.0
26,-10.0
27,-8.0
28,5.0
29,-10.0
30,-5.0
31,-4.0
32,-10.0
33,-10.0
34,-5.0
35,-15.0
36,-15.0
37,-9.0
38,-14.0
39,8.0
40,-15.0
41,5.0
42,6.0
43,-14.0
44,20.0
45,0.0
46,-15.0
47,-15.0
48,-9.0
49,-10.0
50,-15.0
51,-4.0
52,5.0
53,-15.0
54,-5.0
55,-10.0
56,-5.0
57,-15.0
58,-5.0
59,-15.0
60,-15.0
61,-9.0
62,-10.0
63,-5.0
64,-9.0
65,2.0
66,0.0
67,-5.0
68,-15.0
69,-10.0
70,-5.0
71,-5.0
72,-10.0
73,2.0
74,1.0
75,-5.0
76,-10.0
77,5.0
78,-9.0
79,-9.0
80,-10.0
81,12.0
82,0.0
83,-10.0
84,-10.0
85,-14.0
86,0.0
87,10.0
88,-5.0
89,-15.0
90,-5.0
91,-4.0
92,-10.0
93,0.0
94,-5.0
95,-10.0
96,10.0
97,-5.0
98,-9.0
99,0.0
100,11.0
101,16.0
102,-4.0
103,15.0
104,-10.0
105,-4.0
106,-15.0
107,-5.0
108,-4.0
109,0.0
110,-10.0
111,-10.0
112,-10.0
113,-15.0
114,10.0
115,-4.0
116,0.0
117,-15.0
118,1.0
119,20.0
120,1.0
121,-4.0
122,37.0
123,21.0
124,-15.0
125,-5.0
126,21.0
127,-10.0
128,21.0
129,0.0
130,-8.0
131,-10.0
132,5.0
133,-5.0
134,6.0
135,-15.0
136,-10.0
137,-5.0
138,-4.0
139,3.0
140,-15.0
141,10.0
142,5.0
143,-9.0
144,1.0
145,1.0
146,11.0
147,15.0
148,21.0
149,1.0
150,-4.0
151,-15.0
152,35.0
153,-10.0
154,-5.0
155,-15.0
156,-8.0
