episode,return
1,-15.0
2,-15.0
3,-15.0
4,-15.0
5,-15.0
6,-15.0
7,-15.0
8,-15.0
9,-15.0
10,-15.0
11,-15.0
12,-10.0
13,-15.0
14,-10.0
15,-15.0
16,-10.0
17,-10.0
18,-10.0
19,-10.0
20,-10.0
21,-9.0
22,-10.0
23,-10.0
24,-9.0
25,-10.0
26,-15.0
27,-15.0
28,-15.0
29,-10.0
30,-15.0
31,-15.0
32,-15.0
33,-15.0
34,-15.0
35,-15.0
36,-15.0
37,-15.0
38,-15.0
39,-15.0
40,-15.0
41,-15.0
42,-15.0
43,-15.0
44,-10.0
45,-15.0
46,-5.0
47,15.0
48,1.0
49,1.0
50,-10.0
51,-10.0
52,-10.0
53,-15.0
54,-10.0
55,0.0
56,-5.0
57,-15.0
58,-10.0
59,22.0
60,-9.0
61,-15.0
62,-14.0
63,-15.0
64,-15.0
65,-5.0
66,-4.0
67,-4.0
68,-5.0
69,-10.0
70,-15.0
71,-5.0
72,15.0
73,12.0
74,-15.0
75,-15.0
76,27.0
77,-9.0
78,-9.0
79,-15.0
80,-10.0
81,-15.0
82,0.0
83,-10.0
84,-10.0
85,-10.0
86,-15.0
87,-4.0
88,27.0
89,11.0
90,-15.0
91,22.0
92,-15.0
93,5.0
94,-4.0
95,-10.0
96,7.0
97,1.0
98,0.0
99,-10.0
100,5.0
101,-15.0
102,-4.0
103,52.0
104,-9.0
105,5.0
106,-14.0
107,-15.0
108,-5.0
109,-14.0
110,26.0
111,32.0
112,-5.0
113,10.0
114,20.0
115,-15.0
116,-14.0
117,6.0
118,-4.0
119,-5.0
120,10.0
121,-15.0
122,0.0
123,40.0
124,-15.0
125,-15.0
126,-8.0
127,16.0
128,-15.0
129,-15.0
130,24.0
131,-2.0
132,-14.0
133,-5.0
134,-15.0
135,-15.0
136,-5.0
137,12.0
138,10.0
139,-5.0
140,-15.0
141,11.0
142,-15.0
143,-8.0
144,5.0
145,2.0
146,0.0
147,-9.0
148,2.0
149,-9.0
150,-15.0
151,-5.0
152,-10.0
153,1.0
154,-4.0
