episode,return
1,-15.0
2,-15.0
3,-15.0
4,-15.0
5,-14.0
6,-15.0
7,-10.0
8,-15.0
9,5.0
10,-15.0
11,-10.0
12,-10.0
13,-10.0
14,-15.0
15,-10.0
16,-10.0
17,-10.0
18,-10.0
19,-14.0
20,-15.0
21,-15.0
22,-15.0
23,-14.0
24,-10.0
25,-9.0
26,-10.0
27,-15.0
28,-15.0
29,-15.0
30,-15.0
31,-15.0
32,-15.0
33,-15.0
34,-15.0
35,-15.0
36,-15.0
37,-15.0
38,-15.0
39,-15.0
40,-15.0
41,-15.0
42,-15.0
43,-15.0
44,-15.0
45,-15.0
46,-15.0
47,-15.0
48,-15.0
49,-15.0
50,-15.0
51,-15.0
52,-15.0
53,-15.0
54,-15.0
55,-15.0
56,-15.0
57,-15.0
58,-15.0
59,-15.0
60,-10.0
61,-15.0
62,-10.0
63,-9.0
64,-15.0
65,-9.0
66,-5.0
67,-15.0
68,-4.0
69,-4.0
70,-14.0
71,-4.0
72,0.0
73,-5.0
74,-10.0
75,-10.0
76,-5.0
77,-15.0
78,-14.0
79,35.0
80,-15.0
81,10.0
82,-4.0
83,-4.0
84,-15.0
85,-3.0
86,-10.0
87,-5.0
88,-15.0
89,0.0
90,10.0
91,-15.0
92,-10.0
93,-15.0
94,-9.0
95,-10.0
96,-10.0
97,-10.0
98,-10.0
99,-9.0
100,-10.0
101,-15.0
102,-4.0
103,6.0
104,2.0
105,-3.0
106,6.0
107,20.0
108,28.0
109,-10.0
110,-9.0
111,-5.0
112,56.0
113,25.0
114,5.0
115,-10.0
116,-14.0
117,-15.0
118,-15.0
119,1.0
120,-15.0
121,-10.0
122,15.0
123,-9.0
124,10.0
125,15.0
126,-10.0
127,0.0
128,21.0
129,-15.0
130,-14.0
131,6.0
132,-15.0
133,-15.0
134,-15.0
135,-2.0
136,-4.0
137,-5.0
138,-15.0
139,-9.0
140,-4.0
141,-10.0
142,50.0
143,20.0
144,17.0
145,-15.0
146,-10.0
147,-4.0
148,-10.0
149,0.0
150,35.0
151,-5.0
152,22.0
153,-9.0
