episode,return
1,-14.0
2,-15.0
3,-14.0
4,-15.0
5,-10.0
6,-15.0
7,-15.0
8,-15.0
9,-15.0
10,-15.0
11,-15.0
12,-15.0
13,-15.0
14,-15.0
15,-15.0
16,-15.0
17,-15.0
18,-15.0
19,-15.0
20,-15.0
21,-15.0
22,-15.0
23,-15.0
24,-15.0
25,-15.0
26,-15.0
27,-9.0
28,-10.0
29,-9.0
30,-9.0
31,-10.0
32,-15.0
33,-10.0
34,-9.0
35,-9.0
36,-15.0
37,-10.0
38,-14.0
39,-10.0
40,-10.0
41,-15.0
42,-10.0
43,-10.0
44,-9.0
45,-10.0
46,-10.0
47,-9.0
48,-15.0
49,-15.0
50,-10.0
51,-9.0
52,-10.0
53,-5.0
54,-5.0
55,-10.0
56,-5.0
57,-10.0
58,-10.0
59,-5.0
60,-4.0
61,-9.0
62,-4.0
63,0.0
64,-9.0
65,-5.0
66,-5.0
67,-5.0
68,-10.0
69,-9.0
70,-15.0
71,-15.0
72,-5.0
73,-5.0
74,0.0
75,-5.0
76,-5.0
77,1.0
78,-14.0
79,10.0
80,-15.0
81,-10.0
82,-5.0
83,0.0
84,2.0
85,0.0
86,-3.0
87,20.0
88,-10.0
89,-10.0
90,-15.0
91,-15.0
92,-15.0
93,-15.0
94,0.0
95,-15.0
96,-5.0
97,-8.0
98,1.0
99,-15.0
100,10.0
101,-10.0
102,-10.0
103,-15.0
104,-4.0
105,-14.0
106,17.0
107,-15.0
108,-10.0
109,-15.0
110,-15.0
111,-5.0
112,0.0
113,-5.0
114,0.0
115,-15.0
116,-15.0
117,-2.0
118,0.0
119,10.0
120,1.0
121,-15.0
122,7.0
123,20.0
124,-15.0
125,20.0
126,-15.0
127,0.0
128,-15.0
129,-9.0
130,-15.0
131,5.0
132,-10.0
133,6.0
134,-9.0
135,6.0
136,35.0
137,2.0
138,-10.0
139,-5.0
140,-9.0
141,-4.0
142,-10.0
143,-4.0
144,-14.0
145,-5.0
146,11.0
147,-10.0
148,-9.0
149,-4.0
150,5.0
151,-15.0
152,-15.0
153,-5.0
154,-15.0
155,-15.0
156,10.0
157,-15.0
158,2.0
159,-15.0
160,-5.0
161,1.0
162,21.0
163,-5.0
164,-5.0
165,0.0
166,-5.0
167,-15.0
168,5.0
169,-5.0
170,-15.0
171,-15.0
172,1.0
173,1.0
174,0.0
175,1.0
176,-9.0
177,-15.0
178,-4.0
179,-10.0
180,-14.0
181,10.0
182,-15.0
183,-15.0
184,15.0
185,-10.0
186,-10.0
187,-15.0
188,-4.0
189,2.0
190,2.0
191,0.0
192,-3.0
193,-10.0
194,11.0
195,-15.0
196,-15.0
197,1.0
198,5.0
199,-15.0
200,5.0
201,-4.0
202,-5.0
203,6.0
204,0.0
205,-15.0
206,-10.0
207,2.0
208,-10.0
209,-8.0
210,-10.0
211,20.0
212,56.0
213,-15.0
214,-5.0
215,-15.0
216,-3.0
217,-15.0
218,-10.0
219,20.0
220,-10.0
221,-4.0
222,-10.0
223,36.0
224,1.0
225,-5.0
226,1.0
227,-14.0
228,-10.0
229,10.0
230,52.0
231,16.0
232,23.0
233,26.0
234,-14.0
235,30.0
236,-15.0
237,21.0
238,-10.0
239,-5.0
240,-14.0
241,5.0
242,-10.0
243,12.0
244,20.0
245,11.0
246,-4.0
247,-10.0
248,25.0
249,-15.0
250,2.0
251,-15.0
252,-5.0
253,-5.0
254,30.0
255,0.0
256,-14.0
257,15.0
258,-5.0
259,13.0
260,-15.0
261,23.0
262,2.0
263,-15.0
264,-15.0
265,-10.0
266,-15.0
267,-15.0
268,41.0
269,60.0
270,-15.0
271,-10.0
272,-15.0
273,-15.0
274,-15.0
275,-15.0
276,-14.0
277,-10.0
278,-10.0
279,10.0
280,-15.0
281,26.0
282,11.0
283,-4.0
284,21.0
285,-15.0
286,0.0
287,12.0
288,-10.0
289,8.0
290,10.0
291,-10.0
292,-5.0
293,-4.0
294,-15.0
295,15.0
296,-15.0
297,-15.0
298,31.0
299,-4.0
300,-10.0
301,-9.0
302,12.0
303,15.0
304,6.0
305,-15.0
306,-14.0
307,-15.0
308,22.0
309,5.0
310,23.0
311,5.0
312,5.0
313,15.0
314,-5.0
315,-9.0
316,0.0
317,-15.0
318,35.0
319,-4.0
320,15.0
321,-10.0
322,6.0
323,15.0
324,1.0
325,-14.0
326,6.0
327,-10.0
328,-5.0
329,10.0
330,6.0
331,-10.0
332,-10.0
333,-3.0
334,-5.0
335,0.0
336,1.0
337,-4.0
338,-10.0
339,17.0
340,35.0
341,5.0
342,20.0
343,-9.0
344,-10.0
345,21.0
346,29.0
347,-15.0
348,21.0
349,-15.0
350,-15.0
351,22.0
352,6.0
353,5.0
354,-10.0
355,27.0
356,-10.0
357,0.0
358,-10.0
359,-15.0
360,-10.0
361,-5.0
362,-15.0
363,2.0
364,5.0
365,35.0
366,-9.0
367,1.0
368,-10.0
369,62.0
370,-5.0
371,11.0
372,-5.0
373,-5.0
374,-10.0
375,-10.0
376,2.0
377,10.0
378,-14.0
379,-14.0
380,50.0
381,-10.0
382,-15.0
383,-10.0
384,-14.0
385,13.0
386,11.0
387,-10.0
388,1.0
389,0.0
390,-15.0
391,-10.0
392,-5.0
393,21.0
394,30.0
395,0.0
396,-10.0
397,0.0
398,-10.0
399,-15.0
400,-15.0
401,10.0
402,0.0
403,10.0
404,36.0
405,-9.0
406,16.0
407,32.0
408,6.0
409,25.0
410,10.0
411,31.0
412,-5.0
413,-4.0
414,30.0
415,0.0
416,0.0
417,-9.0
418,5.0
419,-10.0
420,12.0
421,0.0
422,-10.0
423,-15.0
424,0.0
425,-15.0
426,-15.0
427,31.0
428,23.0
429,35.0
430,-4.0
431,-15.0
432,-8.0
433,-15.0
434,-4.0
435,12.0
436,27.0
437,15.0
438,15.0
439,0.0
440,10.0
441,35.0
442,10.0
443,10.0
444,17.0
445,-10.0
446,10.0
447,-14.0
448,-15.0
449,5.0
450,-5.0
451,-10.0
452,-14.0
453,-10.0
454,-10.0
455,-10.0
456,21.0
457,10.0
458,10.0
459,-8.0
460,45.0
461,1.0
462,61.0
463,-15.0
464,6.0
465,5.0
466,0.0
467,-8.0
468,-5.0
469,0.0
470,6.0
471,10.0
472,31.0
473,10.0
474,16.0
475,-10.0
476,37.0
477,20.0
478,17.0
479,10.0
