episode,return
1,-15.0
2,-15.0
3,0.0
4,-15.0
5,-15.0
6,-15.0
7,-15.0
8,-15.0
9,-15.0
10,-15.0
11,-15.0
12,-15.0
13,-15.0
14,-5.0
15,-5.0
16,20.0
17,-14.0
18,31.0
19,11.0
20,-15.0
21,-15.0
22,-15.0
23,-14.0
24,-9.0
25,-4.0
26,-15.0
27,3.0
28,-5.0
29,20.0
30,-15.0
31,-15.0
32,-10.0
33,-10.0
34,-5.0
35,-15.0
36,0.0
37,20.0
38,1.0
39,1.0
40,-10.0
41,-10.0
42,20.0
43,7.0
44,-5.0
45,5.0
46,0.0
47,15.0
48,-10.0
49,5.0
50,0.0
51,-15.0
52,5.0
53,0.0
54,-10.0
55,-3.0
56,0.0
57,-15.0
58,-3.0
59,4.0
60,-5.0
61,-14.0
62,-10.0
63,-15.0
64,11.0
65,10.0
66,11.0
67,-5.0
68,-15.0
69,-14.0
70,10.0
71,-15.0
72,20.0
73,45.0
74,-4.0
75,-5.0
76,-5.0
77,-15.0
78,-15.0
79,35.0
80,-5.0
81,10.0
82,-15.0
83,-14.0
84,-15.0
85,-5.0
86,-5.0
87,-15.0
88,10.0
89,22.0
90,-10.0
91,-9.0
92,-15.0
93,10.0
94,-10.0
95,-15.0
96,-14.0
97,-10.0
98,35.0
99,-10.0
100,1.0
101,28.0
102,-5.0
103,1.0
104,21.0
105,-2.0
106,-5.0
107,10.0
108,1.0
109,-15.0
110,40.0
111,5.0
112,-15.0
113,6.0
114,0.0
115,5.0
116,23.0
117,-15.0
118,5.0
119,-5.0
120,0.0
121,-14.0
122,30.0
123,10.0
124,10.0
125,1.0
126,0.0
127,-9.0
128,-4.0
129,-4.0
130,-15.0
131,-15.0
132,-9.0
133,-4.0
134,-5.0
135,20.0
136,0.0
137,6.0
138,-15.0
139,0.0
140,-15.0
141,-15.0
142,-15.0
143,-14.0
144,-14.0
145,-14.0
146,-15.0
147,66.0
148,-15.0
149,-15.0
150,-15.0
151,1.0
152,2.0
153,-15.0
154,1.0
155,-4.0
156,5.0
157,-10.0
158,-15.0
