episode,return
1,-14.0
2,-9.0
3,-15.0
4,-10.0
5,-15.0
6,-15.0
7,-15.0
8,-15.0
9,-15.0
10,-15.0
11,-15.0
12,-15.0
13,-15.0
14,-15.0
15,-15.0
16,-10.0
17,-4.0
18,-15.0
19,-4.0
20,-5.0
21,-10.0
22,-15.0
23,-15.0
24,-9.0
25,-9.0
26,-14.0
27,-10.0
28,-9.0
29,-10.0
30,-5.0
31,-10.0
32,7.0
33,-10.0
34,-10.0
35,1.0
36,-15.0
37,-4.0
38,-4.0
39,-15.0
40,-4.0
41,-5.0
42,-15.0
43,-4.0
44,-4.0
45,0.0
46,12.0
47,-14.0
48,5.0
49,-5.0
50,20.0
51,-10.0
52,11.0
53,5.0
54,1.0
55,-14.0
56,-4.0
57,1.0
58,-15.0
59,-4.0
60,-10.0
61,0.0
62,-5.0
63,1.0
64,-5.0
65,-3.0
66,-3.0
67,-10.0
68,-10.0
69,-3.0
70,-10.0
71,-4.0
72,-5.0
73,-5.0
74,-5.0
75,1.0
76,-15.0
77,-15.0
78,-5.0
79,-5.0
80,-10.0
81,-15.0
82,-15.0
83,5.0
84,-15.0
85,-9.0
86,0.0
87,-10.0
88,5.0
89,10.0
90,-5.0
91,-14.0
92,-5.0
93,-5.0
94,5.0
95,5.0
96,-15.0
97,2.0
98,-10.0
99,-5.0
100,0.0
101,5.0
102,-15.0
103,-15.0
104,1.0
105,-4.0
106,0.0
107,0.0
108,0.0
109,6.0
110,-15.0
111,-10.0
112,-10.0
113,-10.0
114,1.0
115,20.0
116,-5.0
117,0.0
118,-15.0
119,-5.0
120,40.0
121,42.0
122,-10.0
123,10.0
124,-15.0
125,0.0
126,10.0
127,5.0
128,-14.0
129,6.0
130,5.0
131,5.0
132,-15.0
133,13.0
134,-10.0
135,0.0
136,1.0
137,25.0
138,-10.0
139,0.0
140,2.0
141,-15.0
142,-15.0
143,-14.0
144,-5.0
145,9.0
146,39.0
147,-10.0
148,-4.0
149,-14.0
150,-10.0
151,16.0
152,55.0
153,-14.0
154,-14.0
155,-15.0
156,-15.0
157,-9.0
158,-8.0
159,0.0
160,23.0
161,1.0
162,-10.0
163,-15.0
164,-10.0
165,-8.0
166,-15.0
167,1.0
168,-8.0
169,1.0
170,10.0
171,-9.0
172,-9.0
173,-10.0
174,-10.0
