episode,return
1,-15.0
2,-15.0
3,-9.0
4,-9.0
5,-15.0
6,-15.0
7,-15.0
8,-15.0
9,-15.0
10,-15.0
11,-15.0
12,-15.0
13,-15.0
14,-15.0
15,-15.0
16,-15.0
17,-15.0
18,-14.0
19,-15.0
20,-15.0
21,-15.0
22,-14.0
23,-4.0
24,-10.0
25,-15.0
26,-10.0
27,-10.0
28,-10.0
29,-14.0
30,-9.0
31,-9.0
32,-15.0
33,-10.0
34,-10.0
35,-10.0
36,-14.0
37,-10.0
38,-9.0
39,-14.0
40,-15.0
41,-10.0
42,-15.0
43,-10.0
44,-10.0
45,-10.0
46,-10.0
47,-10.0
48,-15.0
49,-14.0
50,-9.0
51,-10.0
52,-10.0
53,-9.0
54,-10.0
55,-10.0
56,-10.0
57,-5.0
58,-14.0
59,-10.0
60,-5.0
61,-5.0
62,-5.0
63,-15.0
64,-9.0
65,-10.0
66,-10.0
67,-4.0
68,-10.0
69,-4.0
70,-10.0
71,-3.0
72,-10.0
73,-14.0
74,-9.0
75,-15.0
76,-10.0
77,1.0
78,-15.0
79,-15.0
80,-10.0
81,-9.0
82,-5.0
83,-10.0
84,-15.0
85,-10.0
86,-9.0
87,-10.0
88,0.0
89,-15.0
90,-5.0
91,-10.0
92,-15.0
93,-10.0
94,-5.0
95,-15.0
96,-10.0
97,-9.0
98,-15.0
99,-5.0
100,-10.0
101,1.0
102,-15.0
103,-5.0
104,-10.0
105,-10.0
106,-9.0
107,-5.0
108,-9.0
109,0.0
110,-10.0
111,-10.0
112,-15.0
113,-15.0
114,-15.0
115,-5.0
116,-5.0
117,-15.0
118,-15.0
119,-5.0
120,11.0
121,-5.0
122,-10.0
123,-4.0
124,-15.0
125,-15.0
126,-15.0
127,2.0
128,2.0
129,-9.0
130,10.0
131,-15.0
132,1.0
133,-15.0
134,-9.0
135,-15.0
136,-10.0
137,-10.0
138,-5.0
139,-9.0
140,-15.0
141,-5.0
142,-5.0
143,-3.0
144,-5.0
145,-10.0
146,0.0
147,-5.0
148,-5.0
149,-15.0
150,0.0
151,-15.0
