episode,return
1,-10.0
2,-15.0
3,-15.0
4,-15.0
5,-15.0
6,-15.0
7,-15.0
8,-10.0
9,-10.0
10,-10.0
11,-15.0
12,-15.0
13,-15.0
14,-15.0
15,-15.0
16,-15.0
17,-15.0
18,-15.0
19,-15.0
20,-14.0
21,-14.0
22,-15.0
23,-15.0
24,-15.0
25,-15.0
26,-15.0
27,-9.0
28,-14.0
29,-10.0
30,-10.0
31,-10.0
32,-10.0
33,-14.0
34,-10.0
35,-10.0
36,-9.0
37,-10.0
38,-15.0
39,-10.0
40,-15.0
41,-10.0
42,-15.0
43,-15.0
44,-15.0
45,-10.0
46,-15.0
47,-15.0
48,-15.0
49,-15.0
50,-15.0
51,-14.0
52,-15.0
53,-10.0
54,-14.0
55,-15.0
56,-15.0
57,-15.0
58,-15.0
59,-15.0
60,-15.0
61,-14.0
62,-15.0
63,-15.0
64,-15.0
65,-15.0
66,-15.0
67,-15.0
68,-14.0
69,-15.0
70,-15.0
71,-15.0
72,-15.0
73,-15.0
74,-15.0
75,-15.0
76,-15.0
77,-15.0
78,-15.0
79,-15.0
80,-15.0
81,-15.0
82,-15.0
83,-15.0
84,-15.0
85,-15.0
86,-15.0
87,-15.0
88,-15.0
89,-15.0
90,-15.0
91,-15.0
92,-15.0
93,-15.0
94,-15.0
95,-15.0
96,-15.0
97,-15.0
98,-15.0
99,-15.0
100,-15.0
101,-15.0
102,-15.0
103,-15.0
104,-15.0
105,-15.0
106,-15.0
107,-14.0
108,-15.0
109,-15.0
110,-15.0
111,-15.0
112,-15.0
113,-15.0
114,-15.0
115,-15.0
116,-15.0
117,-15.0
118,-15.0
119,-15.0
120,-15.0
121,-15.0
122,-15.0
123,-15.0
124,-15.0
125,-15.0
126,-15.0
127,-15.0
128,-14.0
129,-15.0
130,-15.0
131,-15.0
132,-15.0
133,-15.0
134,-15.0
135,-15.0
136,-14.0
137,-15.0
138,-15.0
139,-15.0
140,-15.0
141,-15.0
142,-15.0
143,-10.0
144,-10.0
145,-10.0
146,-15.0
147,-10.0
148,-10.0
149,-15.0
150,-9.0
151,-15.0
152,-10.0
153,-10.0
154,-10.0
155,-10.0
156,-10.0
157,-10.0
158,-10.0
159,-15.0
160,-15.0
161,-15.0
162,-10.0
163,-10.0
164,-15.0
165,-9.0
166,-10.0
167,-10.0
168,-10.0
169,-10.0
170,-10.0
171,-10.0
172,-10.0
173,-9.0
174,-10.0
175,-10.0
176,-9.0
177,-9.0
178,-10.0
179,-10.0
180,-15.0
181,-10.0
182,-14.0
183,-10.0
184,-10.0
185,-14.0
186,-14.0
187,-10.0
188,-15.0
189,-15.0
190,-10.0
191,-10.0
192,-9.0
193,-10.0
194,-10.0
195,-10.0
196,-15.0
197,-9.0
198,-15.0
199,-10.0
200,-14.0
201,-10.0
202,-15.0
203,-10.0
204,-9.0
205,-10.0
206,-10.0
207,-10.0
208,-15.0
209,-10.0
210,-15.0
211,-10.0
212,-10.0
213,-10.0
214,-9.0
215,-14.0
216,-15.0
217,-10.0
218,-10.0
219,-9.0
220,-15.0
221,-14.0
222,-10.0
223,-10.0
224,-10.0
225,-14.0
226,-10.0
227,-15.0
228,-10.0
229,-10.0
230,-15.0
231,-10.0
232,-10.0
233,-9.0
234,-10.0
235,-14.0
236,-15.0
237,-15.0
238,-15.0
239,-15.0
240,-10.0
241,-14.0
242,-14.0
243,-10.0
244,-15.0
245,-15.0
246,-15.0
247,-15.0
248,-15.0
249,-15.0
250,-14.0
251,-15.0
252,-15.0
253,-15.0
254,-15.0
255,-15.0
256,-15.0
257,-15.0
258,-15.0
259,-15.0
260,-15.0
261,-15.0
262,-15.0
263,-15.0
264,-15.0
265,-15.0
266,-15.0
267,-15.0
268,-15.0
269,-15.0
270,-15.0
271,-15.0
272,-15.0
273,-15.0
274,-15.0
275,-15.0
276,-15.0
277,-15.0
278,-15.0
279,-15.0
280,-15.0
281,-15.0
282,-15.0
283,-15.0
284,-15.0
285,-15.0
286,-14.0
287,-15.0
288,-15.0
289,-15.0
290,-15.0
291,-15.0
292,-15.0
293,-15.0
294,-15.0
295,-15.0
296,-15.0
297,-15.0
298,-15.0
299,-15.0
300,-15.0
301,-15.0
302,-15.0
303,-15.0
304,-15.0
305,-15.0
306,-15.0
307,-15.0
308,-15.0
309,-15.0
310,-14.0
311,-15.0
312,-14.0
313,-15.0
314,-15.0
315,-15.0
316,-15.0
317,-15.0
318,-15.0
319,-15.0
320,-15.0
321,-15.0
322,-15.0
323,-15.0
324,-15.0
325,-15.0
326,-15.0
327,-14.0
328,-14.0
329,-15.0
330,-15.0
331,-15.0
332,-15.0
333,-15.0
334,-15.0
335,-15.0
336,-15.0
337,-15.0
338,-15.0
339,-15.0
340,-10.0
341,-15.0
342,-15.0
343,-10.0
344,-15.0
345,-15.0
346,-15.0
347,-15.0
348,-15.0
349,-15.0
350,-15.0
351,-15.0
352,-15.0
353,-15.0
354,-15.0
355,-15.0
356,-14.0
357,-15.0
358,-15.0
359,-15.0
360,-14.0
361,-14.0
362,-15.0
363,-15.0
364,-14.0
365,-15.0
366,-15.0
367,-15.0
368,-15.0
369,-15.0
370,-15.0
371,-15.0
372,-15.0
373,-15.0
374,-15.0
375,-15.0
376,-15.0
377,-15.0
378,-10.0
379,-9.0
380,-15.0
381,-15.0
382,-14.0
383,-15.0
384,-15.0
385,-15.0
386,-9.0
387,-10.0
388,-9.0
389,-15.0
390,-10.0
391,-9.0
392,-10.0
393,-10.0
394,-10.0
395,-10.0
396,-10.0
397,-14.0
398,-10.0
399,-15.0
400,-10.0
401,-10.0
402,-10.0
403,-10.0
404,-10.0
