episode,return
1,-15.0
2,-15.0
3,-15.0
4,-9.0
5,-15.0
6,-15.0
7,-15.0
8,-15.0
9,-5.0
10,-10.0
11,-10.0
12,-10.0
13,-9.0
14,-10.0
15,-15.0
16,-15.0
17,-15.0
18,-15.0
19,-15.0
20,-15.0
21,-15.0
22,-15.0
23,-15.0
24,-15.0
25,-15.0
26,-15.0
27,-15.0
28,-15.0
29,-15.0
30,-15.0
31,-15.0
32,-15.0
33,-15.0
34,-15.0
35,-15.0
36,-15.0
37,-15.0
38,-15.0
39,-14.0
40,-10.0
41,-10.0
42,-10.0
43,-15.0
44,-10.0
45,-10.0
46,-10.0
47,-15.0
48,-10.0
49,-10.0
50,-15.0
51,-15.0
52,-9.0
53,-10.0
54,-15.0
55,-15.0
56,-10.0
57,-10.0
58,-9.0
59,-15.0
60,-9.0
61,-15.0
62,-10.0
63,-9.0
64,-5.0
65,-15.0
66,-14.0
67,-5.0
68,-5.0
69,-5.0
70,-15.0
71,-10.0
72,-15.0
73,-15.0
74,-5.0
75,-10.0
76,0.0
77,-10.0
78,5.0
79,-8.0
80,-15.0
81,-10.0
82,-4.0
83,-10.0
84,-15.0
85,-10.0
86,-9.0
87,-14.0
88,-14.0
89,-14.0
90,6.0
91,-5.0
92,-5.0
93,-10.0
94,-5.0
95,2.0
96,-15.0
97,-10.0
98,-15.0
99,-15.0
100,-15.0
101,-15.0
102,-15.0
103,-15.0
104,-14.0
105,-15.0
106,-5.0
107,-10.0
108,-15.0
109,-8.0
110,0.0
111,12.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,-9.0
118,-5.0
119,-14.0
120,-5.0
121,1.0
122,-15.0
123,-5.0
124,-15.0
125,-15.0
126,-15.0
127,1.0
128,-14.0
129,-10.0
130,-15.0
131,-15.0
132,-10.0
133,-10.0
134,-9.0
135,-5.0
136,5.0
137,0.0
138,-5.0
139,-10.0
140,0.0
141,-15.0
142,-15.0
143,-10.0
144,-5.0
145,-15.0
146,-15.0
147,-5.0
148,-15.0
149,-15.0
150,1.0
151,-5.0
