episode,return
1,-15.0
2,-15.0
3,-10.0
4,-15.0
5,-15.0
6,-10.0
7,-9.0
8,-10.0
9,-15.0
10,-10.0
11,-15.0
12,-9.0
13,-14.0
14,-9.0
15,-15.0
16,-15.0
17,-9.0
18,-15.0
19,-15.0
20,-9.0
21,-15.0
22,-15.0
23,-15.0
24,-15.0
25,-15.0
26,-15.0
27,-15.0
28,-15.0
29,-10.0
30,-15.0
31,-15.0
32,-14.0
33,-15.0
34,-10.0
35,-15.0
36,-10.0
37,-10.0
38,-10.0
39,-10.0
40,-10.0
41,-10.0
42,-10.0
43,-10.0
44,-10.0
45,-15.0
46,-15.0
47,-10.0
48,-10.0
49,-15.0
50,-15.0
51,-10.0
52,-15.0
53,-10.0
54,-15.0
55,-10.0
56,-10.0
57,-15.0
58,-15.0
59,-15.0
60,-15.0
61,-15.0
62,-15.0
63,-15.0
64,-15.0
65,-15.0
66,-15.0
67,-15.0
68,-15.0
69,-15.0
70,-10.0
71,-15.0
72,-15.0
73,-15.0
74,-15.0
75,-15.0
76,-15.0
77,-15.0
78,-10.0
79,-10.0
80,-10.0
81,-10.0
