episode,return
1,-15.0
2,-10.0
3,-15.0
4,-15.0
5,-10.0
6,-10.0
7,-10.0
8,-5.0
9,11.0
10,-15.0
11,-5.0
12,-15.0
13,-10.0
14,-14.0
15,-15.0
16,-15.0
17,-15.0
18,-15.0
19,-10.0
20,0.0
21,-14.0
22,-15.0
23,-10.0
24,-14.0
25,-15.0
26,-10.0
27,-10.0
28,-10.0
29,-10.0
30,-10.0
31,-9.0
32,-10.0
33,-9.0
34,-9.0
35,-10.0
36,-15.0
37,-10.0
38,-10.0
39,-15.0
40,-15.0
41,-10.0
42,-15.0
43,-9.0
44,-10.0
45,-10.0
46,-9.0
47,-10.0
48,5.0
49,-4.0
50,-5.0
51,11.0
52,-5.0
53,-10.0
54,-4.0
55,-15.0
56,-5.0
57,-14.0
58,10.0
59,-15.0
60,-10.0
61,-4.0
62,1.0
63,-15.0
64,1.0
65,-4.0
66,0.0
67,-5.0
68,-15.0
69,-15.0
70,-5.0
71,16.0
72,0.0
73,1.0
74,1.0
75,-15.0
76,-15.0
77,-15.0
78,-15.0
79,-10.0
80,-10.0
81,-10.0
82,-10.0
83,-10.0
84,-10.0
85,-10.0
86,-10.0
87,-5.0
88,-15.0
89,-4.0
90,-15.0
91,-10.0
92,12.0
93,5.0
94,18.0
95,-15.0
96,-5.0
97,-14.0
98,10.0
99,-5.0
100,-10.0
101,-10.0
102,2.0
103,-4.0
104,-5.0
105,-15.0
106,-10.0
107,-10.0
108,-10.0
109,-10.0
110,-15.0
111,-14.0
112,-15.0
113,-10.0
114,-10.0
115,-10.0
116,-10.0
117,-10.0
118,-10.0
119,-10.0
120,-15.0
121,-15.0
122,-14.0
123,-5.0
124,-15.0
125,-10.0
126,0.0
127,-15.0
128,0.0
129,6.0
130,-10.0
131,1.0
132,11.0
133,-4.0
134,-5.0
135,-15.0
136,-10.0
137,21.0
138,-5.0
139,-9.0
140,-15.0
141,-14.0
142,-15.0
143,-15.0
144,-10.0
145,-10.0
146,1.0
147,0.0
148,-15.0
149,-15.0
150,-15.0
151,-10.0
152,-15.0
153,-15.0
154,-15.0
155,-10.0
156,-15.0
157,-15.0
158,-10.0
159,-10.0
160,-5.0
161,0.0
162,-10.0
163,-10.0
164,-15.0
165,-15.0
166,-10.0
167,-10.0
168,0.0
169,-9.0
170,2.0
171,-10.0
172,-15.0
173,-15.0
174,0.0
175,-10.0
176,-5.0
177,8.0
178,-3.0
179,5.0
180,-15.0
181,-5.0
182,-15.0
183,5.0
184,10.0
185,-9.0
186,0.0
187,0.0
188,0.0
189,-15.0
190,-15.0
191,-10.0
192,-10.0
193,-10.0
194,15.0
195,-10.0
196,-15.0
197,-9.0
198,-10.0
199,10.0
200,-15.0
201,31.0
202,-15.0
203,-10.0
204,-10.0
205,15.0
206,5.0
207,-15.0
208,-10.0
209,0.0
210,-15.0
211,-10.0
212,-10.0
213,-9.0
214,-15.0
215,-15.0
216,-10.0
217,-10.0
218,-10.0
219,-10.0
220,-10.0
221,-10.0
222,-10.0
223,-9.0
224,1.0
225,15.0
226,-10.0
227,1.0
228,-5.0
229,-14.0
230,-10.0
231,-15.0
232,0.0
233,-15.0
234,-15.0
235,1.0
236,-9.0
237,35.0
238,-9.0
239,5.0
240,-15.0
241,-10.0
242,-10.0
243,-10.0
244,-10.0
245,-10.0
246,-10.0
247,-10.0
248,-10.0
249,-10.0
250,-10.0
251,0.0
252,10.0
253,-15.0
254,-15.0
255,-15.0
256,-9.0
257,-5.0
258,-15.0
259,-10.0
260,-10.0
261,-10.0
262,-15.0
263,-10.0
264,30.0
265,-15.0
266,-10.0
267,1.0
268,10.0
269,-15.0
270,-5.0
271,-5.0
272,-9.0
273,15.0
274,10.0
275,1.0
276,-10.0
277,-15.0
278,-9.0
279,-10.0
280,-15.0
281,10.0
282,-10.0
283,-10.0
284,-10.0
285,-10.0
286,-10.0
287,-10.0
288,-10.0
289,-10.0
290,-15.0
291,-10.0
292,-10.0
293,-14.0
294,-15.0
295,-10.0
296,-10.0
297,-10.0
298,-10.0
299,-10.0
300,-15.0
301,27.0
302,-10.0
303,-4.0
304,-5.0
305,-15.0
306,-15.0
307,-10.0
308,7.0
309,-5.0
310,-10.0
311,-15.0
312,-10.0
313,-14.0
314,-5.0
315,-10.0
316,-9.0
317,-10.0
318,-10.0
319,-15.0
320,-15.0
321,-10.0
322,-10.0
323,-10.0
324,-9.0
325,-14.0
326,31.0
327,7.0
328,5.0
329,-15.0
330,-15.0
331,18.0
332,6.0
333,-15.0
334,-5.0
335,-5.0
336,-15.0
337,-5.0
338,-14.0
339,-5.0
340,-15.0
341,-10.0
342,-9.0
343,-10.0
344,-10.0
345,-10.0
346,19.0
347,27.0
348,20.0
349,-10.0
350,-15.0
351,-15.0
352,-15.0
353,-10.0
354,-10.0
