episode,return
1,-15.0
2,-15.0
3,-15.0
4,-15.0
5,-14.0
6,-14.0
7,-15.0
8,-15.0
9,-15.0
10,-10.0
11,-15.0
12,-15.0
13,-15.0
14,-15.0
15,-15.0
16,-15.0
17,-15.0
18,-15.0
19,-15.0
20,-15.0
21,-15.0
22,-15.0
23,-15.0
24,-15.0
25,-15.0
26,-15.0
27,-15.0
28,-15.0
29,-15.0
30,-15.0
31,-15.0
32,-15.0
33,-15.0
34,-15.0
35,-15.0
36,-15.0
37,-15.0
38,-15.0
39,-15.0
40,-15.0
41,-15.0
42,-15.0
43,-15.0
44,-15.0
45,-15.0
46,-15.0
47,-15.0
48,-15.0
49,-15.0
50,-15.0
51,-10.0
52,-15.0
53,-15.0
54,-10.0
55,-10.0
56,-10.0
57,-10.0
58,-15.0
59,-15.0
60,-14.0
61,-15.0
62,-15.0
63,-15.0
64,-15.0
65,-15.0
66,-15.0
67,-15.0
68,-15.0
69,-15.0
70,-15.0
71,-15.0
72,-15.0
73,-10.0
74,-10.0
75,-10.0
76,-10.0
77,-15.0
78,-15.0
79,-14.0
80,-15.0
81,-15.0
82,-15.0
83,-15.0
84,-15.0
85,-15.0
86,-15.0
87,-14.0
88,-15.0
89,-15.0
90,-15.0
91,-15.0
92,-15.0
93,-15.0
94,-15.0
95,-15.0
96,-15.0
97,-15.0
98,-15.0
99,-15.0
100,-15.0
101,-15.0
102,-15.0
103,-14.0
104,-15.0
105,-14.0
106,-15.0
107,-15.0
108,-14.0
109,-14.0
110,-15.0
111,-14.0
112,-15.0
113,-14.0
114,-15.0
115,-15.0
116,-15.0
117,-15.0
118,-10.0
119,-15.0
120,-15.0
121,-14.0
122,-15.0
123,-15.0
124,-14.0
125,-14.0
126,-15.0
127,-15.0
128,-14.0
129,-15.0
130,-14.0
131,-15.0
132,-10.0
133,-15.0
134,-9.0
135,-15.0
136,-15.0
137,-14.0
138,-10.0
139,-15.0
140,-15.0
141,-15.0
142,-14.0
143,-15.0
144,-15.0
145,-15.0
146,-15.0
147,-15.0
148,-15.0
149,-15.0
150,-14.0
151,-15.0
152,-15.0
153,-15.0
154,-14.0
155,-15.0
156,-15.0
157,-15.0
158,-15.0
159,-15.0
160,-14.0
161,-14.0
162,-15.0
163,-15.0
164,-15.0
165,-14.0
166,-15.0
167,-14.0
168,-15.0
169,-14.0
170,-8.0
171,-15.0
172,-15.0
173,-14.0
174,-10.0
175,-15.0
176,-15.0
177,-15.0
178,-15.0
179,-15.0
180,-15.0
181,-15.0
182,-15.0
183,-10.0
184,-10.0
185,-10.0
186,-10.0
187,-10.0
188,-10.0
189,-10.0
190,-10.0
191,-15.0
192,-10.0
193,-14.0
194,-15.0
195,-15.0
196,-15.0
197,-15.0
198,-14.0
199,-9.0
200,-15.0
201,-10.0
