episode,return
1,-15.0
2,-10.0
3,-5.0
4,-14.0
5,-10.0
6,-10.0
7,-10.0
8,-10.0
9,-15.0
10,-14.0
11,-15.0
12,-15.0
13,-15.0
14,-15.0
15,-15.0
16,-15.0
17,-10.0
18,-14.0
19,-15.0
20,-10.0
21,-15.0
22,-10.0
23,-10.0
24,-5.0
25,-15.0
26,-3.0
27,6.0
28,5.0
29,-9.0
30,-15.0
31,-10.0
32,0.0
33,-9.0
34,-10.0
35,-4.0
36,-9.0
37,-15.0
38,-14.0
39,5.0
40,-9.0
41,8.0
42,-5.0
43,-5.0
44,-10.0
45,-14.0
46,-4.0
47,-4.0
48,-9.0
49,-15.0
50,-5.0
51,-9.0
52,-10.0
53,0.0
54,-10.0
55,-10.0
56,-10.0
57,1.0
58,-15.0
59,-15.0
60,-4.0
61,-15.0
62,-15.0
63,-10.0
64,-14.0
65,-10.0
66,-9.0
67,-9.0
68,-4.0
69,-15.0
70,-5.0
71,-15.0
72,-4.0
73,-5.0
74,0.0
75,-10.0
76,-15.0
77,-10.0
78,-15.0
79,-5.0
80,-14.0
81,-5.0
82,-14.0
83,-15.0
84,-15.0
85,1.0
86,-10.0
87,-3.0
88,-15.0
89,2.0
90,-15.0
91,2.0
92,-14.0
93,0.0
94,-15.0
95,-15.0
96,-5.0
97,-8.0
98,-10.0
99,-10.0
100,-15.0
101,-15.0
102,-4.0
103,-9.0
104,-15.0
105,-9.0
106,-9.0
107,-5.0
108,-5.0
109,-10.0
110,-9.0
111,-15.0
112,-10.0
113,-9.0
114,-9.0
115,-10.0
116,5.0
117,-15.0
118,-4.0
119,1.0
120,5.0
121,-15.0
122,-9.0
123,-14.0
124,-10.0
125,0.0
126,-10.0
127,-10.0
128,-5.0
129,-15.0
130,-15.0
131,-5.0
132,-15.0
133,-9.0
134,-4.0
135,-5.0
136,-10.0
137,13.0
138,-10.0
139,-15.0
140,-3.0
141,-15.0
142,-14.0
143,0.0
144,-9.0
145,-14.0
146,-5.0
147,-15.0
148,-15.0
149,-15.0
150,0.0
151,20.0
152,-15.0
153,-15.0
154,-10.0
155,-9.0
156,-14.0
157,5.0
158,1.0
159,15.0
160,-15.0
161,1.0
162,-15.0
163,-5.0
164,-15.0
165,-4.0
166,35.0
167,-4.0
168,0.0
169,-14.0
170,-14.0
171,-9.0
172,-10.0
173,-15.0
174,-15.0
175,-9.0
176,-5.0
177,11.0
178,-5.0
179,2.0
180,0.0
181,5.0
182,-15.0
183,20.0
184,-15.0
185,47.0
186,6.0
187,1.0
188,-15.0
189,3.0
190,-9.0
191,-9.0
192,5.0
193,21.0
194,-5.0
195,7.0
196,-9.0
197,11.0
198,-4.0
199,10.0
200,14.0
201,-10.0
202,-10.0
203,-15.0
204,-9.0
205,-5.0
206,25.0
207,-14.0
208,-9.0
209,-10.0
210,-15.0
211,-14.0
212,-3.0
213,16.0
214,-10.0
215,0.0
216,-15.0
217,-3.0
218,-10.0
219,12.0
220,-2.0
221,-10.0
222,-15.0
223,41.0
224,-9.0
225,-15.0
226,-9.0
227,-10.0
228,-10.0
229,-9.0
230,28.0
231,22.0
232,20.0
233,-15.0
234,5.0
235,6.0
236,-10.0
237,-15.0
238,-10.0
239,-4.0
240,-10.0
241,1.0
242,-15.0
243,-10.0
244,-15.0
245,-15.0
246,-10.0
247,-14.0
248,1.0
249,-9.0
250,-9.0
251,-15.0
252,0.0
253,-10.0
254,-15.0
255,-4.0
256,-5.0
257,0.0
258,14.0
259,-10.0
260,-5.0
261,-9.0
262,-15.0
263,-10.0
264,10.0
265,-9.0
266,-15.0
267,-5.0
268,-15.0
269,-10.0
270,-10.0
271,-4.0
272,-10.0
273,0.0
274,-9.0
275,-14.0
276,11.0
277,-9.0
278,-15.0
279,-10.0
280,8.0
281,-8.0
282,-10.0
283,-9.0
284,-10.0
285,-15.0
286,5.0
287,-15.0
288,-3.0
289,-10.0
290,-15.0
291,-15.0
292,-9.0
293,-15.0
294,-15.0
295,17.0
296,-4.0
297,25.0
298,5.0
299,-14.0
300,11.0
301,-14.0
302,-9.0
303,-14.0
304,-15.0
305,-10.0
306,-5.0
307,-14.0
308,-15.0
309,-10.0
310,-10.0
311,-14.0
312,-10.0
313,-10.0
314,-14.0
315,-5.0
316,15.0
317,-14.0
318,-10.0
319,1.0
320,1.0
321,-15.0
322,-4.0
323,-10.0
324,-14.0
325,-10.0
326,-10.0
327,-9.0
328,-5.0
329,-10.0
330,-10.0
331,10.0
332,-15.0
333,-10.0
334,-15.0
335,-15.0
336,0.0
337,-10.0
338,-15.0
339,0.0
340,-9.0
341,-14.0
342,-10.0
343,22.0
344,7.0
345,1.0
346,-4.0
347,11.0
348,-5.0
349,-9.0
350,6.0
351,-9.0
352,-15.0
353,-15.0
354,-5.0
355,-10.0
356,-15.0
357,-15.0
358,-15.0
