episode,return
1,-15.0
2,-15.0
3,-14.0
4,-15.0
5,-15.0
6,-15.0
7,-15.0
8,-14.0
9,-10.0
10,-14.0
11,-15.0
12,-15.0
13,-15.0
14,-15.0
15,-14.0
16,-15.0
17,-15.0
18,-15.0
19,-15.0
20,-10.0
21,-15.0
22,-15.0
23,-15.0
24,-10.0
25,-15.0
26,-15.0
27,-15.0
28,-10.0
29,-10.0
30,-9.0
31,-10.0
32,-10.0
33,-10.0
34,-15.0
35,-9.0
36,-5.0
37,-10.0
38,-9.0
39,-15.0
40,-15.0
41,-5.0
42,-15.0
43,-9.0
44,-10.0
45,-15.0
46,2.0
47,-10.0
48,-5.0
49,-14.0
50,6.0
51,-10.0
52,-5.0
53,-5.0
54,-9.0
55,-10.0
56,-9.0
57,-15.0
58,-10.0
59,-14.0
60,-15.0
61,-4.0
62,-10.0
63,-15.0
64,-9.0
65,6.0
66,1.0
67,-14.0
68,-15.0
69,-9.0
70,-15.0
71,-5.0
72,-5.0
73,-5.0
74,-10.0
75,-15.0
76,-15.0
77,-15.0
78,-10.0
79,-15.0
80,-15.0
81,13.0
82,1.0
83,-10.0
84,-15.0
85,-10.0
86,-15.0
87,-14.0
88,-15.0
89,-15.0
90,-10.0
91,-5.0
92,-15.0
93,-4.0
94,-10.0
95,5.0
96,-15.0
97,-10.0
98,-15.0
99,-10.0
100,-10.0
101,-15.0
102,-15.0
103,-15.0
104,-4.0
105,0.0
106,-10.0
107,-10.0
108,-15.0
109,-9.0
110,-5.0
111,-10.0
112,-15.0
113,-15.0
114,-15.0
115,-10.0
116,-4.0
117,-15.0
118,-5.0
119,-14.0
120,-10.0
121,-15.0
122,-14.0
123,-15.0
124,-15.0
125,-5.0
126,-10.0
127,-5.0
128,-10.0
129,-10.0
130,-15.0
131,-10.0
132,-10.0
133,12.0
134,0.0
135,-5.0
136,-10.0
137,-10.0
138,-10.0
139,-10.0
140,-14.0
141,-5.0
142,-5.0
143,-10.0
144,-15.0
145,-9.0
146,-3.0
147,-10.0
148,-4.0
149,-5.0
150,-15.0
