episode,return
1,-15.0
2,-15.0
3,-15.0
4,-15.0
5,-15.0
6,-15.0
7,-15.0
8,-15.0
9,-15.0
10,-15.0
11,-15.0
12,-15.0
13,-15.0
14,-15.0
15,-15.0
16,-15.0
17,-15.0
18,-15.0
19,-15.0
20,-14.0
21,-10.0
22,-10.0
23,-10.0
24,-10.0
25,-10.0
26,-5.0
27,-10.0
28,-15.0
29,-15.0
30,-15.0
31,-15.0
32,-15.0
33,-15.0
34,-15.0
35,-10.0
36,-15.0
37,-15.0
38,-14.0
39,-15.0
40,-10.0
41,-15.0
42,-15.0
43,-15.0
44,-10.0
45,-14.0
46,-15.0
47,-15.0
48,-15.0
49,-15.0
50,-15.0
51,-15.0
52,-10.0
53,-15.0
54,-5.0
55,-15.0
56,-10.0
57,-14.0
58,-15.0
59,-15.0
60,-15.0
61,-15.0
62,-15.0
63,-5.0
64,-15.0
65,-15.0
66,-10.0
67,-14.0
68,-3.0
69,-14.0
70,-15.0
71,-15.0
72,-9.0
73,6.0
74,-5.0
75,-9.0
76,-15.0
77,-15.0
78,-10.0
79,-5.0
80,-15.0
81,-9.0
82,-9.0
83,-10.0
84,-15.0
85,-10.0
86,-15.0
87,-9.0
88,-9.0
89,-10.0
90,-10.0
91,-15.0
92,-10.0
93,-9.0
94,-15.0
95,-14.0
96,-10.0
97,-10.0
98,-9.0
99,-10.0
100,-14.0
101,-10.0
102,-15.0
103,-15.0
104,-15.0
105,-15.0
106,-15.0
107,-15.0
108,-15.0
109,-15.0
110,-15.0
