episode,return
1,-15.0
2,-9.0
3,-15.0
4,-15.0
5,-14.0
6,-15.0
7,-15.0
8,-15.0
9,-15.0
10,-15.0
11,-14.0
12,-10.0
13,-15.0
14,-15.0
15,-10.0
16,-15.0
17,-10.0
18,-10.0
19,-9.0
20,-10.0
21,-9.0
22,-15.0
23,-10.0
24,-14.0
25,-15.0
26,-10.0
27,-4.0
28,-9.0
29,-15.0
30,-15.0
31,-9.0
32,-15.0
33,0.0
34,25.0
35,1.0
36,0.0
37,6.0
38,1.0
39,-15.0
40,-10.0
41,-15.0
42,-10.0
43,-15.0
44,-15.0
45,-10.0
46,-10.0
47,-10.0
48,-15.0
49,-15.0
50,-15.0
51,-15.0
52,-15.0
53,-9.0
54,-15.0
55,-10.0
56,-14.0
57,-10.0
58,-4.0
59,-15.0
60,5.0
61,-10.0
62,17.0
63,-10.0
64,-5.0
65,-15.0
66,-15.0
67,-10.0
68,-10.0
69,-15.0
70,-14.0
71,-9.0
72,-10.0
73,-9.0
74,-4.0
75,-10.0
76,-10.0
77,-5.0
78,-14.0
79,-5.0
80,-15.0
81,-10.0
82,-9.0
83,-15.0
84,-15.0
85,-10.0
86,-10.0
87,-10.0
88,-10.0
89,-15.0
90,-10.0
91,-15.0
92,-10.0
93,-15.0
94,-15.0
95,-15.0
96,-10.0
97,-15.0
98,-9.0
99,-10.0
100,-9.0
101,-15.0
102,-15.0
103,-9.0
104,-14.0
105,-9.0
106,-10.0
107,-14.0
108,-15.0
109,-15.0
110,-15.0
111,-15.0
112,-15.0
113,-10.0
114,-10.0
115,-10.0
116,-9.0
117,-15.0
118,-10.0
119,-10.0
120,-15.0
121,-15.0
122,-15.0
123,-15.0
124,-10.0
125,-9.0
126,-15.0
127,-9.0
128,-15.0
129,-9.0
130,0.0
131,-14.0
132,-14.0
133,-10.0
134,-15.0
135,-10.0
136,-15.0
137,-15.0
138,-15.0
139,-15.0
140,-15.0
141,-15.0
142,-15.0
143,-15.0
144,-10.0
145,-10.0
146,-14.0
147,20.0
148,10.0
149,-4.0
150,-15.0
151,-10.0
152,-10.0
153,-10.0
154,14.0
155,1.0
156,11.0
157,-4.0
158,-15.0
159,-15.0
160,-5.0
161,-15.0
162,-14.0
163,-15.0
164,-10.0
165,-10.0
166,-14.0
167,-15.0
168,-15.0
169,-15.0
170,-15.0
171,-10.0
172,-15.0
173,-15.0
174,-15.0
175,-15.0
176,-15.0
177,-15.0
178,-15.0
179,-14.0
180,-9.0
181,-4.0
182,-15.0
183,-15.0
184,-15.0
185,-10.0
186,-10.0
187,-15.0
188,-15.0
189,-15.0
190,-15.0
191,-15.0
192,-5.0
193,-15.0
194,-15.0
195,-15.0
196,-10.0
197,-5.0
198,-5.0
199,7.0
200,-15.0
201,-9.0
202,-10.0
203,-15.0
204,-15.0
205,-10.0
206,-15.0
207,-10.0
208,-15.0
209,-15.0
210,-9.0
211,-15.0
212,-10.0
213,-9.0
214,-15.0
215,-10.0
216,-15.0
217,-9.0
218,-15.0
219,-9.0
220,-9.0
221,-15.0
222,-15.0
223,-9.0
224,-10.0
225,-15.0
226,-10.0
227,-10.0
228,-15.0
229,-10.0
230,-15.0
