episode,return
1,-10.0
2,5.0
3,-5.0
4,-15.0
5,0.0
6,-5.0
7,-10.0
8,-10.0
9,-10.0
10,-10.0
11,-10.0
12,-10.0
13,-10.0
14,-15.0
15,-15.0
16,-15.0
17,-15.0
18,-15.0
19,-15.0
20,-14.0
21,-15.0
22,-10.0
23,-10.0
24,-10.0
25,-10.0
26,-10.0
27,-15.0
28,-15.0
29,-15.0
30,-15.0
31,-15.0
32,-15.0
33,-15.0
34,-10.0
35,-10.0
36,-10.0
37,-15.0
38,-10.0
39,-15.0
40,-15.0
41,-15.0
42,-10.0
43,-15.0
44,-15.0
45,-15.0
46,-15.0
47,-15.0
48,-15.0
49,-15.0
50,-10.0
51,-10.0
52,-15.0
53,-10.0
54,-15.0
55,-10.0
56,-10.0
57,-10.0
58,-9.0
59,-10.0
60,-10.0
61,-10.0
62,-15.0
63,-10.0
64,-10.0
65,-10.0
66,-10.0
67,-10.0
68,-10.0
69,-10.0
70,-5.0
71,-9.0
72,-9.0
73,-14.0
74,-5.0
75,-5.0
76,5.0
77,-9.0
78,-15.0
79,-14.0
80,-9.0
81,-9.0
82,1.0
83,-15.0
84,-15.0
85,-10.0
86,-15.0
87,-10.0
88,-14.0
89,-10.0
90,-10.0
91,-5.0
92,-15.0
93,-10.0
94,-15.0
95,-4.0
96,-4.0
97,-9.0
98,-10.0
99,-15.0
100,-9.0
101,-15.0
102,-10.0
103,-10.0
104,-5.0
105,-9.0
106,-9.0
107,-10.0
108,-10.0
109,-9.0
110,-10.0
111,-5.0
112,-5.0
113,-10.0
114,-14.0
115,-10.0
116,-9.0
117,-10.0
118,-10.0
119,-10.0
120,-10.0
121,-15.0
122,-15.0
123,-10.0
124,-10.0
125,-10.0
126,-10.0
127,-9.0
128,-14.0
129,-15.0
130,-10.0
131,-10.0
132,-10.0
133,-10.0
134,-10.0
135,-15.0
136,-10.0
137,-10.0
138,-9.0
139,-10.0
140,-9.0
141,-10.0
142,-10.0
143,-9.0
144,-9.0
145,-10.0
146,-10.0
147,-14.0
148,-10.0
149,-10.0
150,-10.0
151,-9.0
152,-9.0
153,-10.0
154,-10.0
155,-10.0
156,-15.0
157,-9.0
158,-15.0
159,-10.0
160,-10.0
161,-10.0
162,-9.0
163,-15.0
164,-10.0
165,-15.0
166,-14.0
167,-15.0
168,-9.0
169,-14.0
170,1.0
171,-10.0
172,-10.0
173,-10.0
174,-15.0
175,-15.0
176,-10.0
177,-15.0
178,-15.0
179,-15.0
180,-15.0
181,-15.0
182,-15.0
183,-14.0
184,-15.0
185,-15.0
186,-15.0
187,-15.0
188,-15.0
189,-15.0
190,-10.0
191,-14.0
192,-15.0
193,-15.0
194,-15.0
195,-15.0
196,-15.0
197,-15.0
198,-15.0
199,-15.0
200,-15.0
201,-15.0
202,-15.0
203,-15.0
204,-15.0
205,-15.0
206,-15.0
207,-14.0
208,-10.0
209,-4.0
210,-15.0
211,-10.0
212,-10.0
