episode,return
1,2.0
2,5.0
3,2.0
4,7.0
5,4.0
6,2.0
7,3.0
8,2.0
9,3.0
10,4.0
11,2.0
12,5.0
13,4.0
14,4.0
15,2.0
16,4.0
17,3.0
18,4.0
19,5.0
20,6.0
21,4.0
22,2.0
23,2.0
24,2.0
25,2.0
26,3.0
27,2.0
28,2.0
29,2.0
30,2.0
31,2.0
32,2.0
33,6.0
34,7.0
35,6.0
36,4.0
37,3.0
38,4.0
39,6.0
40,2.0
41,2.0
42,5.0
43,5.0
44,8.0
45,4.0
46,7.0
47,7.0
48,2.0
49,2.0
50,2.0
51,2.0
52,2.0
53,4.0
54,2.0
55,4.0
56,2.0
57,5.0
58,5.0
59,5.0
60,4.0
61,8.0
62,7.0
63,4.0
64,6.0
65,8.0
66,4.0
67,4.0
68,4.0
69,4.0
70,4.0
71,4.0
72,4.0
73,4.0
74,4.0
75,4.0
76,4.0
77,4.0
78,4.0
79,4.0
80,6.0
81,5.0
82,3.0
83,3.0
84,4.0
85,4.0
86,4.0
87,6.0
88,3.0
89,8.0
90,4.0
91,3.0
92,4.0
93,5.0
94,5.0
95,2.0
96,2.0
97,2.0
98,4.0
99,7.0
100,5.0
101,6.0
102,5.0
103,7.0
104,7.0
105,7.0
106,4.0
107,5.0
108,4.0
109,4.0
110,4.0
111,2.0
112,2.0
113,4.0
114,4.0
115,4.0
116,4.0
117,4.0
118,4.0
119,4.0
120,4.0
121,4.0
122,4.0
123,4.0
124,4.0
125,6.0
126,4.0
127,4.0
128,4.0
129,4.0
130,7.0
131,4.0
132,2.0
133,4.0
134,3.0
135,2.0
136,2.0
137,3.0
138,4.0
139,5.0
140,4.0
141,2.0
142,4.0
143,4.0
144,2.0
145,2.0
146,6.0
147,4.0
148,3.0
149,3.0
150,4.0
151,5.0
152,3.0
153,2.0
154,5.0
155,5.0
156,8.0
157,5.0
158,2.0
159,2.0
160,5.0
161,4.0
162,5.0
163,5.0
164,2.0
165,2.0
166,2.0
167,6.0
168,2.0
169,4.0
170,4.0
171,4.0
172,5.0
173,4.0
174,5.0
175,2.0
176,4.0
177,7.0
178,2.0
179,5.0
180,5.0
181,6.0
182,5.0
183,5.0
184,5.0
185,5.0
186,6.0
187,3.0
188,5.0
189,6.0
190,4.0
191,4.0
192,3.0
193,4.0
194,4.0
195,3.0
196,5.0
197,3.0
198,7.0
199,5.0
200,5.0
201,2.0
202,5.0
203,4.0
204,4.0
205,4.0
206,5.0
207,5.0
208,5.0
209,4.0
210,2.0
211,4.0
212,4.0
213,6.0
214,5.0
215,11.0
216,4.0
217,4.0
218,4.0
219,4.0
220,4.0
221,2.0
222,4.0
223,2.0
224,2.0
225,2.0
226,4.0
