episode,return
1,-14.0
2,-15.0
3,-9.0
4,-10.0
5,-10.0
6,-15.0
7,-15.0
8,-15.0
9,-15.0
10,-15.0
11,-15.0
12,-15.0
13,-15.0
14,-15.0
15,-15.0
16,-15.0
17,-15.0
18,-14.0
19,-9.0
20,-15.0
21,-10.0
22,-10.0
23,-10.0
24,-10.0
25,-10.0
26,-10.0
27,-10.0
28,-10.0
29,-10.0
30,-9.0
31,-9.0
32,-15.0
33,-10.0
34,-9.0
35,-10.0
36,-10.0
37,-10.0
38,-10.0
39,1.0
40,-4.0
41,-15.0
42,-15.0
43,-9.0
44,-10.0
45,-10.0
46,-15.0
47,0.0
48,-9.0
49,-15.0
50,-10.0
51,-15.0
52,-10.0
53,-15.0
54,-10.0
55,-15.0
56,-15.0
57,-15.0
58,-15.0
59,0.0
60,5.0
61,6.0
62,-15.0
63,-10.0
64,11.0
65,-3.0
66,-5.0
67,11.0
68,-9.0
69,-15.0
70,-15.0
71,-14.0
72,-4.0
73,-15.0
74,-15.0
75,-5.0
76,-10.0
77,-5.0
78,-5.0
79,-5.0
80,-5.0
81,11.0
82,-5.0
83,-15.0
84,-15.0
85,-4.0
86,0.0
87,-5.0
88,-15.0
89,0.0
90,-8.0
91,-9.0
92,-15.0
93,12.0
94,-15.0
95,-5.0
96,-15.0
97,-4.0
98,-10.0
99,10.0
100,0.0
101,-15.0
102,-15.0
103,5.0
104,-10.0
105,-5.0
106,0.0
107,10.0
108,0.0
109,-15.0
110,-15.0
111,-5.0
112,-9.0
113,-15.0
114,-5.0
115,-10.0
116,-8.0
117,0.0
118,20.0
119,-10.0
120,-10.0
121,-10.0
122,-3.0
123,0.0
124,21.0
125,-10.0
126,13.0
127,-10.0
128,-15.0
129,-5.0
130,20.0
131,-10.0
132,-15.0
133,-15.0
134,-14.0
135,-10.0
136,-15.0
137,-14.0
138,0.0
139,-9.0
140,-9.0
141,-15.0
142,-10.0
143,-14.0
144,-10.0
145,-5.0
146,-9.0
147,-5.0
148,-10.0
149,-5.0
150,-9.0
151,-8.0
152,-9.0
153,-5.0
154,-5.0
155,-10.0
156,-4.0
157,6.0
158,-15.0
159,-5.0
160,10.0
161,-5.0
162,1.0
163,-10.0
164,-14.0
165,-5.0
166,20.0
167,-15.0
168,-15.0
169,2.0
170,30.0
171,-15.0
172,5.0
173,5.0
174,7.0
175,-15.0
176,-4.0
177,7.0
178,-8.0
179,-3.0
180,-10.0
181,-3.0
182,11.0
183,10.0
184,-9.0
185,-4.0
186,-15.0
187,-15.0
188,15.0
189,-15.0
190,-9.0
191,2.0
192,-15.0
193,11.0
194,0.0
195,-15.0
196,-14.0
197,-9.0
198,-10.0
199,-9.0
200,-9.0
201,-15.0
202,-10.0
203,16.0
204,-14.0
205,-5.0
206,-4.0
207,5.0
208,-15.0
209,-9.0
210,-9.0
211,1.0
212,-15.0
213,-15.0
214,-14.0
215,-10.0
216,-15.0
217,4.0
218,-15.0
219,-14.0
220,22.0
221,-9.0
222,5.0
223,-10.0
224,14.0
225,-14.0
226,-9.0
227,-15.0
228,-14.0
229,-10.0
230,22.0
231,2.0
232,-14.0
233,-15.0
234,-9.0
235,10.0
236,1.0
237,-15.0
238,-5.0
239,-15.0
240,-9.0
241,-5.0
242,-15.0
243,-9.0
244,-5.0
245,-10.0
246,-9.0
247,41.0
248,0.0
249,-10.0
250,-4.0
251,-9.0
252,-9.0
253,-9.0
254,-4.0
255,-15.0
256,0.0
257,-10.0
258,-15.0
259,-9.0
260,-15.0
261,-4.0
262,8.0
263,-5.0
264,8.0
265,15.0
266,-10.0
267,20.0
268,-9.0
269,-10.0
270,-14.0
271,-4.0
272,-15.0
273,0.0
274,-10.0
275,1.0
276,-10.0
277,-4.0
278,-4.0
279,11.0
280,5.0
281,-10.0
282,-10.0
283,-15.0
284,-8.0
285,-9.0
286,-5.0
287,-9.0
288,-5.0
289,-4.0
290,-3.0
291,-9.0
292,-8.0
293,5.0
294,-9.0
295,-10.0
296,-15.0
297,10.0
298,-5.0
299,-15.0
300,-10.0
301,-8.0
302,3.0
303,2.0
304,-15.0
305,10.0
306,-9.0
307,-10.0
308,6.0
309,5.0
310,13.0
311,46.0
312,22.0
313,-5.0
314,-5.0
315,-5.0
316,-14.0
317,-5.0
318,-9.0
319,1.0
320,-14.0
321,2.0
322,42.0
323,-10.0
324,5.0
325,-15.0
326,-4.0
327,-15.0
328,-15.0
329,-15.0
330,-15.0
331,-15.0
332,-5.0
333,-15.0
334,-14.0
335,-15.0
336,-15.0
337,-9.0
338,-15.0
339,15.0
340,-10.0
341,-14.0
342,-15.0
343,16.0
344,-15.0
345,-10.0
346,-15.0
347,-10.0
348,-9.0
349,10.0
350,-10.0
351,-10.0
352,-10.0
353,-9.0
354,-5.0
355,-4.0
356,-15.0
357,-9.0
358,5.0
359,-14.0
360,-15.0
361,-15.0
362,6.0
363,-10.0
364,10.0
365,-9.0
366,-9.0
367,0.0
368,-10.0
369,-9.0
370,-2.0
371,-9.0
372,-5.0
373,0.0
374,10.0
375,1.0
376,-10.0
377,20.0
378,1.0
379,-9.0
380,-10.0
381,-14.0
382,-10.0
383,-9.0
384,-15.0
385,-4.0
386,-5.0
387,-15.0
388,-14.0
389,-9.0
390,11.0
391,-15.0
392,-15.0
393,15.0
394,-14.0
395,-15.0
396,-5.0
397,20.0
398,5.0
399,-5.0
400,-10.0
401,-10.0
402,5.0
403,-5.0
404,-15.0
405,-15.0
406,-5.0
407,-10.0
408,-14.0
409,-15.0
410,32.0
411,-10.0
412,-4.0
413,-10.0
414,-15.0
415,-4.0
416,10.0
417,-14.0
418,17.0
419,-10.0
420,5.0
421,-10.0
422,-10.0
423,-10.0
424,-4.0
425,-10.0
426,-14.0
427,-15.0
428,-14.0
429,-9.0
430,-4.0
431,21.0
432,-10.0
433,5.0
434,-5.0
435,-15.0
436,-15.0
437,10.0
438,-10.0
439,-4.0
440,-14.0
441,-15.0
442,-5.0
443,-14.0
444,-5.0
445,5.0
446,-15.0
447,-10.0
448,-15.0
449,5.0
450,-10.0
451,5.0
452,-9.0
453,10.0
454,0.0
455,0.0
456,-5.0
457,-4.0
458,11.0
459,5.0
460,10.0
461,11.0
462,1.0
463,-4.0
464,-5.0
465,-15.0
466,5.0
467,-5.0
468,-4.0
