episode,return
1,-15.0
2,-5.0
3,0.0
4,-10.0
5,-10.0
6,-15.0
7,-10.0
8,-5.0
9,-9.0
10,-15.0
11,-15.0
12,-10.0
13,-5.0
14,-10.0
15,-10.0
16,-9.0
17,-10.0
18,-10.0
19,-10.0
20,-15.0
21,-15.0
22,-9.0
23,-15.0
24,-9.0
25,-15.0
26,-15.0
27,-15.0
28,-15.0
29,-15.0
30,-15.0
31,-15.0
32,-15.0
33,-15.0
34,-15.0
35,-15.0
36,-15.0
37,-15.0
38,-15.0
39,-15.0
40,-15.0
41,-15.0
42,-15.0
43,-15.0
44,-14.0
45,-15.0
46,-15.0
47,-15.0
48,-15.0
49,-15.0
50,-15.0
51,-15.0
52,-15.0
53,-15.0
54,-15.0
55,-15.0
56,-15.0
57,-15.0
58,-15.0
59,-15.0
60,-15.0
61,-15.0
62,-14.0
63,-15.0
64,-15.0
65,-15.0
66,-9.0
67,-14.0
68,-15.0
69,-10.0
70,-15.0
71,-15.0
72,-9.0
73,-14.0
74,-9.0
75,-15.0
76,-9.0
77,-10.0
78,-15.0
79,-10.0
80,-10.0
81,-15.0
82,-10.0
83,-10.0
84,-15.0
85,-14.0
86,-9.0
87,-10.0
88,-10.0
89,-10.0
90,-10.0
91,-10.0
92,-15.0
93,-9.0
94,-10.0
95,-15.0
96,-9.0
97,-10.0
98,-10.0
99,-15.0
100,-9.0
101,-10.0
102,-10.0
103,-9.0
104,-10.0
105,-10.0
106,-10.0
107,-10.0
108,-14.0
109,-9.0
110,-10.0
111,-10.0
112,-9.0
113,-9.0
114,-15.0
115,-9.0
116,-10.0
117,-15.0
118,-10.0
119,-9.0
120,-10.0
121,-10.0
122,-10.0
123,-9.0
124,-15.0
125,-10.0
126,-15.0
127,-15.0
128,-10.0
129,-10.0
130,-10.0
131,-14.0
132,-9.0
133,-10.0
134,-10.0
135,-10.0
136,-5.0
137,-10.0
138,-15.0
139,-14.0
140,-9.0
141,-9.0
142,-15.0
143,-9.0
144,-15.0
145,-14.0
146,-10.0
147,-10.0
148,-9.0
149,-5.0
150,-10.0
151,-10.0
152,-10.0
153,-9.0
154,-8.0
155,-15.0
156,-10.0
157,-15.0
158,-15.0
159,0.0
160,-10.0
161,-5.0
162,-10.0
163,-10.0
164,-15.0
165,-15.0
166,1.0
167,-5.0
168,-15.0
169,-5.0
170,1.0
171,-10.0
172,-9.0
173,-14.0
174,0.0
175,-4.0
176,-5.0
177,10.0
178,-15.0
179,5.0
180,-10.0
181,-9.0
182,-5.0
183,-14.0
184,1.0
185,-5.0
186,11.0
187,-10.0
188,-15.0
189,27.0
190,5.0
191,10.0
192,-5.0
193,-15.0
194,-5.0
195,-9.0
196,7.0
197,-3.0
198,-10.0
199,-10.0
200,-10.0
201,9.0
202,-5.0
203,2.0
204,16.0
205,-5.0
206,-5.0
207,-10.0
208,-14.0
209,-10.0
210,-5.0
211,-15.0
212,0.0
213,-10.0
214,-10.0
215,5.0
216,-10.0
217,0.0
218,-10.0
219,-9.0
220,-10.0
221,-15.0
222,-10.0
223,-9.0
224,-10.0
225,6.0
226,-10.0
227,6.0
228,-9.0
