episode,return
1,-14.0
2,-15.0
3,-10.0
4,-15.0
5,-15.0
6,-15.0
7,-15.0
8,-15.0
9,-15.0
10,-9.0
11,-15.0
12,-15.0
13,-15.0
14,-15.0
15,-15.0
16,-15.0
17,-15.0
18,-15.0
19,-15.0
20,-15.0
21,-15.0
22,-15.0
23,-15.0
24,-15.0
25,-15.0
26,-15.0
27,-15.0
28,-15.0
29,-15.0
30,-15.0
31,-15.0
32,-14.0
33,-15.0
34,-15.0
35,-15.0
36,-15.0
37,-15.0
38,-15.0
39,-15.0
40,-15.0
41,-15.0
42,-15.0
43,-15.0
44,-10.0
45,1.0
46,1.0
47,-10.0
48,-10.0
49,-10.0
50,-10.0
51,-9.0
52,-5.0
53,-10.0
54,-15.0
55,-15.0
56,-15.0
57,-10.0
58,-10.0
59,-15.0
60,-10.0
61,-15.0
62,1.0
63,-10.0
64,-9.0
65,1.0
66,-5.0
67,-10.0
68,-5.0
69,-15.0
70,-10.0
71,-15.0
72,-10.0
73,-5.0
74,-10.0
75,-14.0
76,-5.0
77,-5.0
78,-15.0
79,-5.0
80,-5.0
81,-5.0
82,-15.0
83,-5.0
84,-10.0
85,-10.0
86,-10.0
87,-5.0
88,0.0
89,1.0
90,-15.0
91,0.0
92,-9.0
93,-10.0
94,-15.0
95,0.0
96,-9.0
97,0.0
98,16.0
99,-9.0
100,-5.0
101,-15.0
102,-15.0
103,-15.0
104,0.0
105,-15.0
106,1.0
107,-15.0
108,17.0
109,5.0
110,22.0
111,-4.0
112,1.0
113,-5.0
114,-15.0
115,-10.0
116,-14.0
117,-5.0
118,-4.0
119,10.0
120,-10.0
121,-14.0
122,-14.0
123,-10.0
124,-15.0
125,1.0
126,5.0
127,-5.0
128,-15.0
129,-15.0
130,-3.0
131,-5.0
132,-15.0
133,-15.0
134,-5.0
135,-15.0
136,-5.0
137,-4.0
138,0.0
139,-10.0
140,0.0
141,-15.0
142,22.0
143,-10.0
144,-14.0
145,-15.0
146,16.0
147,-5.0
148,-10.0
149,-10.0
150,-5.0
151,-15.0
152,-10.0
153,-10.0
154,-10.0
155,11.0
156,-5.0
157,-15.0
158,-5.0
159,-15.0
160,-15.0
161,-10.0
162,5.0
163,5.0
164,0.0
165,20.0
166,-15.0
167,-3.0
168,0.0
169,-10.0
170,-15.0
171,-5.0
172,-10.0
173,-4.0
174,-5.0
175,-5.0
176,-10.0
177,-15.0
178,-10.0
179,-9.0
180,-15.0
181,-15.0
182,1.0
183,-5.0
184,-9.0
185,-9.0
186,-10.0
187,0.0
188,-5.0
189,-10.0
190,-9.0
191,-10.0
192,-15.0
193,-9.0
194,-5.0
195,-8.0
196,-9.0
197,11.0
198,-15.0
199,-15.0
200,0.0
201,-10.0
202,-15.0
203,-14.0
204,-15.0
205,-10.0
206,-5.0
207,0.0
208,-10.0
209,-10.0
210,-5.0
211,-15.0
212,-5.0
213,-14.0
214,-9.0
215,-14.0
216,-3.0
217,-15.0
218,-15.0
219,-15.0
220,-10.0
221,10.0
222,-9.0
223,0.0
224,15.0
225,-15.0
226,13.0
227,0.0
228,-9.0
229,-5.0
230,-9.0
231,-8.0
232,-10.0
