episode,return
1,-15.0
2,-15.0
3,-9.0
4,-9.0
5,-15.0
6,-15.0
7,-15.0
8,-15.0
9,-15.0
10,-15.0
11,-15.0
12,-15.0
13,-15.0
14,-15.0
15,-15.0
16,-15.0
17,-15.0
18,-15.0
19,-10.0
20,-10.0
21,-10.0
22,-14.0
23,-10.0
24,-10.0
25,-10.0
26,-10.0
27,-15.0
28,-10.0
29,-10.0
30,-14.0
31,-10.0
32,-9.0
33,-15.0
34,-10.0
35,-10.0
36,-10.0
37,-10.0
38,-9.0
39,-9.0
40,-10.0
41,-9.0
42,-15.0
43,-15.0
44,-10.0
45,-10.0
46,-10.0
47,-10.0
48,-10.0
49,-10.0
50,-15.0
51,-10.0
52,-4.0
53,-5.0
54,-5.0
55,-5.0
56,1.0
57,-4.0
58,-8.0
59,0.0
60,-5.0
61,-15.0
62,-15.0
63,-15.0
64,-10.0
65,-15.0
66,-15.0
67,-15.0
68,-15.0
69,-10.0
70,-15.0
71,-5.0
72,-15.0
73,20.0
74,0.0
75,5.0
76,-4.0
77,-15.0
78,-4.0
79,0.0
80,1.0
81,-5.0
82,5.0
83,-10.0
84,-5.0
85,0.0
86,-9.0
87,-15.0
88,-14.0
89,-10.0
90,-5.0
91,-9.0
92,-5.0
93,0.0
94,-5.0
95,-5.0
96,-14.0
97,-15.0
98,-10.0
99,-10.0
100,-5.0
101,-14.0
102,-4.0
103,-15.0
104,-15.0
105,-5.0
106,-10.0
107,-4.0
108,-4.0
109,-15.0
110,-5.0
111,-5.0
112,-9.0
113,-5.0
114,-4.0
115,-5.0
116,-5.0
117,5.0
118,-14.0
119,10.0
120,-15.0
121,-14.0
122,-15.0
123,-10.0
124,-15.0
125,-10.0
126,-5.0
127,-5.0
128,-14.0
129,-9.0
130,-14.0
131,-9.0
132,-5.0
133,-4.0
134,-4.0
135,-10.0
136,15.0
137,-9.0
138,-10.0
139,-10.0
140,-5.0
141,-14.0
142,-15.0
143,-4.0
144,-15.0
145,-10.0
146,-5.0
147,5.0
148,-10.0
149,-4.0
150,-5.0
151,45.0
152,15.0
153,-15.0
154,-4.0
155,0.0
156,-15.0
157,-15.0
158,-4.0
159,-10.0
160,-15.0
161,-10.0
162,-15.0
163,-15.0
164,-4.0
165,-15.0
166,-9.0
167,0.0
168,-15.0
169,-15.0
170,-15.0
171,0.0
172,-9.0
173,-10.0
174,-4.0
175,20.0
176,-15.0
177,-14.0
178,0.0
179,-5.0
180,-15.0
181,-15.0
182,1.0
183,-4.0
184,-9.0
185,-15.0
186,1.0
187,-10.0
188,5.0
189,-15.0
190,1.0
191,2.0
192,-15.0
193,16.0
194,-10.0
195,-10.0
196,0.0
197,11.0
198,22.0
199,-14.0
200,-5.0
201,5.0
202,-4.0
203,-15.0
204,11.0
205,5.0
206,-10.0
207,1.0
208,-10.0
209,-15.0
210,-10.0
211,25.0
212,-10.0
213,1.0
214,-5.0
215,-15.0
216,-10.0
217,-15.0
218,-15.0
219,-9.0
220,24.0
221,-4.0
222,-15.0
223,0.0
224,15.0
225,10.0
226,10.0
227,-8.0
228,-14.0
229,5.0
230,8.0
231,-9.0
232,-10.0
233,-15.0
234,0.0
235,0.0
236,11.0
237,-10.0
238,-10.0
239,-15.0
240,-10.0
241,-15.0
242,9.0
243,5.0
244,13.0
245,-9.0
246,5.0
247,-14.0
248,-15.0
249,-10.0
250,15.0
251,5.0
252,-15.0
253,-15.0
254,0.0
255,-14.0
256,-9.0
257,0.0
258,36.0
259,-10.0
260,35.0
261,-5.0
262,-15.0
263,-15.0
264,-9.0
265,20.0
266,-15.0
267,-10.0
268,-5.0
269,-10.0
270,-5.0
271,-5.0
272,41.0
273,2.0
274,0.0
275,0.0
276,-4.0
277,8.0
278,-3.0
279,-15.0
280,-14.0
281,-15.0
282,-15.0
283,0.0
284,-14.0
285,-3.0
286,-5.0
287,-5.0
288,-15.0
289,-10.0
290,-15.0
291,0.0
292,-15.0
293,-4.0
294,-10.0
295,-15.0
296,-2.0
297,0.0
298,5.0
299,-10.0
300,-9.0
301,-10.0
302,-3.0
303,15.0
304,-15.0
305,-4.0
306,-14.0
307,-10.0
308,-10.0
309,-9.0
310,7.0
311,-9.0
312,0.0
313,-5.0
314,-10.0
315,-10.0
316,-15.0
317,-15.0
318,-4.0
319,5.0
320,-5.0
321,11.0
322,-15.0
323,-15.0
324,-10.0
325,-15.0
326,-15.0
327,1.0
328,-9.0
329,11.0
330,-15.0
331,-10.0
332,10.0
333,2.0
334,13.0
335,-9.0
336,10.0
337,-15.0
338,-10.0
339,-5.0
340,-15.0
341,-15.0
342,22.0
343,15.0
344,-10.0
345,-4.0
346,-9.0
347,-14.0
348,21.0
349,15.0
350,11.0
351,20.0
352,7.0
353,-8.0
354,6.0
355,-5.0
356,-4.0
357,-15.0
358,1.0
359,-9.0
360,-5.0
361,-10.0
362,-15.0
363,-10.0
364,-10.0
365,-15.0
366,-15.0
367,-15.0
368,-9.0
369,-15.0
370,1.0
371,0.0
372,6.0
373,-15.0
374,6.0
375,-5.0
376,-10.0
377,-5.0
378,-10.0
379,0.0
380,-10.0
381,-5.0
382,-15.0
383,1.0
384,16.0
385,2.0
386,-15.0
387,6.0
388,-15.0
389,-4.0
390,-15.0
391,-10.0
392,9.0
393,-15.0
394,27.0
395,0.0
396,-5.0
397,-4.0
398,-5.0
399,2.0
400,-15.0
