episode,return
1,-15.0
2,-5.0
3,-10.0
4,-15.0
5,-10.0
6,-9.0
7,-15.0
8,-15.0
9,-15.0
10,-15.0
11,-15.0
12,-15.0
13,-10.0
14,-15.0
15,-15.0
16,-10.0
17,-9.0
18,-9.0
19,-5.0
20,-10.0
21,-10.0
22,-15.0
23,-14.0
24,-15.0
25,-10.0
26,-9.0
27,-15.0
28,-15.0
29,-9.0
30,-4.0
31,-5.0
32,-10.0
33,-9.0
34,-4.0
35,-14.0
36,-5.0
37,-10.0
38,-9.0
39,-15.0
40,-10.0
41,-15.0
42,0.0
43,0.0
44,6.0
45,-9.0
46,-4.0
47,5.0
48,5.0
49,-15.0
50,2.0
51,-5.0
52,-15.0
53,-15.0
54,-4.0
55,-3.0
56,16.0
57,-15.0
58,-14.0
59,-10.0
60,-10.0
61,-10.0
62,1.0
63,-10.0
64,-9.0
65,-15.0
66,6.0
67,-15.0
68,1.0
69,-14.0
70,1.0
71,-14.0
72,11.0
73,-10.0
74,12.0
75,-15.0
76,-9.0
77,34.0
78,-9.0
79,23.0
80,28.0
81,-14.0
82,-15.0
83,22.0
84,-15.0
85,-15.0
86,-5.0
87,-9.0
88,-5.0
89,-10.0
90,-15.0
91,10.0
92,-15.0
93,-15.0
94,-14.0
95,-9.0
96,0.0
97,-9.0
98,51.0
99,42.0
100,-15.0
101,2.0
102,-15.0
103,-15.0
104,0.0
105,-15.0
106,-15.0
107,10.0
108,-5.0
109,52.0
110,-15.0
111,15.0
112,-15.0
113,0.0
114,22.0
115,-10.0
116,-14.0
117,22.0
118,0.0
119,-10.0
120,6.0
121,-10.0
122,-14.0
123,-4.0
124,-15.0
125,-15.0
126,-14.0
127,-4.0
128,-15.0
129,60.0
130,-10.0
131,12.0
132,-10.0
133,-9.0
134,14.0
135,-15.0
136,-10.0
137,-10.0
138,-14.0
139,36.0
140,-10.0
141,-4.0
142,32.0
143,-14.0
144,-9.0
145,-5.0
146,41.0
147,1.0
148,2.0
149,-9.0
150,11.0
151,-9.0
152,-15.0
153,10.0
154,5.0
155,-14.0
156,2.0
157,21.0
158,-14.0
159,-15.0
160,-9.0
161,-14.0
162,-3.0
163,-5.0
164,-5.0
165,7.0
166,-5.0
167,-10.0
168,-14.0
169,-15.0
170,6.0
171,-5.0
172,-5.0
173,1.0
174,6.0
175,-14.0
176,20.0
177,-4.0
178,-15.0
179,-15.0
180,-15.0
181,-4.0
182,-4.0
183,23.0
184,-15.0
185,-10.0
186,-15.0
187,-15.0
188,-10.0
189,-10.0
190,-15.0
191,-15.0
192,-15.0
193,5.0
194,-5.0
195,50.0
196,-15.0
197,-15.0
198,42.0
199,-10.0
200,-2.0
201,10.0
202,-9.0
203,-9.0
204,-14.0
205,-10.0
206,20.0
207,-10.0
208,5.0
209,-10.0
210,0.0
211,-15.0
212,-10.0
213,20.0
214,-10.0
215,-5.0
216,-5.0
217,-4.0
218,-15.0
219,-5.0
220,-14.0
221,-15.0
222,0.0
223,-10.0
224,30.0
225,0.0
226,20.0
227,-10.0
228,-14.0
229,10.0
230,-10.0
231,-5.0
232,-9.0
233,-9.0
234,15.0
