episode,return
1,-15.0
2,-15.0
3,-15.0
4,-15.0
5,-15.0
6,1.0
7,-15.0
8,-10.0
9,-15.0
10,-5.0
11,-15.0
12,-15.0
13,-10.0
14,-15.0
15,-15.0
16,-15.0
17,-15.0
18,-5.0
19,-9.0
20,-15.0
21,-14.0
22,-10.0
23,-15.0
24,-10.0
25,-10.0
26,-10.0
27,-10.0
28,-10.0
29,-10.0
30,-10.0
31,-15.0
32,-15.0
33,-15.0
34,-15.0
35,-15.0
36,-15.0
37,-15.0
38,-15.0
39,-15.0
40,-15.0
41,-14.0
42,-15.0
43,-15.0
44,-15.0
45,-15.0
46,-15.0
47,-15.0
48,-15.0
49,-15.0
50,-15.0
51,-15.0
52,-10.0
53,-9.0
54,-9.0
55,-10.0
56,-15.0
57,-14.0
58,-10.0
59,-9.0
60,-10.0
61,-10.0
62,-9.0
63,-10.0
64,-5.0
65,-15.0
66,-9.0
67,-15.0
68,-10.0
69,-9.0
70,-4.0
71,13.0
72,-15.0
73,-8.0
74,-14.0
75,-10.0
76,-10.0
77,-10.0
78,-10.0
79,-5.0
80,25.0
81,-10.0
82,-10.0
83,11.0
84,-8.0
85,2.0
86,-3.0
87,-10.0
88,-15.0
89,-15.0
90,-5.0
91,-15.0
92,-9.0
93,-5.0
94,-4.0
95,-14.0
96,-15.0
97,-10.0
98,-15.0
99,-5.0
100,-10.0
101,-15.0
102,-4.0
103,-10.0
104,-9.0
105,-9.0
106,-15.0
107,0.0
108,0.0
109,-5.0
110,-10.0
111,0.0
112,0.0
113,-15.0
114,11.0
115,-15.0
116,-14.0
117,0.0
118,-15.0
119,1.0
120,-15.0
121,1.0
122,-5.0
123,-15.0
124,5.0
125,-5.0
126,-15.0
127,-10.0
128,-9.0
129,-15.0
130,-15.0
131,-14.0
132,-9.0
133,-15.0
134,-9.0
135,-15.0
136,-5.0
137,-15.0
138,-9.0
139,-15.0
140,-10.0
141,0.0
142,-10.0
143,-9.0
144,-4.0
145,-10.0
146,7.0
147,-10.0
148,-10.0
149,-5.0
150,-14.0
151,-5.0
