episode,return
1,-14.0
2,-15.0
3,-15.0
4,-15.0
5,-15.0
6,-10.0
7,-15.0
8,6.0
9,-15.0
10,-15.0
11,-5.0
12,-10.0
13,-3.0
14,-15.0
15,0.0
16,0.0
17,18.0
18,-15.0
19,-10.0
20,-10.0
21,-9.0
22,-14.0
23,-15.0
24,-9.0
25,-10.0
26,-15.0
27,-9.0
28,-15.0
29,-14.0
30,-9.0
31,5.0
32,-9.0
33,-9.0
34,-10.0
35,-5.0
36,-15.0
37,0.0
38,-5.0
39,-15.0
40,-5.0
41,-3.0
42,-15.0
43,-10.0
44,-15.0
45,-4.0
46,-5.0
47,-9.0
48,-10.0
49,-5.0
50,-3.0
51,-5.0
52,-5.0
53,10.0
54,-15.0
55,-15.0
56,-14.0
57,-14.0
58,-15.0
59,-10.0
60,-15.0
61,-5.0
62,-14.0
63,-15.0
64,-5.0
65,-10.0
66,-10.0
67,-10.0
68,-10.0
69,-9.0
70,-10.0
71,-10.0
72,-9.0
73,-10.0
74,-8.0
75,-10.0
76,-4.0
77,-10.0
78,-5.0
79,-10.0
80,-15.0
81,-10.0
82,-9.0
83,0.0
84,-9.0
85,-10.0
86,-15.0
87,-5.0
88,7.0
89,-15.0
90,-10.0
91,-5.0
92,-10.0
93,-15.0
94,-4.0
95,-9.0
96,-14.0
97,-15.0
98,-9.0
99,0.0
100,-10.0
101,-5.0
102,-10.0
103,-9.0
104,-10.0
105,-10.0
106,1.0
107,-10.0
108,-15.0
109,-10.0
110,-4.0
111,-9.0
112,-4.0
113,-9.0
114,-10.0
115,-3.0
116,-15.0
117,-10.0
118,-10.0
119,1.0
120,-10.0
121,-9.0
122,10.0
123,-15.0
124,-4.0
125,-15.0
126,2.0
127,-10.0
128,-5.0
129,-9.0
130,-10.0
131,-10.0
132,-5.0
133,-10.0
134,1.0
135,-10.0
136,-15.0
137,-10.0
138,-9.0
139,-10.0
140,-15.0
141,-15.0
142,-15.0
143,-10.0
144,-10.0
145,-15.0
146,-10.0
147,-10.0
148,-9.0
149,-15.0
150,-9.0
151,-9.0
152,-10.0
153,-10.0
154,-5.0
155,-14.0
156,-10.0
157,-10.0
158,49.0
159,1.0
160,-5.0
161,-15.0
162,-9.0
163,-9.0
164,-15.0
165,-8.0
166,-10.0
167,-10.0
168,-10.0
169,-9.0
170,-10.0
171,16.0
172,22.0
173,-9.0
174,23.0
175,-10.0
176,-15.0
177,0.0
178,-15.0
179,10.0
180,-4.0
181,-10.0
182,-4.0
183,-10.0
184,-10.0
185,0.0
186,26.0
187,0.0
188,-10.0
189,-14.0
190,-10.0
191,-10.0
192,-15.0
193,-10.0
194,-15.0
195,-9.0
196,-15.0
197,1.0
198,-10.0
199,6.0
200,-5.0
201,-15.0
202,-5.0
203,-5.0
204,-14.0
205,5.0
206,-15.0
207,7.0
208,-4.0
209,-9.0
210,25.0
211,12.0
212,-14.0
213,-15.0
214,-10.0
215,-14.0
216,-10.0
217,28.0
218,-10.0
219,-10.0
220,-15.0
221,7.0
222,-5.0
223,0.0
224,65.0
225,-15.0
226,-10.0
227,6.0
228,11.0
229,-10.0
230,47.0
231,7.0
232,-9.0
233,0.0
234,13.0
235,10.0
236,-10.0
237,-10.0
238,-5.0
239,-15.0
240,-9.0
241,-10.0
242,-15.0
243,10.0
244,-15.0
245,11.0
246,0.0
247,-10.0
248,-9.0
249,10.0
250,-5.0
251,-10.0
252,-9.0
253,-5.0
254,11.0
255,-4.0
256,10.0
257,-10.0
258,27.0
259,-15.0
260,5.0
261,-15.0
262,-4.0
263,-9.0
264,-2.0
265,-14.0
266,0.0
267,1.0
268,-4.0
269,0.0
270,0.0
271,20.0
272,-10.0
273,0.0
274,-5.0
275,-15.0
276,-15.0
277,-10.0
278,-10.0
279,-5.0
280,7.0
281,0.0
282,1.0
283,10.0
284,-10.0
285,-5.0
286,-10.0
287,0.0
288,30.0
289,2.0
290,0.0
291,-15.0
292,-10.0
293,-10.0
294,0.0
295,15.0
296,0.0
297,-10.0
298,-15.0
299,-15.0
300,-14.0
301,-9.0
302,-9.0
303,-10.0
304,-10.0
305,-9.0
306,-10.0
307,-4.0
308,7.0
309,1.0
310,2.0
311,-9.0
312,-5.0
313,-4.0
314,-15.0
315,-10.0
316,-15.0
317,-15.0
318,-5.0
319,0.0
320,5.0
321,-5.0
322,-10.0
323,-10.0
324,-9.0
325,22.0
326,12.0
327,-9.0
328,0.0
329,-15.0
330,-15.0
331,-15.0
332,-15.0
333,-14.0
334,-15.0
335,-5.0
336,-15.0
337,25.0
338,-15.0
339,-14.0
340,-10.0
341,-10.0
342,-9.0
343,0.0
344,-15.0
345,-15.0
346,-9.0
347,-14.0
348,-10.0
349,-10.0
350,-14.0
351,5.0
352,25.0
353,0.0
354,-10.0
355,-15.0
356,-15.0
357,-10.0
358,10.0
359,-10.0
360,-10.0
361,37.0
362,-14.0
363,-9.0
364,-8.0
365,-15.0
366,40.0
367,-15.0
368,-14.0
369,-5.0
370,-13.0
371,-5.0
372,5.0
373,21.0
374,-14.0
375,-10.0
376,10.0
377,-5.0
378,-15.0
379,-10.0
380,-10.0
381,-5.0
382,-15.0
383,-9.0
384,-15.0
385,0.0
386,0.0
387,-10.0
388,-14.0
389,-10.0
390,1.0
391,-9.0
392,-15.0
393,-5.0
394,-4.0
395,-15.0
396,-5.0
397,10.0
398,-14.0
399,-10.0
400,-9.0
401,-4.0
402,-9.0
403,5.0
404,-15.0
405,-9.0
406,19.0
407,-10.0
408,-5.0
409,-10.0
410,-10.0
411,-5.0
412,-4.0
413,-9.0
414,1.0
415,-14.0
416,3.0
417,-10.0
418,-15.0
419,-14.0
420,1.0
421,-15.0
422,-14.0
423,10.0
424,-14.0
425,-14.0
426,-15.0
427,-14.0
428,-15.0
429,-10.0
430,20.0
431,0.0
432,-5.0
433,0.0
434,-9.0
435,20.0
436,-15.0
437,-15.0
438,-5.0
439,-9.0
440,-3.0
441,-15.0
442,1.0
443,11.0
444,-15.0
445,15.0
446,-15.0
447,-10.0
448,0.0
449,-10.0
450,30.0
451,-9.0
452,60.0
453,-8.0
454,-14.0
455,3.0
456,-10.0
457,-10.0
458,-5.0
459,-15.0
460,-10.0
461,-10.0
462,-9.0
463,-10.0
464,-15.0
465,-14.0
466,-14.0
467,20.0
468,-4.0
